,index,11436.0,10451.0,10452.0,10453.0,10454.0,10455.0,10456.0,10457.0,10458.0,10459.0,10460.0,10461.0,10462.0,10463.0,10464.0,10465.0,10466.0,10467.0,10468.0,10469.0,10470.0,10471.0,10472.0,10473.0,10474.0,10475.0,11691.0,11692.0,11693.0,11694.0,11697.0,11697.0,11004.0,10001.0,10002.0,10003.0,10004.0,10005.0,10006.0,10007.0,10009.0,10010.0,10011.0,10012.0,10013.0,10014.0,10016.0,10017.0,10018.0,10019.0,10021.0,10022.0,10023.0,10024.0,10025.0,10026.0,10027.0,10028.0,10029.0,10030.0,10031.0,10032.0,10033.0,10034.0,10035.0,10036.0,10037.0,10038.0,10039.0,10040.0,10044.0,10065.0,10069.0,10075.0,11101.0,11102.0,11103.0,11104.0,11105.0,11106.0,11109.0,10128.0,11201.0,11203.0,11204.0,11205.0,11206.0,11207.0,11208.0,11209.0,11210.0,11211.0,11212.0,11213.0,11214.0,11215.0,11216.0,11217.0,11218.0,11219.0,11220.0,11221.0,11222.0,11223.0,11224.0,11225.0,11226.0,11228.0,11229.0,11230.0,11231.0,11232.0,11233.0,11234.0,11235.0,11236.0,11237.0,11238.0,11239.0,,april_date
12,total_12,412,1314,1640,1811,872,919,1840,1551,1662,1201,1288,1878,2158,1810,194,1762,2112,2911,1849,2448,472,669,1408,1795,266,1623,1647,471,334,622,130,130,505,448,1024,662,59,116,43,107,851,468,731,285,362,457,992,260,331,753,967,562,857,994,1439,605,910,802,1538,448,935,1190,1011,607,796,494,405,300,478,786,198,627,93,564,672,534,524,429,550,629,103,1006,894,1529,1791,724,1312,1495,1568,1162,1427,1893,1302,1296,1330,797,709,599,1606,2476,1238,1061,518,1555,811,1001,1527,626,1402,2091,504,395,971,1879,1601,1985,665,778,403,2082,12
10,total_13,429,1361,1696,1895,896,946,1917,1612,1735,1234,1344,1920,2215,1883,195,1814,2171,2991,1936,2558,491,692,1470,1841,275,1692,1715,493,347,641,132,132,521,462,1045,678,59,117,44,109,879,472,742,287,365,463,1008,268,333,763,977,567,871,1005,1485,618,929,822,1593,455,967,1229,1040,624,820,509,411,306,485,802,201,639,94,571,686,550,540,447,565,643,104,1027,908,1572,1830,734,1341,1548,1616,1199,1460,1914,1340,1322,1374,811,725,621,1630,2505,1277,1083,527,1621,834,1029,1573,648,1449,2137,513,419,1005,1952,1670,2053,682,787,417,2017,13
5,total_14,450,1411,1770,1972,925,998,2024,1704,1813,1296,1427,2014,2306,1965,203,1906,2284,3135,2033,2688,510,716,1568,1940,283,1825,1792,521,369,662,135,135,547,480,1094,692,59,122,46,112,918,486,755,293,374,472,1044,273,339,787,1011,584,900,1035,1544,650,949,844,1654,467,1017,1262,1080,646,852,523,427,314,504,829,207,654,96,581,707,579,563,465,596,674,106,1075,932,1657,1880,766,1391,1626,1723,1262,1516,1975,1410,1373,1437,845,760,640,1672,2561,1328,1139,544,1692,881,1080,1669,664,1514,2198,524,434,1056,2061,1746,2176,715,810,440,2219,14
4,total_15,466,1467,1826,2013,971,1035,2097,1749,1856,1326,1464,2058,2347,2056,206,1944,2339,3222,2083,2772,518,735,1606,1982,292,1859,1904,540,384,690,139,139,558,502,1203,759,60,126,49,115,1041,506,787,307,385,485,1082,280,343,908,1033,608,989,1122,1761,750,1100,891,1923,510,1116,1332,1119,676,967,579,456,321,537,864,216,667,100,604,735,596,577,478,614,690,112,1167,980,1743,1918,783,1438,1706,1794,1301,1638,2055,1475,1421,1499,880,778,662,1713,2712,1360,1169,563,1765,923,1124,1756,683,1609,2270,533,440,1091,2289,1847,2345,727,838,470,1964,15
0,total_16,487,1559,1970,2162,1030,1104,2252,1882,2018,1408,1594,2220,2535,2167,233,2097,2522,3449,2206,2996,557,790,1731,2121,318,2077,1998,567,401,728,143,143,584,521,1250,777,60,130,52,118,1074,520,798,316,397,497,1108,287,346,936,1070,623,1023,1159,1831,781,1142,918,2005,526,1172,1404,1177,709,1012,598,487,328,561,908,224,682,105,631,770,626,618,510,648,725,113,1207,1017,1843,2049,826,1524,1837,1959,1417,1721,2169,1563,1497,1599,929,825,692,1804,2820,1434,1261,594,1872,1004,1205,1879,733,1699,2383,554,470,1174,2441,1991,2501,789,874,511,1975,16
2,total_17,509,1646,2078,2244,1080,1173,2387,1961,2098,1479,1671,2300,2648,2269,237,2162,2654,3613,2320,3156,576,827,1813,2208,340,2177,2113,592,411,751,145,145,608,545,1297,794,60,133,54,123,1107,536,817,318,405,509,1147,301,360,958,1109,647,1054,1185,1889,807,1183,956,2092,544,1221,1468,1227,745,1052,617,503,336,583,941,226,708,108,646,808,646,644,544,674,755,119,1246,1038,1956,2116,867,1610,1971,2046,1488,1796,2222,1648,1557,1683,963,866,722,1880,2910,1494,1328,613,1943,1063,1246,1981,772,1797,2468,572,489,1251,2563,2118,2631,833,911,539,2019,17
20,total_18,542,1743,2185,2345,1155,1270,2457,2058,2167,1544,1743,2377,2755,2352,244,2230,2780,3754,2437,3302,605,856,1901,2310,355,2281,2203,617,431,797,149,149,627,563,1325,812,62,134,54,127,1150,557,834,323,417,517,1178,306,365,979,1139,663,1087,1220,1946,832,1215,981,2159,564,1258,1514,1265,780,1083,632,521,347,603,966,241,725,112,654,845,667,671,569,700,792,122,1285,1079,2058,2167,892,1662,2056,2147,1544,1863,2275,1721,1618,1763,995,898,738,1924,2954,1567,1375,630,1996,1116,1309,2079,803,1854,2558,593,504,1312,2669,2231,2756,855,941,568,2051,18
19,total_19,567,1826,2244,2435,1185,1337,2557,2126,2244,1586,1788,2447,2839,2451,247,2312,2860,3851,2530,3422,617,881,1977,2367,380,2348,2272,644,444,823,150,150,653,571,1358,830,64,137,54,130,1180,561,852,330,426,529,1197,310,375,999,1148,668,1105,1235,2000,856,1244,1003,2222,590,1282,1556,1298,797,1111,656,533,352,615,988,255,735,114,667,881,698,701,588,732,830,125,1312,1101,2138,2234,910,1704,2136,2216,1590,1931,2332,1793,1653,1825,1021,929,762,1967,3018,1615,1410,643,2049,1147,1359,2170,826,1912,2615,604,514,1361,2755,2304,2903,892,968,578,2078,19
15,total_20,595,1880,2323,2516,1233,1379,2645,2206,2330,1647,1843,2528,2935,2549,255,2379,2948,3983,2619,3542,647,906,2048,2427,391,2466,2353,652,452,841,150,150,669,582,1384,840,65,137,55,134,1194,570,872,334,431,533,1208,316,377,1015,1152,680,1120,1255,2040,876,1266,1011,2267,606,1307,1581,1312,823,1136,679,540,355,634,1003,262,741,115,680,904,730,715,600,758,851,125,1327,1113,2221,2279,925,1741,2240,2297,1634,1993,2364,1852,1702,1873,1045,958,770,2000,3067,1647,1449,657,2095,1187,1406,2252,853,1970,2679,613,525,1414,2832,2360,2989,930,983,593,2065,20
18,total_21,617,1938,2440,2622,1272,1435,2738,2319,2430,1701,1933,2649,3100,2674,269,2503,3103,4184,2756,3684,664,949,2127,2536,400,2588,2418,670,461,872,152,152,689,600,1419,857,66,140,58,142,1230,591,892,345,439,543,1258,327,384,1032,1179,698,1152,1284,2088,899,1290,1035,2340,623,1351,1636,1348,851,1167,694,559,363,650,1051,266,764,119,706,936,760,741,626,793,883,129,1367,1149,2314,2335,943,1792,2328,2398,1699,2085,2414,1927,1756,1922,1091,988,807,2046,3111,1713,1501,671,2166,1248,1451,2363,896,2054,2764,638,544,1476,2935,2429,3106,954,1018,622,2073,21
14,total_22,631,1961,2470,2664,1284,1451,2778,2354,2464,1719,1948,2683,3138,2675,273,2531,3127,4224,2800,3718,669,950,2152,2567,402,2618,2465,682,463,886,152,152,694,603,1427,864,67,140,58,143,1232,594,894,345,440,548,1277,330,386,1034,1185,699,1159,1292,2105,901,1296,1040,2351,626,1359,1645,1361,862,1172,695,559,363,653,1057,267,767,119,712,952,770,748,635,802,886,129,1371,1158,2336,2361,953,1804,2357,2425,1714,2101,2435,1952,1765,1932,1101,998,812,2063,3142,1735,1519,674,2194,1271,1462,2393,904,2073,2794,642,550,1496,2976,2465,3140,962,1026,626,2068,22
13,total_23,694,2097,2704,2854,1369,1538,3032,2542,2675,1831,2120,2869,3363,2900,292,2675,3358,4521,3006,3946,712,1034,2300,2783,433,2823,2638,724,493,995,158,158,727,636,1498,908,71,144,61,151,1312,633,942,361,470,567,1374,352,423,1081,1244,732,1226,1347,2208,952,1387,1088,2488,665,1447,1749,1459,920,1226,730,586,392,697,1128,286,814,128,752,1024,840,805,677,872,968,136,1444,1235,2532,2588,1040,1936,2523,2646,1823,2238,2594,2080,1874,2048,1169,1066,853,2194,3498,1870,1635,716,2341,1350,1560,2579,972,2206,2971,676,587,1600,3205,2622,3376,1024,1094,670,2046,23
