,index,11436.0,10451.0,10452.0,10453.0,10454.0,10455.0,10456.0,10457.0,10458.0,10459.0,10460.0,10461.0,10462.0,10463.0,10464.0,10465.0,10466.0,10467.0,10468.0,10469.0,10470.0,10471.0,10472.0,10473.0,10474.0,10475.0,11691.0,11692.0,11693.0,11694.0,11697.0,11697.0,11004.0,10001.0,10002.0,10003.0,10004.0,10005.0,10006.0,10007.0,10009.0,10010.0,10011.0,10012.0,10013.0,10014.0,10016.0,10017.0,10018.0,10019.0,10021.0,10022.0,10023.0,10024.0,10025.0,10026.0,10027.0,10028.0,10029.0,10030.0,10031.0,10032.0,10033.0,10034.0,10035.0,10036.0,10037.0,10038.0,10039.0,10040.0,10044.0,10065.0,10069.0,10075.0,11101.0,11102.0,11103.0,11104.0,11105.0,11106.0,11109.0,10128.0,11201.0,11203.0,11204.0,11205.0,11206.0,11207.0,11208.0,11209.0,11210.0,11211.0,11212.0,11213.0,11214.0,11215.0,11216.0,11217.0,11218.0,11219.0,11220.0,11221.0,11222.0,11223.0,11224.0,11225.0,11226.0,11228.0,11229.0,11230.0,11231.0,11232.0,11233.0,11234.0,11235.0,11236.0,11237.0,11238.0,11239.0,,april_date
12,positive_12,269,788,1068,1146,550,562,1130,969,968,746,771,1018,1201,885,75,865,1259,1769,1224,1514,258,302,918,1053,170,912,1111,297,197,360,63,63,324,211,539,279,23,38,10,34,381,166,355,98,161,212,435,90,156,334,386,219,341,380,626,308,476,317,824,277,611,728,626,345,440,232,232,151,266,498,90,216,35,262,344,306,296,264,279,342,37,396,373,1001,1110,392,757,928,1029,587,898,1202,842,793,760,350,376,316,976,1679,784,641,255,885,485,632,995,356,791,1301,241,267,591,1149,911,1313,451,448,250,1934,12
10,positive_13,280,822,1106,1188,566,584,1175,1004,1014,762,801,1037,1223,926,76,882,1287,1818,1280,1577,266,310,950,1085,175,947,1155,310,205,371,63,63,330,221,554,285,23,39,11,34,389,169,359,99,162,213,442,92,157,339,389,222,350,386,652,314,487,326,853,280,635,751,643,353,459,235,235,155,268,512,92,218,35,265,351,313,305,271,287,350,37,403,380,1034,1134,396,777,956,1058,611,919,1216,863,811,788,359,384,331,988,1698,808,652,262,920,498,654,1021,365,821,1329,247,287,616,1189,954,1352,460,454,261,1851,13
5,positive_14,292,855,1156,1234,583,626,1250,1069,1060,808,847,1083,1284,964,79,927,1361,1918,1343,1670,279,319,1014,1143,182,1021,1215,332,220,384,65,65,348,231,578,290,23,40,11,35,407,175,365,101,166,216,454,95,159,350,400,231,368,400,685,334,496,330,889,289,660,775,671,367,475,241,246,159,277,532,95,224,37,274,364,326,313,279,300,360,38,424,387,1085,1163,416,808,1004,1129,648,960,1248,915,840,829,373,408,344,1015,1725,844,683,271,960,528,686,1089,378,860,1367,254,299,648,1260,992,1439,481,466,275,2033,14
4,positive_15,303,887,1195,1261,616,652,1295,1092,1083,824,875,1107,1308,1021,80,941,1393,1972,1381,1724,284,326,1035,1170,187,1042,1302,343,228,405,69,69,353,238,645,323,23,41,12,35,470,188,375,109,167,223,470,98,159,411,405,236,406,436,790,391,599,343,1037,313,726,820,700,383,555,270,267,160,298,555,100,230,38,287,374,336,321,285,309,366,40,453,402,1148,1185,423,837,1056,1173,667,1042,1293,948,873,859,383,419,357,1043,1833,870,698,277,999,551,711,1148,388,925,1414,258,303,666,1417,1056,1558,489,476,293,1772,15
0,positive_16,311,932,1268,1341,648,686,1376,1173,1169,869,950,1173,1397,1063,93,1002,1482,2087,1442,1837,299,351,1110,1235,198,1132,1352,352,235,419,71,71,364,242,666,329,24,42,13,36,480,190,380,113,170,229,480,100,159,424,412,238,416,447,810,400,612,351,1076,323,755,857,735,399,583,277,281,160,310,576,103,233,40,294,388,345,333,294,320,381,40,460,418,1195,1240,437,885,1114,1263,715,1081,1342,990,906,907,399,439,367,1087,1868,905,740,289,1049,588,737,1219,413,971,1463,265,316,717,1483,1138,1637,523,491,309,1779,16
2,positive_17,320,981,1331,1381,674,727,1436,1209,1204,906,989,1209,1450,1102,94,1027,1550,2154,1501,1911,305,364,1153,1264,210,1169,1417,368,239,430,72,72,377,251,685,337,24,44,14,37,494,195,384,113,173,230,488,105,163,434,419,243,421,454,836,411,633,359,1110,331,779,898,766,420,607,286,289,163,319,593,104,238,42,299,398,352,343,307,323,393,41,469,422,1256,1277,462,923,1170,1304,737,1122,1363,1034,931,955,413,461,381,1126,1914,936,773,294,1089,622,763,1273,429,1025,1510,274,322,754,1533,1206,1707,547,509,324,1816,17
20,positive_18,329,1017,1378,1432,705,759,1466,1250,1232,934,1018,1238,1496,1135,94,1047,1606,2204,1551,1980,317,382,1190,1314,216,1195,1459,376,248,450,73,73,385,254,695,342,24,44,14,39,501,200,390,114,177,233,496,105,166,435,428,247,427,466,847,421,640,365,1142,336,794,919,785,433,622,291,296,165,323,601,110,243,43,300,406,360,353,312,332,406,40,476,438,1298,1295,469,947,1201,1352,755,1138,1379,1056,958,990,421,474,385,1145,1936,968,788,297,1109,643,797,1306,439,1043,1550,285,329,782,1568,1258,1760,557,517,337,1844,18
19,positive_19,342,1059,1412,1474,719,795,1518,1286,1269,956,1041,1266,1529,1168,95,1078,1650,2245,1591,2042,321,388,1239,1331,223,1225,1496,392,256,458,73,73,397,260,712,347,24,44,14,40,518,201,394,116,179,233,502,107,168,441,431,250,433,472,875,428,654,371,1162,351,807,937,801,439,636,301,297,166,328,614,118,244,44,302,423,379,362,316,344,417,41,489,447,1329,1325,475,975,1233,1383,772,1162,1399,1086,972,1016,432,484,397,1163,1961,997,801,306,1134,657,814,1336,449,1064,1573,289,337,802,1602,1293,1828,567,529,339,1864,19
15,positive_20,350,1079,1443,1499,731,806,1548,1315,1302,979,1065,1288,1564,1214,96,1090,1665,2290,1619,2071,329,393,1257,1340,227,1249,1525,394,257,465,73,73,403,261,716,351,25,44,14,41,522,202,398,118,179,235,506,108,168,443,431,251,434,476,888,438,661,375,1180,356,818,944,806,445,651,304,299,167,333,621,122,244,44,305,429,387,367,321,348,421,41,491,450,1349,1338,482,991,1267,1408,783,1183,1410,1102,989,1028,437,489,398,1173,1973,1006,816,310,1147,673,824,1358,457,1079,1584,291,342,824,1626,1315,1859,581,535,342,1842,20
18,positive_21,357,1108,1488,1547,747,831,1596,1362,1342,996,1097,1328,1611,1261,103,1128,1727,2372,1666,2131,336,414,1287,1371,230,1285,1543,399,262,475,73,73,415,266,729,355,26,44,15,42,530,203,403,121,180,236,515,109,169,449,438,254,439,484,901,443,667,379,1202,360,841,968,817,458,664,309,304,171,339,644,124,252,45,309,440,405,377,330,357,431,41,501,460,1385,1358,490,1013,1306,1463,800,1219,1422,1134,1010,1050,453,500,411,1192,1988,1025,832,316,1171,695,843,1413,470,1110,1620,303,351,844,1670,1343,1899,590,547,354,1845,21
14,positive_22,364,1125,1499,1559,752,839,1617,1381,1359,1002,1106,1342,1631,1262,105,1146,1736,2392,1688,2148,339,415,1297,1386,231,1296,1573,408,264,484,73,73,417,268,733,358,26,44,15,42,530,204,404,121,181,238,520,111,169,450,443,254,441,493,910,445,671,380,1206,361,844,973,823,461,667,309,304,171,341,649,125,252,45,314,444,409,379,333,360,432,41,502,464,1398,1370,494,1018,1327,1478,805,1230,1433,1144,1014,1057,458,508,413,1203,2005,1038,843,318,1192,715,850,1431,473,1123,1639,305,354,859,1695,1362,1922,596,552,357,1840,22
13,positive_23,384,1170,1575,1626,784,861,1704,1441,1410,1038,1155,1396,1694,1336,109,1182,1807,2486,1750,2213,352,440,1339,1442,235,1338,1649,424,267,503,74,74,434,277,756,363,26,45,15,42,547,210,411,125,187,240,535,113,175,458,451,260,449,506,930,456,690,383,1270,369,871,1012,865,487,679,320,308,178,354,673,133,259,46,321,460,436,389,345,370,456,41,513,472,1464,1445,513,1056,1373,1550,829,1266,1475,1190,1040,1103,468,522,421,1244,2087,1077,878,330,1236,748,882,1498,487,1148,1676,319,365,884,1756,1413,1990,618,571,367,1806,23
