"numGeoids","profile","category","variable","base","estimate","moe","cv","percent","percent_moe","is_reliable","comparison_estimate","comparison_moe","comparison_cv","comparison_percent","comparison_percent_moe","comparison_is_reliable","difference_estimate","difference_moe","difference_reliable","difference_percent","difference_percent_moe","difference_percent_reliable"
"","economic","economic__special_variable","ern5t7pt5","MdEWrk","1426","217","9.2","0.044","0.006","true","149059","0","","0","0","false","-147633","217","true","4.3999999999999995","0.6","true"
"","economic","economic__special_variable","ern65t75","MdEWrk","1311","195","9","0.04","0.005","true","221820","0","","0","0","false","-220509","195","true","4","0.5","true"
"","economic","economic__special_variable","ern75t100","MdEWrk","2729","295","6.6","0.084","0.007","true","391186","0","","0","0","false","-388457","295","true","8.4","0.7000000000000001","true"
"","economic","economic__special_variable","ernu2pt5k","MdEWrk","1300","199","9.3","0.04","0.006","true","175652","0","","0","0","false","-174352","199","true","4","0.6","true"
"","economic","economic__special_variable","ff10t12p5","MdEFFTWrk","175","91","31.7","0.004","0.002","false","22815","0","","0","0","false","-22640","91","true","0.4","0.2","false"
"","economic","economic__special_variable","ff12p5t15","MdEFFTWrk","118","55","28.3","0.003","0.001","false","23183","0","","0","0","false","-23065","55","true","0.3","0.1","false"
"","economic","economic__special_variable","ff15t17p5","MdEFFTWrk","354","113","19.3","0.009","0.003","true","34778","0","","0","0","false","-34424","113","true","0.8999999999999999","0.3","false"
"","economic","economic__special_variable","ff17p5t20","MdEFFTWrk","244","95","23.7","0.006","0.002","false","33443","0","","0","0","false","-33199","95","true","0.6","0.2","false"
"","economic","economic__special_variable","ff20t22p5","MdEFFTWrk","427","122","17.3","0.01","0.003","true","56003","0","","0","0","false","-55576","122","true","1","0.3","true"
"","economic","economic__special_variable","ff22p5t25","MdEFFTWrk","411","112","16.6","0.01","0.003","true","32627","0","","0","0","false","-32216","112","true","1","0.3","true"
"","economic","economic__special_variable","fft100pl","MdEFFTWrk","705","144","12.4","0.017","0.003","true","216925","0","","0","0","false","-216220","144","true","1.7000000000000002","0.3","true"
"","economic","economic__special_variable","fft25t30","MdEFFTWrk","689","153","13.5","0.017","0.004","true","84078","0","","0","0","false","-83389","153","true","1.7000000000000002","0.4","true"
"","economic","economic__special_variable","fft2p5t5","MdEFFTWrk","0","0","","0","0","false","2238","0","","0","0","false","-2238","0","true","0","0",""
"","economic","economic__special_variable","fft30t35","MdEFFTWrk","827","173","12.7","0.02","0.004","true","89523","0","","0","0","false","-88696","173","true","2","0.4","true"
"","economic","economic__special_variable","fft35t40","MdEFFTWrk","790","178","13.7","0.019","0.004","true","89490","0","","0","0","false","-88700","178","true","1.9","0.4","true"
"","economic","economic__special_variable","fft40t45","MdEFFTWrk","836","156","11.3","0.02","0.004","true","94744","0","","0","0","false","-93908","156","true","2","0.4","true"
"","economic","economic__special_variable","fft45t50","MdEFFTWrk","414","121","17.8","0.01","0.003","true","65731","0","","0","0","false","-65317","121","true","1","0.3","true"
"","economic","economic__special_variable","fft50t55","MdEFFTWrk","576","129","13.7","0.014","0.003","true","83393","0","","0","0","false","-82817","129","true","1.4000000000000001","0.3","true"
"","economic","economic__special_variable","fft55t65","MdEFFTWrk","729","164","13.7","0.018","0.004","true","125371","0","","0","0","false","-124642","164","true","1.7999999999999998","0.4","true"
"","economic","economic__special_variable","fft5t7p5","MdEFFTWrk","102","55","32.9","0.002","0.001","false","10332","0","","0","0","false","-10230","55","true","0.2","0.1","false"
"","economic","economic__special_variable","fft65t75","MdEFFTWrk","499","114","13.8","0.012","0.003","true","94257","0","","0","0","false","-93758","114","true","1.2","0.3","true"
"","economic","economic__special_variable","fft75t100","MdEFFTWrk","959","175","11.1","0.023","0.004","true","171740","0","","0","0","false","-170781","175","true","2.3","0.4","true"
"","economic","economic__special_variable","fft7p5t10","MdEFFTWrk","130","69","32.3","0.003","0.002","false","10188","0","","0","0","false","-10058","69","true","0.3","0.2","false"
"","economic","economic__special_variable","fftu2pt5k","MdEFFTWrk","0","0","","0","0","false","1176","0","","0","0","false","-1176","0","true","0","0",""
"","economic","economic__special_variable","fwrkern","MdEFFTWrk","8985","516","3.5","0.217","0.019","true","1342035","5633","0.3","0","0","true","-1333050","5656.584216645236","true","21.7","1.9","true"
"","economic","economic__special_variable","hh5","MnHHInc","16846","310","1.1","0.196","0.01","true","3154103","5930","0.1","0","0","true","-3137257","5938.097338373631","true","19.6","1","true"
"","economic","economic__special_variable","mdfam","MdFamInc","13539","376","1.7","0.177","0.015","true","1887978","7339","0.2","0","0","true","-1874439","7348.625517741396","true","17.7","1.5","true"
"","economic","economic__special_variable","mdfami10t14","MdFamInc","338","102","18.4","0.004","0.001","true","77738","0","","0","0","false","-77400","102","true","0.4","0.1","true"
"","economic","economic__special_variable","mdfami15t19","MdFamInc","399","126","19.2","0.005","0.002","true","84551","0","","0","0","false","-84152","126","true","0.5","0.2","false"
"","economic","economic__special_variable","mdfami200pl","MdFamInc","722","138","11.6","0.009","0.002","true","222929","0","","0","0","false","-222207","138","true","0.8999999999999999","0.2","true"
"","economic","economic__special_variable","mdfami20t24","MdFamInc","431","110","15.6","0.006","0.001","true","83811","0","","0","0","false","-83380","110","true","0.6","0.1","true"
"","economic","economic__special_variable","mdfami25t29","MdFamInc","535","135","15.4","0.007","0.002","true","80705","0","","0","0","false","-80170","135","true","0.7000000000000001","0.2","true"
"","economic","economic__special_variable","mdfami30t34","MdFamInc","563","130","14","0.007","0.002","true","79928","0","","0","0","false","-79365","130","true","0.7000000000000001","0.2","true"
"","economic","economic__special_variable","mdfami35t39","MdFamInc","433","112","15.8","0.006","0.001","true","74610","0","","0","0","false","-74177","112","true","0.6","0.1","true"
"","economic","economic__special_variable","mdfami40t44","MdFamInc","662","148","13.6","0.009","0.002","true","73356","0","","0","0","false","-72694","148","true","0.8999999999999999","0.2","true"
"","economic","economic__special_variable","mdfami45t49","MdFamInc","486","117","14.6","0.006","0.001","true","62927","0","","0","0","false","-62441","117","true","0.6","0.1","true"
"","economic","economic__special_variable","mdfami50t59","MdFamInc","1080","183","10.3","0.014","0.002","true","125090","0","","0","0","false","-124010","183","true","1.4000000000000001","0.2","true"
