"numGeoids","profile","category","variable","base","estimate","moe","cv","percent","percent_moe","is_reliable","comparison_estimate","comparison_moe","comparison_cv","comparison_percent","comparison_percent_moe","comparison_is_reliable","difference_estimate","difference_moe","difference_reliable","difference_percent","difference_percent_moe","difference_percent_reliable"
"","demographic","demographic__special_variable","mdpop35t39","MdAge","4494","371","5","0","0","true","610524","0","","0","0","false","-606030","371","true","0","0",""
"","demographic","demographic__special_variable","mdpop40t44","MdAge","4046","333","5","0","0","true","545892","0","","0","0","false","-541846","333","true","0","0",""
"","demographic","demographic__special_variable","mdpop45t49","MdAge","4267","390","5.6","0","0","true","542513","0","","0","0","false","-538246","390","true","0","0",""
"","demographic","demographic__special_variable","mdpop50t54","MdAge","4290","356","5","0","0","true","544447","0","","0","0","false","-540157","356","true","0","0",""
"","demographic","demographic__special_variable","mdpop55t59","MdAge","4611","380","5","0","0","true","515825","0","","0","0","false","-511214","380","true","0","0",""
"","demographic","demographic__special_variable","mdpop5t9","MdAge","3440","340","6","0","0","true","476567","0","","0","0","false","-473127","340","true","0","0",""
"","demographic","demographic__special_variable","mdpop60t61","MdAge","1379","201","8.9","0","0","true","203884","0","","0","0","false","-202505","201","true","0","0",""
"","demographic","demographic__special_variable","mdpop62t64","MdAge","1778","211","7.2","0","0","true","266773","0","","0","0","false","-264995","211","true","0","0",""
"","demographic","demographic__special_variable","mdpop65t66","MdAge","1264","196","9.4","0","0","true","168701","0","","0","0","false","-167437","196","true","0","0",""
"","demographic","demographic__special_variable","mdpop67t69","MdAge","1362","200","8.9","0","0","true","215921","0","","0","0","false","-214559","200","true","0","0",""
"","demographic","demographic__special_variable","mdpop70t74","MdAge","1810","230","7.7","0","0","true","280196","0","","0","0","false","-278386","230","true","0","0",""
"","demographic","demographic__special_variable","mdpop75t79","MdAge","1284","194","9.2","0","0","true","211102","0","","0","0","false","-209818","194","true","0","0",""
"","demographic","demographic__special_variable","mdpop80t84","MdAge","619","124","12.2","0","0","true","148988","0","","0","0","false","-148369","124","true","0","0",""
"","demographic","demographic__special_variable","mdpop85pl","MdAge","787","128","9.9","0","0","true","164453","0","","0","0","false","-163666","128","true","0","0",""
