id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
Q3ZOSVUxOF8y,14055,961,4.15648899946908,1,0,cvniu18_2,CvNIU18_2,CvNIU18_2,health_insurance_coverage,economic,True,,0,,0,0,False,1855028,1721,0.1,1,0,True,,,,,1,0,True,-1840973,1971.1321619820421,True,0,0
Q1dfQ3JwbGQ=,828,226,16.5925142798408,0.0412104320127414,0.0110292129263178,cw_crpld,CW_Crpld,Wrkr16pl,commute_to_work,economic,True,1840,358,11.8276727897449,0.0931362624012958,0.0174817605326503,True,177245,3363,1.2,0.045,0.001,True,-1012,423.3674526932839,False,-0.55,0.15083769906857655,True,-0.051925830388554396,0.020670159387266112,False,-176417,3370.5852607522033,True,-0.3789567987258593,1.1074454287866993,False
Q1dfRHJ2QWxu,7250,695,5.82748139608008,0.360840135377265,0.0286776189077606,cw_drvaln,CW_DrvAln,Wrkr16pl,commute_to_work,economic,True,6359,673,6.43369304974736,0.321876898157522,0.0298095088905837,True,883066,6519,0.4,0.223,0.002,True,891,967.4471561796024,False,0.14011637049850606,0.16280296844784664,False,0.038963237219742985,0.04136438862737532,False,-875816,6555.942800238575,True,13.784013537726498,2.8747275109455996,True
Q1dfT3Ro,318,148,28.2923285733402,0.0158271949034442,0.00731709602553161,cw_oth,CW_Oth,Wrkr16pl,commute_to_work,economic,False,253,116,27.8722202866514,0.0128062360801782,0.00583487366794349,False,112933,2992,1.6,0.029,0.001,True,65,188.04254837669055,False,0.25691699604743085,0.8211678297713065,False,0.003020958823266001,0.009358720263353895,False,-112615,2995.658191449752,True,-1.3172805096555802,0.7385113015171162,False
Q1dfUGJUcm5z,10254,841,4.98582212412622,0.510352379056341,0.0316806110184621,cw_pbtrns,CW_PbTrns,Wrkr16pl,commute_to_work,economic,True,10159,815,4.87686513912081,0.514223527029763,0.0317487306431121,True,2223087,10073,0.3,0.562,0.002,True,95,1171.1131456866156,False,0.009351314105719067,0.11580172255674939,False,-0.003871147973422029,0.04485134347990022,False,-2212833,10108.046794509808,True,-5.164762094365905,3.1743678339207984,False
Q1dfV2xrZA==,1128,309,16.6526547241803,0.0561417479593868,0.0150819451548668,cw_wlkd,CW_Wlkd,Wrkr16pl,commute_to_work,economic,True,727,209,17.4761584226304,0.0367989471552946,0.0104097690658324,True,392607,5774,0.9,0.099,0.001,True,401,373.04423330216486,False,0.5515818431911967,0.6161311555075114,False,0.019342800804092196,0.01832562036216977,False,-391479,5782.262273539657,True,-4.285825204061321,1.5115061020532141,False
Q1dfV3JrZEht,314,184,35.6223259055621,0.0156281106908222,0.00911947788902381,cw_wrkdhm,CW_WrkdHm,Wrkr16pl,commute_to_work,economic,False,418,202,29.3771178429633,0.0211581291759465,0.0101671368374719,False,164594,3729,1.4,0.042,0.001,True,-104,273.2398214023717,False,-0.24880382775119617,0.570570507958604,False,-0.005530018485124303,0.013657801742603832,False,-164280,3733.5367950510413,True,-2.6371889309177803,0.9174141756502031,False
RTEwdDEycHQ1,958,266,16.8791364989117,0,0,e10t12pt5,E10t12pt5,MdEWrk,economic__special_variable,economic,True,1094,0,,0,0,False,169608,0,,0,0,False,-136,266,False,-0.12431444241316271,0.24314442413162707,False,0,0,-168650,266,True,0,0
RTEycHQ1dDE1,908,244,16.3357122772251,0,0,e12pt5t15,E12pt5t15,MdEWrk,economic__special_variable,economic,True,659,0,,0,0,False,144620,0,,0,0,False,249,244,False,0.37784522003034904,0.37025796661608495,False,0,0,-143712,244,True,0,0
RTE1dDE3cHQ1,769,217,17.1540823949312,0,0,e15t17pt5,E15t17pt5,MdEWrk,economic__special_variable,economic,True,965,0,,0,0,False,173274,0,,0,0,False,-196,217,False,-0.20310880829015543,0.2248704663212435,False,0,0,-172505,217,True,0,0
RTE3cHQ1dDIw,780,220,17.1459745927831,0,0,e17pt5t20,E17pt5t20,MdEWrk,economic__special_variable,economic,True,535,0,,0,0,False,126285,0,,0,0,False,245,220,False,0.45794392523364486,0.41121495327102797,False,0,0,-125505,220,True,0,0
