id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m
QXZnSEhTT09j,2.83,0.25,5.3,,,avghhsooc,AvgHHSOOc,mean,housing_tenure,housing,True,2.92,0.23,4.7,,,True,2.85,0.01,0.2,,,True,-0.08999999999999986,0.3397057550292606,False,,,,,-0.020000000000000018,0.2501999200639361,False,,
QXZnSEhTUk9j,2,0.41,12.5,,,avghhsroc,AvgHHSROc,mean,housing_tenure,housing,True,2.16,0.47,13.4,,,True,2.51,0.01,0.2,,,True,-0.16000000000000014,0.623698645180507,False,,,,,-0.5099999999999998,0.4101219330881975,False,,
Qmx0MDB0MDk=,372,125,20.4,0.044,0.015,blt00t09,Blt00t09,HU3,year_structure_built,housing,False,,0,,0,0,False,198788,2928,0.9,0.057,0.001,True,,,,,0.044,0.015,False,-198416,2930.666988929312,True,-1.3000000000000007,1.5033296378372907,False
Qmx0MTBMdHI=,55,59,65.1,0.007,0.007,blt10ltr,Blt10Ltr,HU3,year_structure_built,housing,False,,0,,0,0,False,76678,1919,1.5,0.022,0.001,True,,,,,0.007,0.007,False,-76623,1919.9067685697657,True,-1.4999999999999996,0.7071067811865476,False
Qmx0NDB0NDk=,244,116,28.9,0.029,0.014,blt40t49,Blt40t49,HU3,year_structure_built,housing,False,,0,,0,0,False,354913,3910,0.7,0.102,0.001,True,,,,,0.029,0.014,False,-354669,3911.7203376519647,True,-7.299999999999999,1.4035668847618201,True
Qmx0NTB0NTk=,1444,272,11.4,0.172,0.032,blt50t59,Blt50t59,HU3,year_structure_built,housing,True,,0,,0,0,False,450809,4111,0.6,0.13,0.001,True,,,,,0.172,0.032,True,-449365,4119.988470857656,True,4.199999999999999,3.2015621187164247,False
Qmx0NjB0Njk=,3038,336,6.7,0.363,0.039,blt60t69,Blt60t69,HU3,year_structure_built,housing,True,,0,,0,0,False,440499,4325,0.6,0.127,0.001,True,,,,,0.363,0.039,True,-437461,4338.031927037882,True,23.599999999999998,3.9012818406262317,True
Qmx0NzB0Nzk=,1434,283,12,0.171,0.034,blt70t79,Blt70t79,HU3,year_structure_built,housing,True,,0,,0,0,False,245191,3241,0.8,0.071,0.001,True,,,,,0.171,0.034,True,-243757,3253.3321379779227,True,10.000000000000002,3.40147027033899,False
Qmx0ODB0ODk=,676,183,16.5,0.081,0.022,blt80t89,Blt80t89,HU3,year_structure_built,housing,True,,0,,0,0,False,164132,2906,1.1,0.047,0.001,True,,,,,0.081,0.022,True,-163456,2911.7563428281564,True,3.3999999999999995,2.2022715545545237,False
Qmx0OTB0OTk=,557,163,17.8,0.066,0.019,blt90t99,Blt90t99,HU3,year_structure_built,housing,True,,0,,0,0,False,127962,2842,1.4,0.037,0.001,True,,,,,0.066,0.019,True,-127405,2846.6705113166854,True,2.900000000000001,1.9026297590440446,False
Qmx0QmYzOQ==,559,141,15.3,0.067,0.017,bltbf39,BltBf39,HU3,year_structure_built,housing,True,,0,,0,0,False,1413382,6785,0.3,0.407,0.002,True,,,,,0.067,0.017,True,-1412823,6786.464911866855,True,-33.99999999999999,1.711724276862369,True
QnRSVlZFdGM=,0,0,,0,0,btrvvetc,BtRVVEtc,HU2,units_in_structure,housing,False,0,0,,0,0,False,1902,346,11.1,0.001,0.001,True,0,0,0,,,,-1902,346,True,-0.1,0.1,False
R1IxNWt0MTlr,712,200,17.1,0.337,0.085,gr15kt19k,GR15kt19k,OcHUPRnt1,gross_rent,housing,True,,0,,0,0,False,442539,4873,0.7,0.214,0.002,True,,,,,0.337,0.085,True,-441827,4877.102520964676,True,12.300000000000004,8.50235261559999,False
R1Ixa3QxNGs=,992,227,13.9,0.47,0.09,gr1kt14k,GR1kt14k,OcHUPRnt1,gross_rent,housing,True,,0,,0,0,False,619998,5133,0.5,0.3,0.002,True,,,,,0.47,0.09,True,-619006,5138.0169326307205,True,17,9.00222194794152,False
R1IyMGt0MjRr,7,11,95.5,0.003,0.005,gr20kt24k,GR20kt24k,OcHUPRnt1,gross_rent,housing,False,,0,,0,0,False,206669,2799,0.8,0.1,0.001,True,,,,,0.003,0.005,False,-206662,2799.021614778993,True,-9.7,0.5099019513592785,True
R1IyNWt0Mjlr,0,0,,0,0,gr25kt29k,GR25kt29k,OcHUPRnt1,gross_rent,housing,False,,0,,0,0,False,102402,2683,1.6,0.05,0.001,True,,,,,0,0,-102402,2683,True,-5,0.1,True
R1Iza3Bs,10,16,97.3,0.005,0.008,gr3kpl,GR3kpl,OcHUPRnt1,gross_rent,housing,False,,0,,0,0,False,147224,2968,1.2,0.071,0.001,True,,,,,0.005,0.008,False,-147214,2968.0431263713135,True,-6.6,0.806225774829855,True
R1I1MDB0OTk5,178,84,28.8,0.084,0.038,gr500t999,GR500t999,OcHUPRnt1,gross_rent,housing,False,,0,,0,0,False,321465,3260,0.6,0.156,0.002,True,,,,,0.084,0.038,False,-321287,3261.082029020429,True,-7.199999999999999,3.8052595180880893,False
R1Jub1JudFBk,113,82,44,,,grnorntpd,GRnoRntPd,NA,gross_rent,housing,False,265,130,29.9,,,False,59425,1926,2,,,True,-152,153.7010084547268,False,-0.5735849056603773,0.3735072183814262,False,,,-59312,1927.7447963877376,True,,
R1JQSTE1dDE5,286,153,32.4,0.141,0.073,grpi15t19,GRPI15t19,OcHUPRnt2,gross_rent_as_a_percentage_of_household_income__grapi_,housing,False,225,119,32.1,0.113,0.058,False,222841,3644,1,0.111,0.002,True,61,193.82982226685345,False,0.27111111111111114,0.9562195096055199,False,0.027999999999999983,0.09323625904121206,False,-222555,3647.210577962287,True,2.9999999999999982,7.302739212103908,False
R1JQSTIwdDI0,214,102,29,0.105,0.048,grpi20t24,GRPI20t24,OcHUPRnt2,gross_rent_as_a_percentage_of_household_income__grapi_,housing,False,264,131,30.1,0.133,0.063,False,228606,3500,0.9,0.113,0.002,True,-50,166.02710622064097,False,-0.1893939393939394,0.5577346017925802,False,-0.02800000000000001,0.07920227269466452,False,-228392,3501.4859702703366,True,-0.8000000000000007,4.804164859785725,False
R1JQSTI1dDI5,110,73,40.1,0.054,0.035,grpi25t29,GRPI25t29,OcHUPRnt2,gross_rent_as_a_percentage_of_household_income__grapi_,housing,False,323,180,33.9,0.163,0.088,False,211796,3409,1,0.105,0.002,True,-213,194.23954283306992,False,-0.6594427244582043,0.29512176579071214,False,-0.10900000000000001,0.09470480452437458,False,-211686,3409.781517927505,True,-5.1,3.5057096285916214,False
R1JQSTMwdDM0,88,64,44.4,0.043,0.031,grpi30t34,GRPI30t34,OcHUPRnt2,gross_rent_as_a_percentage_of_household_income__grapi_,housing,False,255,127,30.3,0.128,0.061,False,188082,3046,1,0.093,0.001,True,-167,142.21462653327893,False,-0.6549019607843137,0.30418952032299806,False,-0.085,0.068425141578224,False,-187994,3046.672282999929,True,-5.000000000000001,3.1016124838541645,False
R1JQSTM1cGw=,1091,254,14.1,0.536,0.104,grpi35pl,GRPI35pl,OcHUPRnt2,gross_rent_as_a_percentage_of_household_income__grapi_,housing,True,686,170,15,0.345,0.071,True,889842,5729,0.4,0.442,0.003,True,405,305.6403114773966,False,0.5903790087463557,0.5407611694449795,False,0.19100000000000006,0.12592458060283543,False,-888751,5734.627886794399,True,9.399999999999999,10.404326023342406,False
