id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percent_significant,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QXNuTkg=,35312,1575.32060229021,2.71194410829148,0.562992251522592,0.0197639626723699,asnnh,AsnNH,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,True,33586,1910.48266152823,3.45795163516756,0.521416484250074,0.0253446333445596,True,1167421,3568,0.2,0.138,0.001,True,1726,2476.2025361427886,False,0.0513904603108438,0.07600538302328297,False,0.041575767272517994,0.03213976757671084,False,-1132109,3900.289604631942,True,42.4992251522592,1.978924507187757,True
QXNuT0Fzbg==,114,146,77.8542099930678,0.00322589773338238,0.00412889772160037,asnoasn,AsnOAsn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,10707,1286,7.3,0.009,0.001,True,,,,,0.00322589773338238,0.00412889772160037,False,-10593,1294.2611792061136,True,-0.5774102266617619,0.4248269811986608,False
QXNuT2tpbnc=,0,0,,0,0,asnokinw,AsnOkinw,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,0,0,,0,0,False,,,,,0,0,0,0,0,0
QXNuUGFr,225,117.481913501611,31.7411451540996,0.00636690342114944,0.00331223202094133,asnpak,AsnPak,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,48973,3097,3.8,0.042,0.003,True,,,,,0.00636690342114944,0.00331223202094133,False,-48748,3099.2274843902633,True,-3.563309657885056,0.44688791615514833,True
QXNuU0Vhc3Q=,1135,378.515521478314,20.2731824633887,0.0321174905911316,0.0106144144237263,asnseast,AsnSEast,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,106360,3653,2.1,0.09,0.003,True,,,,,0.0321174905911316,0.0106144144237263,False,-105225,3672.558100289225,True,-5.78825094088684,1.1030221827262083,True
QXNuU291dGg=,2650,652.177123180505,14.9607644246259,0.0749879736268712,0.0181481736372607,asnsouth,AsnSouth,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,357005,6872,1.2,0.303,0.006,True,,,,,0.0749879736268712,0.0181481736372607,True,-354355,6902.877588368491,True,-22.801202637312883,1.9114293247937895,True
QXNuU3JpTA==,50,39.5979797464467,48.1434404212117,0.0014148674269221,0.00111873303077204,asnsril,AsnSriL,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,4576,837,11.1,0.004,0.001,True,,,,,0.0014148674269221,0.00111873303077204,False,-4526,837.9361550858156,True,-0.25851325730779,0.15005211075291125,False
QXNuVGhhaQ==,0,0,,0,0,asnthai,AsnThai,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,7346,955,7.9,0.006,0.001,True,,,,,0,0,-7346,955,True,-0.6,0.1,True
QXNuVHdu,712,247.313566146299,21.1155327811806,0.0201477121593707,0.0069401751960567,asntwn,AsnTwn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,10200,996,5.9,0.009,0.001,True,,,,,0.0201477121593707,0.0069401751960567,False,-9488,1026.2455846433638,True,1.1147712159370702,0.7011849381722389,False
QXNuVnRu,267,143.968746608422,32.7786497748078,0.007555392059764,0.00405992247706494,asnvtn,AsnVtn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,14229,1262,5.4,0.012,0.001,True,,,,,0.007555392059764,0.00405992247706494,False,-13962,1270.185419535274,True,-0.44446079402359995,0.41812642250612575,False
QmxOSA==,1017,290.120664551838,17.3417055677697,0.0162144064283664,0.00460391410361162,blnh,BlNH,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,True,1061,303.197955138223,17.3718064416046,0.0164718302206076,0.00468186346579031,True,1853055,3317,0.1,0.219,0.001,True,-44,419.64151367566103,False,-0.04147031102733271,0.38703941158200994,False,-0.0002574237922412029,0.006566267629767769,False,-1852038,3329.6634965113217,True,-20.27855935716336,0.47112657612826286,True
RmVt,32438,1132.38067804074,2.12213241222908,0.517171008577533,0.0111021510122106,fem,Fem,Pop_1,sex_and_age,demographic,True,33556,1216.23887456371,2.20334646246425,0.520950739757502,0.0109357507127447,True,4418616,268,0,0.523,0,True,-1118,1661.7830785033302,False,-0.03331743950411253,0.048645819110154934,False,-0.0037797311799689925,0.015583593961253773,False,-4386178,1163.6623221536418,True,-0.5828991422467098,1.11021510122106,False
RlBvcDB0NQ==,1561,272.492201723279,10.6117075494541,0.024887599247473,0.00429008284229459,fpop0t5,FPop0t5,Pop,poppyramid_only,demographic,True,1740,293.18765321889,10.2430791048768,0.0270131805691398,0.00448115627752687,True,269674,178,0,0.032,0,True,-179,400.26366310221096,False,-0.1028735632183908,0.21765975971537452,False,-0.0021255813216667988,0.006203674103091562,False,-268113,325.4781098630139,True,-0.7112400752527002,0.42900828422945897,False
RlBvcDEwdDE0,1314,252.568802507356,11.6847234369801,0.0209495870667389,0.00398528650531023,fpop10t14,FPop10t14,Pop,poppyramid_only,demographic,True,1131,244.204832057025,13.1257988899204,0.0175585673699408,0.00375556947819396,True,227093,2312,0.6,0.027,0,True,183,351.32178981668585,False,0.16180371352785147,0.3358543059313005,False,0.0033910196967981004,0.005476021423894348,False,-225779,2325.754716215792,True,-0.60504129332611,0.398528650531023,False
