id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
QWdGRkhN,20,21,63.2,0.001,0.001,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0.001,0.001,False,-3850,470.468915019898,True,0,0.14142135623730953
QWdISEluYw==,1009406700,60664140,3.7,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,728493700,33494444,,0,0,False,307989432000,2361252362,0.5,0,0,True,280913000,69296577.55480234,True,0.38560800182623406,0.10484771380032154,True,0,0,-306980025300,2362031510.148101,True,0,0
QWdJUDE1cGw=,1051266200,62947715,3.6,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,750758400,34579242,,0,0,False,318266008500,2111708243,0.4,0,0,True,300507800,71820183.79965195,True,0.4002723113054746,0.10578140788291965,True,0,0,-317214742300,2112646235.9746528,True,0,0
QWdUVG0=,633560,30705,2.9,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,528845,38166,,0,0,False,156042185,593582,0.2,0,0,True,104715,48984.08497665339,False,0.19800697746976903,0.1041445587556746,False,0,0,-155408625,594375.6284951462,True,0,0
QXJ0RW5SQUZT,1608,263,9.9,0.104,0.016,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,True,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.104,0.016,True,-439387,5439.361911106854,True,-0.5,1.6031219541881399,False
Q05JMTg2NF8y,20386,738,2.2,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5349491,2067.221565289991,True,,
Q29uc3RjdG4=,2211,259,7.1,0.143,0.016,constctn,Constctn,CvEm16pl3,industry,economic,True,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.143,0.016,True,-203856,3748.9573217095976,True,9.2,1.6031219541881399,True
Q3ZFbTE2cGwx,15509,622,2.4,0.603,0.015,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,14050,757,3.3,0.584,0.018,True,4053141,9894,0.1,0.591,0.001,True,1459,979.761705722366,False,0.10384341637010676,0.07414194870888821,False,0.019000000000000017,0.023430749027719962,False,-4037632,9913.532165681412,True,1.2000000000000028,1.5033296378372907,False
Q3ZFbTE2cGwy,15509,622,2.4,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,14050,757,3.3,1,0,True,4053141,9894,0.1,1,0,True,1459,979.761705722366,False,0.10384341637010676,0.07414194870888821,False,0,0,-4037632,9913.532165681412,True,0,0
Q3ZFbTE2cGwz,15509,622,2.4,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-4037632,9913.532165681412,True,0,0
Q3ZFbTE2cGw0,15509,622,2.4,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,14050,757,3.3,1,0,True,4053141,9894,0.1,1,0,True,1459,979.761705722366,False,0.10384341637010676,0.07414194870888821,False,0,0,-4037632,9913.532165681412,True,0,0
Q3ZMRjE=,16430,649,2.4,0.639,0.015,cvlf1,CvLF1,Pop16pl,employment_status,economic,True,14972,790,3.2,0.622,0.018,True,4354474,10392,0.1,0.635,0.002,True,1458,1022.3996283254411,False,0.09738177932139995,0.07233139921980244,False,0.017000000000000015,0.023430749027719962,False,-4338044,10412.245915267273,True,0.3999999999999986,1.5132745950421556,False
Q3ZMRjE4dDY0,15734,634,2.5,,,cvlf18t64,CvLF18t64,NA,health_insurance_coverage,economic,True,,0,,,,False,4102491,9890,0.1,,,True,,,,,,,-4086757,9910.30049998485,True,,
Q3ZMRjI=,16430,649,2.4,1,0,cvlf2,CvLF2,CvLF2,employment_status,economic,True,14972,790,3.2,1,0,True,4354474,10392,0.1,1,0,True,1458,1022.3996283254411,False,0.09738177932139995,0.07233139921980244,False,0,0,-4338044,10412.245915267273,True,0,0
Q3ZMRkVt,14854,610,2.5,1,0,cvlfem,CvLFEm,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3825543,9546,0.2,1,0,True,,,,,1,0,True,-3810689,9565.469983226125,True,0,0
Q3ZMRlVFbTE=,921,172,11.3,0.036,0.007,cvlfuem1,CvLFUEm1,Pop16pl,employment_status,economic,True,922,191,12.6,0.038,0.008,True,301333,4545,0.9,0.044,0.001,True,-1,257.0311265197272,False,-0.0010845986984815619,0.2786087032725766,False,-0.0020000000000000018,0.01063014581273465,False,-300412,4548.253401032093,True,-0.7999999999999998,0.7071067811865476,False
Q3ZMRlVFbTI=,921,172,11.3,0.056,0.01,cvlfuem2,CvLFUEm2,CvLF2,employment_status,economic,True,922,191,12.6,0.062,0.012,True,301333,4545,0.9,0.069,0.001,True,-1,257.0311265197272,False,-0.0010845986984815619,0.2786087032725766,False,-0.005999999999999998,0.015620499351813309,False,-300412,4548.253401032093,True,-1.2999999999999998,1.004987562112089,False
