id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m
QXZnSEhTT09j,4.1,0.39,5.8,,,avghhsooc,AvgHHSOOc,mean,housing_tenure,housing,True,3.35,0.34,6.2,,,True,2.85,0.01,0.2,,,True,0.7499999999999996,0.5173973328110613,False,,,,,1.2499999999999996,0.3901281840626232,True,,
QXZnSEhTUk9j,3,0.29,5.8,,,avghhsroc,AvgHHSROc,mean,housing_tenure,housing,True,2.89,0.3,6.4,,,True,2.51,0.01,0.2,,,True,0.10999999999999988,0.41725292090050126,False,,,,,0.4900000000000002,0.29017236257093815,False,,
Qmx0MDB0MDk=,1039,192,11.2,0.077,0.014,blt00t09,Blt00t09,HU3,year_structure_built,housing,True,,0,,0,0,False,198788,2928,0.9,0.057,0.001,True,,,,,0.077,0.014,True,-197749,2934.2883293909617,True,2,1.4035668847618201,False
Qmx0MTBMdHI=,141,66,28.5,0.01,0.005,blt10ltr,Blt10Ltr,HU3,year_structure_built,housing,False,,0,,0,0,False,76678,1919,1.5,0.022,0.001,True,,,,,0.01,0.005,False,-76537,1920.134630696504,True,-1.1999999999999997,0.5099019513592785,False
Qmx0NDB0NDk=,1740,262,9.2,0.13,0.019,blt40t49,Blt40t49,HU3,year_structure_built,housing,True,,0,,0,0,False,354913,3910,0.7,0.102,0.001,True,,,,,0.13,0.019,True,-353173,3918.768173801558,True,2.8000000000000007,1.9026297590440446,False
Qmx0NTB0NTk=,2041,264,7.9,0.152,0.02,blt50t59,Blt50t59,HU3,year_structure_built,housing,True,,0,,0,0,False,450809,4111,0.6,0.13,0.001,True,,,,,0.152,0.02,True,-448768,4119.46804818292,True,2.1999999999999993,2.0024984394500787,False
Qmx0NjB0Njk=,1412,221,9.5,0.105,0.016,blt60t69,Blt60t69,HU3,year_structure_built,housing,True,,0,,0,0,False,440499,4325,0.6,0.127,0.001,True,,,,,0.105,0.016,True,-439087,4330.642677478713,True,-2.1999999999999993,1.6031219541881399,False
Qmx0NzB0Nzk=,670,190,17.2,0.05,0.014,blt70t79,Blt70t79,HU3,year_structure_built,housing,True,,0,,0,0,False,245191,3241,0.8,0.071,0.001,True,,,,,0.05,0.014,True,-244521,3246.56449188985,True,-2.0999999999999996,1.4035668847618201,False
Qmx0ODB0ODk=,759,186,14.9,0.057,0.014,blt80t89,Blt80t89,HU3,year_structure_built,housing,True,,0,,0,0,False,164132,2906,1.1,0.047,0.001,True,,,,,0.057,0.014,True,-163373,2911.9464280786488,True,1,1.4035668847618201,False
Qmx0OTB0OTk=,1271,252,12.1,0.095,0.019,blt90t99,Blt90t99,HU3,year_structure_built,housing,True,,0,,0,0,False,127962,2842,1.4,0.037,0.001,True,,,,,0.095,0.019,True,-126691,2853.1505393161433,True,5.800000000000001,1.9026297590440446,True
Qmx0QmYzOQ==,4357,357,5,0.324,0.026,bltbf39,BltBf39,HU3,year_structure_built,housing,True,,0,,0,0,False,1413382,6785,0.3,0.407,0.002,True,,,,,0.324,0.026,True,-1409025,6794.385476259056,True,-8.299999999999997,2.6076809620810595,True
QnRSVlZFdGM=,0,0,,0,0,btrvvetc,BtRVVEtc,HU2,units_in_structure,housing,False,0,0,,0,0,False,1902,346,11.1,0.001,0.001,True,0,0,0,,,,-1902,346,True,-0.1,0.1,False
