id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
Q1dfQ3JwbGQ=,312,127,24.744758787312,0.0235382874387024,0.00947986048876037,cw_crpld,CW_Crpld,Wrkr16pl,commute_to_work,economic,False,509,208,24.8416049109942,0.0369429525330237,0.0149291867555712,False,177245,3363,1.2,0.045,0.001,True,-197,243.70679104202247,False,-0.38703339882121807,0.3535499709704879,False,-0.013404665094321304,0.01768469315733475,False,-176933,3365.3971533832378,True,-2.14617125612976,0.9532457966671555,False
Q1dfRHJ2QWxu,1866,325,10.5878022003082,0.140777065258393,0.0230657343535154,cw_drvaln,CW_DrvAln,Wrkr16pl,commute_to_work,economic,True,2149,364,10.2967238596873,0.155973290753375,0.0246656504828866,True,883066,6519,0.4,0.223,0.002,True,-283,487.97643385720994,False,-0.13168915774778966,0.2109565091037567,False,-0.01519622549498198,0.03377014087934583,False,-881200,6527.096291613906,True,-8.2222934741607,2.3152280692556846,True
Q1dfT3Ro,251,109,26.3989634168493,0.0189362504715202,0.00814687588308119,cw_oth,CW_Oth,Wrkr16pl,commute_to_work,economic,False,89,78,53.2768689593935,0.0064595732326898,0.00564761491548004,False,112933,2992,1.6,0.029,0.001,True,162,134.03357788255897,False,1.8202247191011236,2.758446711857228,False,0.012476677238830398,0.009912978406507428,False,-112682,2993.9848029006425,True,-1.0063749528479804,0.8208019654845492,False
Q1dfUGJUcm5z,9638,738,4.65482692306479,0.727121840814787,0.0354262045557672,cw_pbtrns,CW_PbTrns,Wrkr16pl,commute_to_work,economic,True,10156,788,4.71669314319713,0.737117143271883,0.0356456613385463,True,2223087,10073,0.3,0.562,0.002,True,-518,1079.624008625225,False,-0.051004332414336356,0.10345098657104651,False,-0.009995302457096011,0.05025563790749645,False,-2213449,10099.998663366248,True,16.512184081478708,3.548261502802549,True
Q1dfV2xrZA==,825,208,15.326517454177,0.0622406639004149,0.0152553884394554,cw_wlkd,CW_Wlkd,Wrkr16pl,commute_to_work,economic,True,779,220,17.1679848297443,0.0565394106546669,0.0155945975128409,True,392607,5774,0.9,0.099,0.001,True,46,302.76063152266016,False,0.059050064184852376,0.40093459942529375,False,0.005701253245747995,0.021815552892974613,False,-391782,5777.745234951088,True,-3.675933609958511,1.5288128611398764,False
Q1dfV3JrZEht,363,123,20.5983571554171,0.0273858921161826,0.00913741504356159,cw_wrkdhm,CW_WrkdHm,Wrkr16pl,commute_to_work,economic,False,96,66,41.7933130699088,0.00696762955436203,0.00477155267462454,False,164594,3729,1.4,0.042,0.001,True,267,139.5886814895821,False,2.78125,2.8982012464782168,False,0.02041826256182057,0.01030825245155658,False,-164231,3731.0280084716596,True,-1.4614107883817402,0.919197224094512,False
RTEwdDEycHQ1,530,163,18.6958765842748,0,0,e10t12pt5,E10t12pt5,MdEWrk,economic__special_variable,economic,True,921,0,,0,0,False,169608,0,,0,0,False,-391,163,False,-0.4245385450597177,0.1769815418023887,False,0,0,-169078,163,True,0,0
RTEycHQ1dDE1,424,132,18.9252738429776,0,0,e12pt5t15,E12pt5t15,MdEWrk,economic__special_variable,economic,True,450,0,,0,0,False,144620,0,,0,0,False,-26,132,False,-0.057777777777777775,0.29333333333333333,False,0,0,-144196,132,True,0,0
RTE1dDE3cHQ1,536,156,17.6926915574105,0,0,e15t17pt5,E15t17pt5,MdEWrk,economic__special_variable,economic,True,664,0,,0,0,False,173274,0,,0,0,False,-128,156,False,-0.1927710843373494,0.23493975903614459,False,0,0,-172738,156,True,0,0
RTE3cHQ1dDIw,389,125,19.5341496003313,0,0,e17pt5t20,E17pt5t20,MdEWrk,economic__special_variable,economic,True,557,0,,0,0,False,126285,0,,0,0,False,-168,125,False,-0.3016157989228007,0.2244165170556553,False,0,0,-125896,125,True,0,0
