id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m
QXZnSEhTT09j,2.97,0.73,14.9,,,avghhsooc,AvgHHSOOc,mean,housing_tenure,housing,True,2.93,0.74,15.3,,,True,2.85,0.01,0.2,,,True,0.040000000000000036,1.039471019317037,False,,,,,0.1200000000000001,0.7300684899377592,False,,
QXZnSEhTUk9j,2.87,0.14,3,,,avghhsroc,AvgHHSROc,mean,housing_tenure,housing,True,2.89,0.16,3.4,,,True,2.51,0.01,0.2,,,True,-0.020000000000000018,0.212602916254693,False,,,,,0.3600000000000003,0.14035668847618202,False,,
Qmx0MDB0MDk=,2047,289,8.6,0.133,0.019,blt00t09,Blt00t09,HU3,year_structure_built,housing,True,,0,,0,0,False,198788,2928,0.9,0.057,0.001,True,,,,,0.133,0.019,True,-196741,2942.2278973594143,True,7.6000000000000005,1.9026297590440446,True
Qmx0MTBMdHI=,1092,194,10.8,0.071,0.013,blt10ltr,Blt10Ltr,HU3,year_structure_built,housing,True,,0,,0,0,False,76678,1919,1.5,0.022,0.001,True,,,,,0.071,0.013,True,-75586,1928.7812213934478,True,4.9,1.3038404810405297,True
Qmx0NDB0NDk=,1093,267,14.9,0.071,0.017,blt40t49,Blt40t49,HU3,year_structure_built,housing,True,,0,,0,0,False,354913,3910,0.7,0.102,0.001,True,,,,,0.071,0.017,True,-353820,3919.1056377699238,True,-3.0999999999999996,1.7029386365926402,False
Qmx0NTB0NTk=,1865,302,9.9,0.122,0.02,blt50t59,Blt50t59,HU3,year_structure_built,housing,True,,0,,0,0,False,450809,4111,0.6,0.13,0.001,True,,,,,0.122,0.02,True,-448944,4122.077752784389,True,-0.8000000000000007,2.0024984394500787,False
Qmx0NjB0Njk=,2036,323,9.6,0.133,0.021,blt60t69,Blt60t69,HU3,year_structure_built,housing,True,,0,,0,0,False,440499,4325,0.6,0.127,0.001,True,,,,,0.133,0.021,True,-438463,4337.044385292823,True,0.6000000000000014,2.1023796041628637,False
Qmx0NzB0Nzk=,1607,300,11.4,0.105,0.02,blt70t79,Blt70t79,HU3,year_structure_built,housing,True,,0,,0,0,False,245191,3241,0.8,0.071,0.001,True,,,,,0.105,0.02,True,-243584,3254.8549890893755,True,3.4000000000000004,2.0024984394500787,False
Qmx0ODB0ODk=,855,222,15.8,0.056,0.014,blt80t89,Blt80t89,HU3,year_structure_built,housing,True,,0,,0,0,False,164132,2906,1.1,0.047,0.001,True,,,,,0.056,0.014,True,-163277,2914.467361285763,True,0.9000000000000004,1.4035668847618201,False
Qmx0OTB0OTk=,884,171,11.7,0.058,0.011,blt90t99,Blt90t99,HU3,year_structure_built,housing,True,,0,,0,0,False,127962,2842,1.4,0.037,0.001,True,,,,,0.058,0.011,True,-127078,2847.139792844742,True,2.100000000000001,1.104536101718726,False
Qmx0QmYzOQ==,3863,439,6.9,0.252,0.028,bltbf39,BltBf39,HU3,year_structure_built,housing,True,,0,,0,0,False,1413382,6785,0.3,0.407,0.002,True,,,,,0.252,0.028,True,-1409519,6799.187157300496,True,-15.499999999999996,2.8071337695236402,True
QnRSVlZFdGM=,31,45,88.2,0.002,0.003,btrvvetc,BtRVVEtc,HU2,units_in_structure,housing,False,38,55,88,0.003,0.004,False,1902,346,11.1,0.001,0.001,True,-7,71.06335201775947,False,-0.18421052631578946,1.6722799487460227,False,-0.001,0.005,False,-1871,348.91402952589914,True,0.1,0.31622776601683794,False
R1IxNWt0MTlr,1602,303,11.5,0.121,0.023,gr15kt19k,GR15kt19k,OcHUPRnt1,gross_rent,housing,True,,0,,0,0,False,442539,4873,0.7,0.214,0.002,True,,,,,0.121,0.023,True,-440937,4882.411084699854,True,-9.299999999999999,2.308679276123039,True
R1Ixa3QxNGs=,4611,432,5.7,0.349,0.032,gr1kt14k,GR1kt14k,OcHUPRnt1,gross_rent,housing,True,,0,,0,0,False,619998,5133,0.5,0.3,0.002,True,,,,,0.349,0.032,True,-615387,5151.146765527071,True,4.899999999999999,3.2062439083762797,False
R1IyMGt0MjRr,385,166,26.3,0.029,0.013,gr20kt24k,GR20kt24k,OcHUPRnt1,gross_rent,housing,False,,0,,0,0,False,206669,2799,0.8,0.1,0.001,True,,,,,0.029,0.013,False,-206284,2803.9181514445104,True,-7.1,1.3038404810405297,True
R1IyNWt0Mjlr,26,30,70.1,0.002,0.002,gr25kt29k,GR25kt29k,OcHUPRnt1,gross_rent,housing,False,,0,,0,0,False,102402,2683,1.6,0.05,0.001,True,,,,,0.002,0.002,False,-102376,2683.167717456365,True,-4.8,0.223606797749979,True
R1Iza3Bs,0,0,,0,0,gr3kpl,GR3kpl,OcHUPRnt1,gross_rent,housing,False,,0,,0,0,False,147224,2968,1.2,0.071,0.001,True,,,,,0,0,-147224,2968,True,-7.1,0.1,True
R1I1MDB0OTk5,2922,399,8.3,0.221,0.03,gr500t999,GR500t999,OcHUPRnt1,gross_rent,housing,True,,0,,0,0,False,321465,3260,0.6,0.156,0.002,True,,,,,0.221,0.03,True,-318543,3284.326567197604,True,6.500000000000002,3.0066592756745814,False
R1Jub1JudFBk,241,135,34.2,,,grnorntpd,GRnoRntPd,NA,gross_rent,housing,False,44,45,61.6,,,False,59425,1926,2,,,True,197,142.30249470757707,False,4.4772727272727275,6.386972066256571,False,,,-59184,1930.7255113039762,True,,
R1JQSTE1dDE5,921,221,14.6,0.072,0.017,grpi15t19,GRPI15t19,OcHUPRnt2,gross_rent_as_a_percentage_of_household_income__grapi_,housing,True,941,205,13.3,0.087,0.019,True,222841,3644,1,0.111,0.002,True,-20,301.4398779192959,False,-0.021253985122210415,0.3172092067586063,False,-0.015,0.025495097567963924,False,-221920,3650.6954132055444,True,-3.9000000000000004,1.711724276862369,False
R1JQSTIwdDI0,1167,286,14.9,0.091,0.022,grpi20t24,GRPI20t24,OcHUPRnt2,gross_rent_as_a_percentage_of_household_income__grapi_,housing,True,1133,228,12.2,0.104,0.021,True,228606,3500,0.9,0.113,0.002,True,34,365.75948381415895,False,0.03000882612533098,0.32662241689565547,False,-0.012999999999999998,0.0304138126514911,False,-227439,3511.6657016293566,True,-2.200000000000001,2.209072203437452,False
R1JQSTI1dDI5,1585,303,11.6,0.124,0.024,grpi25t29,GRPI25t29,OcHUPRnt2,gross_rent_as_a_percentage_of_household_income__grapi_,housing,True,1532,284,11.3,0.141,0.026,True,211796,3409,1,0.105,0.002,True,53,415.2890559598218,False,0.034595300261096605,0.275501902721473,False,-0.016999999999999987,0.03538361202590826,False,-210211,3422.439188648938,True,1.9000000000000004,2.4083189157584592,False
R1JQSTMwdDM0,1330,269,12.3,0.104,0.021,grpi30t34,GRPI30t34,OcHUPRnt2,gross_rent_as_a_percentage_of_household_income__grapi_,housing,True,1238,262,12.9,0.114,0.024,True,188082,3046,1,0.093,0.001,True,92,375.50632484686594,False,0.07431340872374798,0.31449193311879337,False,-0.010000000000000009,0.03189043743820395,False,-186752,3057.854967129736,True,1.0999999999999996,2.1023796041628637,False
R1JQSTM1cGw=,6512,477,4.5,0.51,0.035,grpi35pl,GRPI35pl,OcHUPRnt2,gross_rent_as_a_percentage_of_household_income__grapi_,housing,True,4442,388,5.3,0.409,0.033,True,889842,5729,0.4,0.442,0.003,True,2070,614.8764103460142,True,0.4660063034669068,0.16711927147682526,False,0.10100000000000003,0.048104053883222773,False,-883330,5748.823357870721,True,6.799999999999997,3.51283361405006,False
R1JQSTUwcGw=,4350,423,5.9,0.341,0.032,grpi50pl,GRPI50pl,OcHUPRnt2,gross_rent_as_a_percentage_of_household_income__grapi_,housing,True,3044,335,6.7,0.28,0.03,True,584722,5029,0.5,0.29,0.002,True,1306,539.5868790102295,False,0.4290407358738502,0.2098669410362456,False,0.061,0.043863424398922615,False,-580372,5046.75836552534,True,5.100000000000005,3.2062439083762797,False
R1JQSU50Qw==,672,242,21.9,,,grpintc,GRPINtC,NA,gross_rent_as_a_percentage_of_household_income__grapi_,housing,False,195,91,28.5,,,False,109433,2779,1.5,,,True,477,258.54400012377005,False,2.4461538461538463,2.0313710581940407,False,,,-108761,2789.5169832786464,True,,
R1JQSVUxNQ==,1254,274,13.3,0.098,0.021,grpiu15,GRPIU15,OcHUPRnt2,gross_rent_as_a_percentage_of_household_income__grapi_,housing,True,1569,281,10.9,0.145,0.025,True,273663,4314,1,0.136,0.002,True,-315,392.4754769409167,False,-0.20076481835564053,0.22580000068405176,False,-0.046999999999999986,0.03264965543462902,False,-272409,4322.69267933773,True,-3.8000000000000007,2.1095023109728985,False
R1JVNTAw,3654,381,6.3,0.277,0.028,gru500,GRU500,OcHUPRnt1,gross_rent,housing,True,,0,,0,0,False,224541,3382,0.9,0.109,0.002,True,,,,,0.277,0.028,True,-220887,3403.3931597745213,True,16.800000000000004,2.8071337695236402,True
SE9WYWNSdA==,2.5,2.8,68.6,,,hovacrt,HOVacRt,rate,housing_occupancy,housing,False,0,0,,,,False,1.8,0.1,3.4,,,True,2.5,2.8,False,,,,,0.7,2.80178514522438,False,,
