id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
QWdGRkhN,25,23,55.9270516717325,0.000629453382682479,0.000578827435170018,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0.000629453382682479,0.000578827435170018,False,-3845,470.5624294394953,True,0,0.11554398295478227
QWdISEluYw==,3222467700,106522574,2.00949614277712,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,2632539600,95954246,2.21576338803104,0,0,True,307989432000,2361252362,0.5,0,0,True,589928100,143367625.69357836,True,0.22409087407460082,0.06023304741266013,True,0,0,-304766964300,2363653903.561637,True,0,0
QWdJUDE1cGw=,3247449700,106700287,1.99736415786774,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,2688496200,97415236,2.20268075699151,0,0,True,318266008500,2111708243,0.4,0,0,True,558953500,144480723.45755354,True,0.20790563140836874,0.05908212935814522,True,0,0,-315018558800,2114402197.9746497,True,0,0
QWdUVG0=,1670920,56787,2.06598596248635,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,1479160,55943,2.29913618104616,0,0,True,156042185,593582,0.2,0,0,True,191760,79714.38150045449,False,0.12964114767841206,0.057438939743870786,False,0,0,-154371265,596292.1717522376,True,0,0
QXJ0RW5SQUZT,3784,438,7.03650629429947,0.0952740640028199,0.010698754202592,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,True,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.0952740640028199,0.010698754202592,True,-437211,5450.626844684931,True,-1.3725935997180105,1.0745386986399326,False
Q05JMTg2NF8y,50061,1243,1.50940472684116,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5319816,2296.477737754059,True,,
Q29uc3RjdG4=,1984,304,9.31463869006765,0.0499534204496815,0.00752458697032423,constctn,Constctn,CvEm16pl3,industry,economic,True,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.0499534204496815,0.00752458697032423,True,-204083,3752.3347398653013,True,-0.1046579550318496,0.7590744961726298,False
Q3ZFbTE2cGwx,39717,1115,1.70660309225766,0.607024408137065,0.011278345648198,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,37873,1164,1.86834627358416,0.565091538473016,0.0117580151585951,True,4053141,9894,0.1,0.591,0.001,True,1844,1611.868791186181,False,0.04868903968526391,0.04365274603357571,False,0.04193286966404908,0.016292697782441648,False,-4013424,9956.628997808444,True,1.602440813706508,1.1322591600875958,False
Q3ZFbTE2cGwy,39717,1115,1.70660309225766,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,37873,1164,1.86834627358416,1,0,True,4053141,9894,0.1,1,0,True,1844,1611.868791186181,False,0.04868903968526391,0.04365274603357571,False,0,0,-4013424,9956.628997808444,True,0,0
Q3ZFbTE2cGwz,39717,1115,1.70660309225766,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-4013424,9956.628997808444,True,0,0
Q3ZFbTE2cGw0,39717,1115,1.70660309225766,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,37873,1164,1.86834627358416,1,0,True,4053141,9894,0.1,1,0,True,1844,1611.868791186181,False,0.04868903968526391,0.04365274603357571,False,0,0,-4013424,9956.628997808444,True,0,0
Q3ZMRjE=,42144,1156,1.66746289462327,0.644118051628483,0.0113311683993412,cvlf1,CvLF1,Pop16pl,employment_status,economic,True,40810,1224,1.82326132891024,0.608913624087972,0.0119927346797894,True,4354474,10392,0.1,0.635,0.002,True,1334,1683.6009028270328,False,0.0326880666503308,0.04197278005117006,False,0.03520442754051101,0.01649912307954735,False,-4312330,10456.09869884557,True,0.9118051628482959,1.1506319015837716,False
Q3ZMRjE4dDY0,39393,1125,1.73607132614322,,,cvlf18t64,CvLF18t64,NA,health_insurance_coverage,economic,True,,0,,,,False,4102491,9890,0.1,,,True,,,,,,,-4063098,9953.779432959122,True,,
