id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QWdGRkhN,0,0,,0,0,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0,0,-3870,470,True,-0.1,0.1,False
QWdISEluYw==,612274500,31051763,3.1,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,560720800,30463623,,0,0,False,307989432000,2361252362,0.5,0,0,True,51553700,43499934.6171267,False,0.09194183629357071,0.08115514166186313,False,0,0,-307377157500,2361456527.026485,True,0,0
QWdJUDE1cGw=,647439500,32393486,3,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,598269600,33357645,,0,0,False,318266008500,2111708243,0.4,0,0,True,49169900,46498068.94031429,False,0.08218686023826048,0.08107127585640338,False,0,0,-317618569000,2111956685.5144968,True,0,0
QWdUVG0=,508485,32116,3.8,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,428045,36935,,0,0,False,156042185,593582,0.2,0,0,True,80440,48945.19058089364,False,0.18792416685161606,0.1270288532579979,False,0,0,-155533700,594450.1898224948,True,0,0
QXJ0RW5SQUZT,1752,269,9.3,0.14,0.02,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,True,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.14,0.02,True,-439243,5439.655319962838,True,3.1000000000000014,2.0024984394500787,False
Q05JMTg2NF8y,17639,734,2.5,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5352238,2065.796940650266,True,,
Q29uc3RjdG4=,741,169,13.8,0.059,0.013,constctn,Constctn,CvEm16pl3,industry,economic,True,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.059,0.013,True,-205326,3743.8163683599655,True,0.7999999999999998,1.3038404810405297,False
Q3ZFbTE2cGwx,12522,616,3,0.559,0.018,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,12299,801,4,0.55,0.026,True,4053141,9894,0.1,0.591,0.001,True,223,1010.4736513140756,False,0.018131555411009026,0.08309819056797996,False,0.009000000000000008,0.03162277660168379,False,-4040619,9913.157519176219,True,-3.1999999999999886,1.8027756377319943,False
Q3ZFbTE2cGwy,12522,616,3,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,12299,801,4,1,0,True,4053141,9894,0.1,1,0,True,223,1010.4736513140756,False,0.018131555411009026,0.08309819056797996,False,0,0,-4040619,9913.157519176219,True,0,0
Q3ZFbTE2cGwz,12522,616,3,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-4040619,9913.157519176219,True,0,0
Q3ZFbTE2cGw0,12522,616,3,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,12299,801,4,1,0,True,4053141,9894,0.1,1,0,True,223,1010.4736513140756,False,0.018131555411009026,0.08309819056797996,False,0,0,-4040619,9913.157519176219,True,0,0
Q3ZMRjE=,13964,683,3,0.623,0.019,cvlf1,CvLF1,Pop16pl,employment_status,economic,True,13411,849,3.8,0.6,0.027,True,4354474,10392,0.1,0.635,0.002,True,553,1089.628377016678,False,0.04123480724778167,0.08329887371729439,False,0.02300000000000002,0.03301514803843835,False,-4340510,10414.420435146643,True,-1.2000000000000028,1.91049731745428,False
Q3ZMRjE4dDY0,13332,672,3.1,,,cvlf18t64,CvLF18t64,NA,health_insurance_coverage,economic,True,,0,,,,False,4102491,9890,0.1,,,True,,,,,,,-4089159,9912.804043256378,True,,
Q3ZMRjI=,13964,683,3,1,0,cvlf2,CvLF2,CvLF2,employment_status,economic,True,13411,849,3.8,1,0,True,4354474,10392,0.1,1,0,True,553,1089.628377016678,False,0.04123480724778167,0.08329887371729439,False,0,0,-4340510,10414.420435146643,True,0,0
Q3ZMRkVt,12008,618,3.1,1,0,cvlfem,CvLFEm,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3825543,9546,0.2,1,0,True,,,,,1,0,True,-3813535,9565.9834831553,True,0,0
Q3ZMRlVFbTE=,1442,241,10.2,0.064,0.01,cvlfuem1,CvLFUEm1,Pop16pl,employment_status,economic,True,1112,270,14.8,0.05,0.012,True,301333,4545,0.9,0.044,0.001,True,330,361.91297296449596,False,0.29676258992805754,0.3822409465193018,False,0.013999999999999999,0.015620499351813309,False,-299891,4551.385063911864,True,2.000000000000001,1.004987562112089,False
Q3ZMRlVFbTI=,1442,241,10.2,0.103,0.016,cvlfuem2,CvLFUEm2,CvLF2,employment_status,economic,True,1112,270,14.8,0.083,0.019,True,301333,4545,0.9,0.069,0.001,True,330,361.91297296449596,False,0.29676258992805754,0.3822409465193018,False,0.01999999999999999,0.02483948469674844,False,-299891,4551.385063911864,True,3.3999999999999986,1.6031219541881399,False
