id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
RlBvcDMwdDM0,2659,339,7.7,0.049,0.006,fpop30t34,FPop30t34,Pop,poppyramid_only,demographic,True,1845,304,10,0.039,0.006,True,366861,247,0,0.043,0,True,814,455.34272806315903,False,0.44119241192411923,0.3002496343495103,False,0.010000000000000002,0.00848528137423857,False,-364202,419.4401029944562,True,0.6000000000000005,0.6,False
RlBvcDM1dDM5,2042,296,8.8,0.038,0.005,fpop35t39,FPop35t39,Pop,poppyramid_only,demographic,True,1683,300,10.8,0.035,0.006,True,315142,3125,0.6,0.037,0,True,359,421.4451328464952,False,0.2133095662507427,0.2787613911371494,False,0.0029999999999999957,0.0078102496759066544,False,-313100,3138.9872570623793,True,0.10000000000000009,0.5,False
RlBvcDQwdDQ0,1617,259,9.8,0.03,0.005,fpop40t44,FPop40t44,Pop,poppyramid_only,demographic,True,1510,291,11.7,0.032,0.006,True,280418,3132,0.7,0.033,0,True,107,389.56642565806413,False,0.07086092715231788,0.26834544513299524,False,-0.0020000000000000018,0.0078102496759066544,False,-278801,3142.690726113532,True,-0.30000000000000027,0.5,False
RlBvcDQ1dDQ5,1309,226,10.5,0.024,0.004,fpop45t49,FPop45t49,Pop,poppyramid_only,demographic,True,1339,241,10.9,0.028,0.005,True,281658,193,0,0.033,0,True,-30,330.3891644712338,False,-0.022404779686333084,0.2438173219306596,False,-0.004,0.006403124237432849,False,-280349,297.1952220342716,True,-0.9000000000000004,0.4,False
RlBvcDUwdDU0,1354,251,11.3,0.025,0.005,fpop50t54,FPop50t54,Pop,poppyramid_only,demographic,True,977,208,13,0.02,0.004,True,285202,202,0,0.034,0,True,377,325.9831283977746,False,0.3858751279426817,0.3912231927725062,False,0.005000000000000001,0.006403124237432849,False,-283848,322.18783341398847,True,-0.9000000000000004,0.5,False
RlBvcDU1dDU5,963,197,12.4,0.018,0.004,fpop55t59,FPop55t59,Pop,poppyramid_only,demographic,True,773,205,16.1,0.016,0.004,True,272993,2843,0.6,0.032,0,True,190,284.3132075722125,False,0.24579560155239327,0.4172574970345852,False,0.0019999999999999983,0.00565685424949238,False,-272030,2849.8171871192017,True,-1.4000000000000004,0.4,True
RlBvcDV0OQ==,2266,367,9.8,0.042,0.007,fpop5t9,FPop5t9,Pop,poppyramid_only,demographic,True,1496,294,11.9,0.031,0.006,True,234049,2327,0.6,0.028,0,True,770,470.2393007820593,False,0.5147058823529411,0.3857374963169019,False,0.011000000000000003,0.009219544457292887,False,-231783,2355.7627214980716,True,1.4,0.7000000000000001,False
RlBvcDYwdDY0,867,208,14.5,0.016,0.004,fpop60t64,FPop60t64,Pop,poppyramid_only,demographic,True,613,182,18.1,0.013,0.004,True,256568,2933,0.7,0.03,0,True,254,276.3837911311009,False,0.41435562805872755,0.5398794195454865,False,0.003000000000000001,0.00565685424949238,False,-255701,2940.3661336643095,True,-1.4,0.4,True
RlBvcDY1dDY5,674,170,15.3,0.012,0.003,fpop65t69,FPop65t69,Pop,poppyramid_only,demographic,True,639,186,17.7,0.013,0.004,True,214644,2853,0.8,0.025,0,True,35,251.9841264841895,False,0.054773082942097026,0.4062522162014011,False,-0.0009999999999999992,0.005,False,-213970,2858.06035625562,True,-1.3,0.3,True
RlBvcDcwdDc0,596,144,14.6,0.011,0.003,fpop70t74,FPop70t74,Pop,poppyramid_only,demographic,True,455,133,17.8,0.01,0.003,True,161099,2686,1,0.019,0,True,141,196.02295783912658,False,0.3098901098901099,0.49675678131124185,False,0.0009999999999999992,0.004242640687119285,False,-160503,2689.8572452827307,True,-0.8,0.3,False
RlBvcDc1dDc5,394,119,18.4,0.007,0.002,fpop75t79,FPop75t79,Pop,poppyramid_only,demographic,True,425,129,18.5,0.009,0.003,True,124380,1845,0.9,0.015,0,True,-31,175.50498568416796,False,-0.07294117647058823,0.39696362288404263,False,-0.001999999999999999,0.0036055512754639895,False,-123986,1848.8336864088128,True,-0.7999999999999999,0.2,True
RlBvcDgwdDg0,137,68,30.1,0.003,0.001,fpop80t84,FPop80t84,Pop,poppyramid_only,demographic,False,191,93,29.5,0.004,0.002,False,91235,1728,1.2,0.011,0,True,-54,115.20850663036997,False,-0.28272251308900526,0.4987250542765851,False,-0.001,0.0022360679774997894,False,-91098,1729.3374453819013,True,-0.7999999999999998,0.1,True
RlBvcDg1cGw=,260,112,26.2,0.005,0.002,fpop85pl,FPop85pl,Pop,poppyramid_only,demographic,False,207,94,27.5,0.004,0.002,False,111704,1844,1,0.013,0,True,53,146.21901381147393,False,0.2560386473429952,0.7861785035992542,False,0.001,0.00282842712474619,False,-111444,1847.3981704007397,True,-0.8,0.2,True
SHNwMQ==,47669,2255,2.9,0.88,0.022,hsp1,Hsp1,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,True,40490,2411,3.6,0.849,0.03,True,2457137,0,0,0.291,0,True,7179,3301.2037198573494,False,0.17730303778710793,0.0895328950957773,False,0.031000000000000028,0.03720215047547654,False,-2409468,2255,True,58.900000000000006,2.1999999999999997,True
SHNwMg==,47669,2255,2.9,1,0,hsp2,Hsp2,Hsp2,hispanic_subgroup,demographic,True,40490,2411,3.6,1,0,True,2457137,0,0,1,0,True,7179,3301.2037198573494,False,0.17730303778710793,0.0895328950957773,False,0,0,-2409468,2255,True,0,0
SHNwQWxsT3Ro,823,310,22.9,0.017,0.006,hspalloth,HspAllOth,Hsp2,hispanic_subgroup,demographic,False,846,430,30.9,0.021,0.011,False,73407,3230,2.7,0.03,0.001,True,-23,530.0943312279429,False,-0.027186761229314422,0.6154329971729622,False,-0.004,0.012529964086141668,False,-72584,3244.8420608713764,True,-1.2999999999999998,0.6082762530298219,False
