id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percent_significant,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m
QUlBTk5I,162,172,64.4,0.002,0.002,aiannh,AIANNH,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,False,91,62,41.5,0.002,0.001,False,15017,875,3.5,0.002,0.001,True,71,182.8332573685652,False,0.7802197802197802,2.245803756476271,False,0,0.0022360679774997894,-14855,891.74491868471,True,0,0.223606797749979
QXNuMVJj,17082,1408,5,1,0,asn1rc,Asn1Rc,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,1177700,3785,0.2,1,0,True,,,,,1,0,True,-1160618,4038.401787836371,True,0,0
QXNuMnBs,434,204,28.6,0.025,0.012,asn2pl,Asn2pl,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,17175,1660,5.9,0.015,0.001,True,,,,,0.025,0.012,False,-16741,1672.4879670718112,True,1,1.2041594578792296,False
QXNuQmh1dG4=,0,0,,0,0,asnbhutn,AsnBhutn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,100,90,54.7,0,0,False,,,,,0,0,-100,90,False,0,0
QXNuQm5n,1960,664,20.6,0.115,0.038,asnbng,AsnBng,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,65991,3237,3,0.056,0.003,True,,,,,0.115,0.038,False,-64031,3304.4008534074674,True,5.8999999999999995,3.8118237105091834,False
QXNuQnVybQ==,193,143,45,0.011,0.008,asnburm,AsnBurm,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,4509,620,8.4,0.004,0.001,True,,,,,0.011,0.008,False,-4316,636.2774552033098,True,0.6999999999999998,0.806225774829855,False
QXNuQ2hpTm9U,4933,833,10.3,0.289,0.043,asnchinot,AsnChiNoT,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,565173,5911,0.6,0.48,0.005,True,,,,,0.289,0.043,True,-560240,5969.406168120913,True,-19.1,4.328972164382672,True
QXNuQ21i,0,0,,0,0,asncmb,AsnCmb,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,2700,1036,23.3,0.002,0.001,False,,,,,0,0,-2700,1036,False,-0.2,0.1,False
QXNuRWFzdA==,8014,994,7.5,0.469,0.043,asneast,AsnEast,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,686453,6802,0.6,0.583,0.005,True,,,,,0.469,0.043,True,-678439,6874.2446857818495,True,-11.399999999999999,4.328972164382672,False
QXNuRmxw,1605,519,19.7,0.094,0.029,asnflp,AsnFlp,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,71450,2932,2.5,0.061,0.002,True,,,,,0.094,0.029,True,-69845,2977.5803935410377,True,3.3000000000000007,2.906888370749727,False
QXNuSG1uZw==,0,0,,0,0,asnhmng,AsnHmng,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,60,59,59.8,0,0,False,,,,,0,0,-60,59,False,0,0
QXNuSW5k,3063,612,12.1,0.179,0.033,asnind,AsnInd,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,228887,4990,1.3,0.194,0.004,True,,,,,0.179,0.033,True,-225824,5027.3893821744105,True,-1.5000000000000036,3.3241540277189325,False
QXNuSW5kbnNu,254,294,70.3,0.015,0.017,asnindnsn,AsnIndnsn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,3778,675,10.9,0.003,0.001,True,,,,,0.015,0.017,False,-3524,736.2479202007976,True,1.2,1.7029386365926402,False
QXNuSnBu,1068,379,21.6,0.063,0.022,asnjpn,AsnJpn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,25224,1431,3.4,0.021,0.001,True,,,,,0.063,0.022,False,-24156,1480.3384748090552,True,4.199999999999999,2.2022715545545237,False
QXNuS29y,1793,371,12.6,0.105,0.02,asnkor,AsnKor,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,85212,2865,2,0.072,0.002,True,,,,,0.105,0.02,True,-83419,2888.9212519554767,True,3.3000000000000007,2.009975124224178,False
QXNuTGFv,7,10,86.8,0,0.001,asnlao,AsnLao,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,538,173,19.5,0,0,True,,,,,0,0.001,-531,173.2887763243771,True,0,0.1
QXNuTWFsc24=,20,31,94.2,0.001,0.002,asnmalsn,AsnMalsn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,1750,544,18.9,0.001,0,True,,,,,0.001,0.002,False,-1730,544.8825561531586,True,0,0.2
QXNuTWdvbA==,0,0,,0,0,asnmgol,AsnMgol,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,644,287,27.1,0.001,0,False,,,,,0,0,-644,287,False,-0.1,0,True
QXNuTmVwYWw=,695,395,34.5,0.041,0.023,asnnepal,AsnNepal,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,8478,1242,8.9,0.007,0.001,True,,,,,0.041,0.023,False,-7783,1303.2992749173154,True,3.4000000000000004,2.3021728866442674,False
QXNuTkg=,16946,1408,5.1,0.245,0.019,asnnh,AsnNH,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,True,15289,1333,5.3,0.258,0.021,True,1167421,3568,0.2,0.138,0.001,True,1657,1938.905103402433,False,0.10837857283013931,0.1334898074577224,False,-0.013000000000000012,0.02831960451701259,False,-1150475,3835.7643306126097,True,10.7,1.9026297590440446,True
QXNuT0Fzbg==,215,170,48.2,0.013,0.01,asnoasn,AsnOAsn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,10707,1286,7.3,0.009,0.001,True,,,,,0.013,0.01,False,-10492,1297.1877273548344,True,0.40000000000000013,1.004987562112089,False
QXNuT2tpbnc=,0,0,,0,0,asnokinw,AsnOkinw,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,0,0,,0,0,False,,,,,0,0,0,0,0,0
QXNuUGFr,146,124,51.6,0.009,0.007,asnpak,AsnPak,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,48973,3097,3.8,0.042,0.003,True,,,,,0.009,0.007,False,-48827,3099.4814082359003,True,-3.3000000000000003,0.7615773105863909,True
QXNuU0Vhc3Q=,2507,635,15.4,0.147,0.035,asnseast,AsnSEast,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,106360,3653,2.1,0.09,0.003,True,,,,,0.147,0.035,True,-103853,3707.780198447583,True,5.699999999999999,3.51283361405006,False
QXNuU291dGg=,5912,994,10.2,0.346,0.051,asnsouth,AsnSouth,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,357005,6872,1.2,0.303,0.006,True,,,,,0.346,0.051,True,-351093,6943.516400211063,True,4.299999999999994,5.1351728305871065,False
QXNuU3JpTA==,48,49,61.4,0.003,0.003,asnsril,AsnSriL,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,4576,837,11.1,0.004,0.001,True,,,,,0.003,0.003,False,-4528,838.4330623251924,True,-0.10000000000000003,0.31622776601683794,False
QXNuVGhhaQ==,230,128,33.7,0.013,0.007,asnthai,AsnThai,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,7346,955,7.9,0.006,0.001,True,,,,,0.013,0.007,False,-7116,963.5398279261735,True,0.7000000000000001,0.7071067811865476,False
QXNuVHdu,220,112,30.9,0.013,0.006,asntwn,AsnTwn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,10200,996,5.9,0.009,0.001,True,,,,,0.013,0.006,False,-9980,1002.2774067093401,True,0.40000000000000013,0.6082762530298219,False
QXNuVnRu,198,97,29.9,0.012,0.006,asnvtn,AsnVtn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,14229,1262,5.4,0.012,0.001,True,,,,,0.012,0.006,False,-14031,1265.7223234185292,True,0,0.6082762530298219
QmxOSA==,1510,466,18.7,0.022,0.007,blnh,BlNH,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,True,1275,286,13.6,0.022,0.005,True,1853055,3317,0.1,0.219,0.001,True,235,546.7650318006813,False,0.1843137254901961,0.45183754031300655,False,0,0.008602325267042627,-1851545,3349.573853492411,True,-19.7,0.7071067811865476,True
RmVt,33460,1208,2.2,0.483,0.011,fem,Fem,Pop_1,sex_and_age,demographic,True,29966,1168,2.4,0.506,0.012,True,4418616,268,0,0.523,0,True,3494,1680.3237783236896,False,0.1165988119869185,0.05932344535183162,False,-0.02300000000000002,0.016278820596099707,False,-4385156,1237.3714074601853,True,-4.000000000000007,1.0999999999999999,True
RlBvcDB0NQ==,2252,373,10.1,0.032,0.005,fpop0t5,FPop0t5,Pop,poppyramid_only,demographic,True,1759,328,11.4,0.03,0.005,True,269674,178,0,0.032,0,True,493,496.70212401398084,False,0.2802728823194997,0.3193103887681532,False,0.0020000000000000018,0.007071067811865475,False,-267422,413.2952939485278,True,0,0.5
RlBvcDEwdDE0,1027,223,13.2,0.015,0.003,fpop10t14,FPop10t14,Pop,poppyramid_only,demographic,True,1039,249,14.5,0.018,0.004,True,227093,2312,0.6,0.027,0,True,-12,334.26037755019667,False,-0.011549566891241578,0.319657000173602,False,-0.002999999999999999,0.005,False,-226066,2322.7296441902145,True,-1.2000000000000002,0.3,True
RlBvcDE1dDE5,1179,226,11.7,0.017,0.003,fpop15t19,FPop15t19,Pop,poppyramid_only,demographic,True,1366,290,12.9,0.023,0.005,True,226700,355,0.1,0.027,0,True,-187,367.66288907095316,False,-0.13689604685212298,0.2468763538401953,False,-0.005999999999999998,0.0058309518948453,False,-225521,420.8336963694804,True,-1,0.3,True
RlBvcDIwdDI0,1407,267,11.5,0.02,0.004,fpop20t24,FPop20t24,Pop,poppyramid_only,demographic,True,2156,393,11.1,0.036,0.007,True,293909,3345,0.7,0.035,0,True,-749,475.1189324790162,False,-0.3474025974025974,0.17171827843430235,False,-0.015999999999999997,0.00806225774829855,False,-292502,3355.6391343527985,True,-1.5000000000000004,0.4,True
RlBvcDI1dDI5,4406,487,6.7,0.064,0.007,fpop25t29,FPop25t29,Pop,poppyramid_only,demographic,True,3733,466,7.6,0.063,0.008,True,405287,203,0,0.048,0,True,673,674.0363491682033,False,0.18028395392445754,0.19679370401084473,False,0.0010000000000000009,0.01063014581273465,False,-400881,527.6153902228402,True,1.6000000000000005,0.7000000000000001,False
