id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
Q3ZOSVBvcDI=,80450,2075.89643286942,1.56860549445042,1,0,cvnipop2,CvNIPop2,CvNIPop2,health_insurance_coverage,economic,True,,0,,0,0,False,8379895,1861,0,1,0,True,,,,,1,0,True,-8299445,2787.9503223694614,True,0,0
Q3ZOSVUxOF8y,7891,721.840009974509,5.56087335827943,1,0,cvniu18_2,CvNIU18_2,CvNIU18_2,health_insurance_coverage,economic,True,,0,,0,0,False,1855028,1721,0.1,1,0,True,,,,,1,0,True,-1847137,1866.2513228394505,True,0,0
Q1dfQ3JwbGQ=,520,222,25.9527706336217,0.00990683762312104,0.00421640768976872,cw_crpld,CW_Crpld,Wrkr16pl,commute_to_work,economic,False,393,121,18.7165982196029,0.0090301233887089,0.00276261811035445,True,177245,3363,1.2,0.045,0.001,True,127,252.83393759541065,False,0.3231552162849873,0.6964603908467235,False,0.0008767142344121414,0.005040848403790693,False,-176725,3370.3194210638253,True,-3.509316237687896,0.43333697980141034,True
Q1dfRHJ2QWxu,2469,473.481784232509,11.6577914894235,0.0470384270990112,0.00888179489419692,cw_drvaln,CW_DrvAln,Wrkr16pl,commute_to_work,economic,True,2169,333.767883416005,9.3544679286045,0.0498380092369201,0.00747232496511845,True,883066,6519,0.4,0.223,0.002,True,300,579.2978508504931,False,0.13831258644536654,0.27988454148668546,False,-0.0027995821379088945,0.011606977251934067,False,-880597,6536.172121356658,True,-17.59615729009888,0.9104190273856455,True
Q1dfT3Ro,3667,530.377224247045,8.79241247613099,0.069862256853817,0.00982958031898356,cw_oth,CW_Oth,Wrkr16pl,commute_to_work,economic,True,3269,440.38619415236,8.18941487088082,0.0751131637600239,0.00977876632372533,True,112933,2992,1.6,0.029,0.001,True,398,689.376529916707,False,0.12174977057204038,0.22172003164983195,False,-0.005250906906206901,0.013865241435379823,False,-109266,3038.645092800408,True,4.0862256853817,0.9880316252395412,True
Q1dfUGJUcm5z,28167,1439.20985266222,3.1061156902815,0.536626721789327,0.0206984646329481,cw_pbtrns,CW_PbTrns,Wrkr16pl,commute_to_work,economic,True,23253,1241.82325634528,3.24649617089061,0.534293789205211,0.0217188824252086,True,2223087,10073,0.3,0.562,0.002,True,4914,1900.9076779265226,False,0.21132757063604696,0.08953046503243639,False,0.002332932584116043,0.03000227144669947,False,-2194920,10175.296261043215,True,-2.5373278210673007,2.079486566827022,False
Q1dfV2xrZA==,14622,1175.43396241558,4.88681111493147,0.278572653317838,0.0203553185475835,cw_wlkd,CW_Wlkd,Wrkr16pl,commute_to_work,economic,True,11654,857.378562829746,4.47230799516633,0.267778773465683,0.0173804416846063,True,392607,5774,0.9,0.099,0.001,True,2968,1454.9030895561366,False,0.2546765059207139,0.13672349742020104,False,0.010793879852154964,0.026765999819278134,False,-377985,5892.4291255814005,True,17.957265331783795,2.0379867349264,True
Q1dfV3JrZEht,3044,460.905630254177,9.20452672363944,0.0579931033168854,0.00856323408600485,cw_wrkdhm,CW_WrkdHm,Wrkr16pl,commute_to_work,economic,True,2783,410.993917229927,8.97751802312404,0.0639461409434526,0.00918016997538858,True,164594,3729,1.4,0.042,0.001,True,261,617.5354240851291,False,0.09378368666906216,0.2313443596050091,False,-0.005953037626567209,0.012554063039061947,False,-161550,3757.3760791275604,True,1.5993103316885398,0.8621425520858794,False
RTEwdDEycHQ1,1492,370,15.0753359355265,0,0,e10t12pt5,E10t12pt5,MdEWrk,economic__special_variable,economic,True,943,0,,0,0,False,169608,0,,0,0,False,549,370,False,0.5821845174973489,0.39236479321314954,False,0,0,-168116,370,True,0,0
RTEycHQ1dDE1,368,135,22.3007797013347,0,0,e12pt5t15,E12pt5t15,MdEWrk,economic__special_variable,economic,False,1061,0,,0,0,False,144620,0,,0,0,False,-693,135,True,-0.65315739868049,0.12723845428840716,True,0,0,-144252,135,True,0,0
RTE1dDE3cHQ1,607,194,19.4288518449898,0,0,e15t17pt5,E15t17pt5,MdEWrk,economic__special_variable,economic,True,1040,0,,0,0,False,173274,0,,0,0,False,-433,194,False,-0.41634615384615387,0.18653846153846154,False,0,0,-172667,194,True,0,0
RTE3cHQ1dDIw,761,247,19.7308772252156,0,0,e17pt5t20,E17pt5t20,MdEWrk,economic__special_variable,economic,True,444,0,,0,0,False,126285,0,,0,0,False,317,247,False,0.713963963963964,0.5563063063063063,False,0,0,-125524,247,True,0,0
RTIwdDIycHQ1,1220,319,15.895161692162,0,0,e20t22pt5,E20t22pt5,MdEWrk,economic__special_variable,economic,True,1408,0,,0,0,False,196961,0,,0,0,False,-188,319,False,-0.13352272727272727,0.22656249999999997,False,0,0,-195741,319,True,0,0
RTIycHQ1dDI1,395,205,31.5493824785503,0,0,e22pt5t25,E22pt5t25,MdEWrk,economic__special_variable,economic,False,523,0,,0,0,False,107043,0,,0,0,False,-128,205,False,-0.2447418738049713,0.3919694072657744,False,0,0,-106648,205,True,0,0
RTdwdDV0MTA=,812,251,18.7910820968152,0,0,e7pt5t10,E7pt5t10,MdEWrk,economic__special_variable,economic,True,825,0,,0,0,False,118902,0,,0,0,False,-13,251,False,-0.01575757575757576,0.30424242424242426,False,0,0,-118090,251,True,0,0
RWRIbHRoQ1NB,8517,790.544748891548,5.64253041488307,0.160139136974711,0.0138929458637859,edhlthcsa,EdHlthCSA,CvEm16pl3,industry,economic,True,,0,,0,0,False,1080586,7811,0.4,0.267,0.002,True,,,,,0.160139136974711,0.0138929458637859,True,-1072069,7850.903260135104,True,-10.686086302528903,1.4036165600835786,True
RW1ISW5z,48577,1706.97070859461,2.13613883788501,0.961349693251534,0.0094447411663558,emhins,EmHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3395066,12000,0.2,0.887,0.002,True,,,,,0.961349693251534,0.0094447411663558,True,-3346489,12120.798199788658,True,7.434969325153389,0.965417711146092,True
RW1OSElucw==,1953,448.325774409636,13.9548625031597,0.0386503067484663,0.00877612022757474,emnhins,EmNHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,430477,6778,1,0.113,0.002,True,,,,,0.0386503067484663,0.00877612022757474,True,-428524,6792.810905656067,True,-7.4349693251533715,0.9001126943269188,True
RW1QYkhJbnM=,2815,571.428035714035,12.3400591860589,0.0557094795171185,0.0111514028483546,empbhins,EmPbHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,709097,5839,0.5,0.185,0.001,True,,,,,0.0557094795171185,0.0111514028483546,True,-706282,5866.894493682326,True,-12.929052048288149,1.1196150476225792,True
RW1QdkhJbnM=,46433,1702.60770584419,2.22906097381636,0.918919453789828,0.0131980249190467,empvhins,EmPvHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,2778950,11243,0.2,0.726,0.002,True,,,,,0.918919453789828,0.0131980249190467,True,-2732517,11371.188240461066,True,19.291945378982803,1.3348702624741389,True
RXJuMTAwcGw=,26128,1320,3.07115589001167,0,0,ern100pl,Ern100pl,MdEWrk,economic__special_variable,economic,True,15264,0,,0,0,False,640046,0,,0,0,False,10864,1320,True,0.7117400419287212,0.08647798742138366,True,0,0,-613918,1320,True,0,0
RXJuMjV0MzA=,1314,337,15.590808362595,0,0,ern25t30,Ern25t30,MdEWrk,economic__special_variable,economic,True,2001,0,,0,0,False,262316,0,,0,0,False,-687,337,False,-0.34332833583208394,0.16841579210394803,False,0,0,-261002,337,True,0,0
RXJuMnB0NXQ1,1454,380,15.8874167478458,0,0,ern2pt5t5,Ern2pt5t5,MdEWrk,economic__special_variable,economic,True,1884,0,,0,0,False,128242,0,,0,0,False,-430,380,False,-0.22823779193205945,0.20169851380042464,False,0,0,-126788,380,True,0,0
RXJuMzB0MzU=,1790,375,12.735392504797,0,0,ern30t35,Ern30t35,MdEWrk,economic__special_variable,economic,True,1907,0,,0,0,False,257513,0,,0,0,False,-117,375,False,-0.061352910330361825,0.19664394336654428,False,0,0,-255723,375,True,0,0
RXJuMzV0NDA=,1131,295,15.8559953130753,0,0,ern35t40,Ern35t40,MdEWrk,economic__special_variable,economic,True,1242,0,,0,0,False,217597,0,,0,0,False,-111,295,False,-0.0893719806763285,0.23752012882447665,False,0,0,-216466,295,True,0,0
RXJuNDB0NDU=,1572,362,13.9987780072237,0,0,ern40t45,Ern40t45,MdEWrk,economic__special_variable,economic,True,1848,0,,0,0,False,235829,0,,0,0,False,-276,362,False,-0.14935064935064934,0.19588744588744586,False,0,0,-234257,362,True,0,0
RXJuNDV0NTA=,1064,262,14.9690335260644,0,0,ern45t50,Ern45t50,MdEWrk,economic__special_variable,economic,True,1709,0,,0,0,False,155389,0,,0,0,False,-645,262,False,-0.3774136922176711,0.15330602691632533,False,0,0,-154325,262,True,0,0
RXJuNTB0NTU=,2136,445,12.6646403242148,0,0,ern50t55,Ern50t55,MdEWrk,economic__special_variable,economic,True,2679,0,,0,0,False,213254,0,,0,0,False,-543,445,False,-0.2026875699888018,0.16610675625233293,False,0,0,-211118,445,True,0,0
RXJuNTV0NjU=,3649,600,9.99566021752223,0,0,ern55t65,Ern55t65,MdEWrk,economic__special_variable,economic,True,3093,0,,0,0,False,294509,0,,0,0,False,556,600,False,0.17976075008082767,0.19398642095053345,False,0,0,-290860,600,True,0,0
RXJuNXQ3cHQ1,952,251,16.027687670813,0,0,ern5t7pt5,Ern5t7pt5,MdEWrk,economic__special_variable,economic,True,1428,0,,0,0,False,149059,0,,0,0,False,-476,251,False,-0.3333333333333333,0.17577030812324926,False,0,0,-148107,251,True,0,0
