id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
QWdGRkhN,38,46,73,0.001,0.002,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0.001,0.002,False,-3832,472.2456987628368,True,0,0.223606797749979
QWdISEluYw==,1065079400,65666887,3.7,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,754730900,36852802,,0,0,False,307989432000,2361252362,0.5,0,0,True,310348500,75301188.99142279,True,0.4112041788669312,0.11098875306146427,True,0,0,-306924352600,2362165289.9614897,True,0,0
QWdJUDE1cGw=,1141709400,67099419,3.6,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,821598400,41977196,,0,0,False,318266008500,2111708243,0.4,0,0,True,320111000,79148070.18594943,True,0.3896197947805156,0.10821592929597319,True,0,0,-317124299100,2112774014.31963,True,0,0
QWdUVG0=,1025895,58010,3.4,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,897580,66304,,0,0,False,156042185,593582,0.2,0,0,True,128315,88098.69758401653,False,0.14295661668040732,0.1063266677537038,False,0,0,-155016290,596409.8849147288,True,0,0
QXJ0RW5SQUZT,3412,508,9.1,0.13,0.018,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,True,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.13,0.018,True,-437583,5456.697994208585,True,2.0999999999999996,1.8027756377319943,False
Q05JMTg2NF8y,39285,1311,2,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5330592,2333.984147332625,True,,
Q29uc3RjdG4=,861,296,20.9,0.033,0.011,constctn,Constctn,CvEm16pl3,industry,economic,False,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.033,0.011,False,-205206,3751.6950835588973,True,-1.7999999999999994,1.104536101718726,False
Q3ZFbTE2cGwx,26243,1168,2.7,0.524,0.019,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,22608,1252,3.4,0.504,0.021,True,4053141,9894,0.1,0.591,0.001,True,3635,1712.2289566527018,False,0.1607837933474876,0.08247019527017992,False,0.020000000000000018,0.02831960451701259,False,-4026898,9962.703448361795,True,-6.699999999999989,1.9026297590440446,True
Q3ZFbTE2cGwy,26243,1168,2.7,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,22608,1252,3.4,1,0,True,4053141,9894,0.1,1,0,True,3635,1712.2289566527018,False,0.1607837933474876,0.08247019527017992,False,0,0,-4026898,9962.703448361795,True,0,0
Q3ZFbTE2cGwz,26243,1168,2.7,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-4026898,9962.703448361795,True,0,0
Q3ZFbTE2cGw0,26243,1168,2.7,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,22608,1252,3.4,1,0,True,4053141,9894,0.1,1,0,True,3635,1712.2289566527018,False,0.1607837933474876,0.08247019527017992,False,0,0,-4026898,9962.703448361795,True,0,0
Q3ZMRjE=,29413,1168,2.4,0.588,0.017,cvlf1,CvLF1,Pop16pl,employment_status,economic,True,25932,1329,3.1,0.578,0.021,True,4354474,10392,0.1,0.635,0.002,True,3481,1769.3120131847859,False,0.1342356933518433,0.07353674072069327,False,0.010000000000000009,0.027018512172212593,False,-4325061,10457.432189596067,True,-4.700000000000003,1.711724276862369,False
Q3ZMRjE4dDY0,28144,1173,2.5,,,cvlf18t64,CvLF18t64,NA,health_insurance_coverage,economic,True,,0,,,,False,4102491,9890,0.1,,,True,,,,,,,-4074347,9959.318701598017,True,,
Q3ZMRjI=,29413,1168,2.4,1,0,cvlf2,CvLF2,CvLF2,employment_status,economic,True,25932,1329,3.1,1,0,True,4354474,10392,0.1,1,0,True,3481,1769.3120131847859,False,0.1342356933518433,0.07353674072069327,False,0,0,-4325061,10457.432189596067,True,0,0
Q3ZMRkVt,25146,1158,2.8,1,0,cvlfem,CvLFEm,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3825543,9546,0.2,1,0,True,,,,,1,0,True,-3800397,9615.980449231372,True,0,0
Q3ZMRlVFbTE=,3170,474,9.1,0.063,0.009,cvlfuem1,CvLFUEm1,Pop16pl,employment_status,economic,True,3324,436,8,0.074,0.009,True,301333,4545,0.9,0.044,0.001,True,-154,644.0279497040482,False,-0.04632972322503008,0.18968959780834027,False,-0.010999999999999996,0.012727922061357855,False,-298163,4569.649986596348,True,1.9000000000000004,0.9055385138137416,False
Q3ZMRlVFbTI=,3170,474,9.1,0.108,0.016,cvlfuem2,CvLFUEm2,CvLF2,employment_status,economic,True,3324,436,8,0.128,0.015,True,301333,4545,0.9,0.069,0.001,True,-154,644.0279497040482,False,-0.04632972322503008,0.18968959780834027,False,-0.020000000000000004,0.021931712199461308,False,-298163,4569.649986596348,True,3.9000000000000004,1.6031219541881399,False
