id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
RlBvcDMwdDM0,1573,218,8.4,0.036,0.005,fpop30t34,FPop30t34,Pop,poppyramid_only,demographic,True,1230,256,12.7,0.029,0.006,True,366861,247,0,0.043,0,True,343,336.24395905354197,False,0.2788617886178862,0.3197792664418669,False,0.006999999999999996,0.0078102496759066544,False,-365288,329.4434701128556,True,-0.7000000000000002,0.5,False
RlBvcDM1dDM5,1620,213,8,0.037,0.005,fpop35t39,FPop35t39,Pop,poppyramid_only,demographic,True,1513,267,10.7,0.036,0.006,True,315142,3125,0.6,0.037,0,True,107,341.55233859541937,False,0.07072042300066093,0.2356296571966138,False,0.0010000000000000009,0.0078102496759066544,False,-313522,3132.25062854172,True,0,0.5
RlBvcDQwdDQ0,1400,210,9.1,0.032,0.005,fpop40t44,FPop40t44,Pop,poppyramid_only,demographic,True,1775,296,10.1,0.042,0.007,True,280418,3132,0.7,0.033,0,True,-375,362.92698990292797,False,-0.2112676056338028,0.17691020663315501,False,-0.010000000000000002,0.008602325267042627,False,-279018,3139.032334972037,True,-0.10000000000000009,0.5,False
RlBvcDQ1dDQ5,1393,195,8.5,0.032,0.004,fpop45t49,FPop45t49,Pop,poppyramid_only,demographic,True,1474,246,10.1,0.035,0.006,True,281658,193,0,0.033,0,True,-81,313.91240816508036,False,-0.05495251017639077,0.20585813458228205,False,-0.0030000000000000027,0.007211102550927979,False,-280265,274.36107595648474,True,-0.10000000000000009,0.4,False
RlBvcDUwdDU0,1758,220,7.6,0.04,0.005,fpop50t54,FPop50t54,Pop,poppyramid_only,demographic,True,1416,224,9.6,0.033,0.005,True,285202,202,0,0.034,0,True,342,313.9681512510465,False,0.24152542372881355,0.2504231240838765,False,0.006999999999999999,0.007071067811865475,False,-283444,298.67038688159226,True,0.5999999999999996,0.5,False
RlBvcDU1dDU5,1713,209,7.4,0.039,0.005,fpop55t59,FPop55t59,Pop,poppyramid_only,demographic,True,1358,221,9.9,0.032,0.005,True,272993,2843,0.6,0.032,0,True,355,304.1742921418574,False,0.2614138438880707,0.25656699070802325,False,0.006999999999999999,0.007071067811865475,False,-271280,2850.6718506345132,True,0.6999999999999997,0.5,False
RlBvcDV0OQ==,1139,195,10.4,0.026,0.004,fpop5t9,FPop5t9,Pop,poppyramid_only,demographic,True,1313,282,13.1,0.031,0.007,True,234049,2327,0.6,0.028,0,True,-174,342.8541964159109,False,-0.13252094440213252,0.23826294395924888,False,-0.005000000000000001,0.00806225774829855,False,-232910,2335.1560975660705,True,-0.20000000000000018,0.4,False
RlBvcDYwdDY0,1145,159,8.4,0.026,0.004,fpop60t64,FPop60t64,Pop,poppyramid_only,demographic,True,1271,228,10.9,0.03,0.005,True,256568,2933,0.7,0.03,0,True,-126,277.96582523756405,False,-0.0991345397324941,0.20436512380526786,False,-0.004,0.006403124237432849,False,-255423,2937.3065893774183,True,-0.3999999999999999,0.4,False
RlBvcDY1dDY5,1231,184,9.1,0.028,0.004,fpop65t69,FPop65t69,Pop,poppyramid_only,demographic,True,1224,224,11.1,0.029,0.005,True,214644,2853,0.8,0.025,0,True,7,289.882734911895,False,0.005718954248366013,0.23764196825337514,False,-0.0010000000000000009,0.006403124237432849,False,-213413,2858.9272463635725,True,0.30000000000000027,0.4,False
RlBvcDcwdDc0,935,153,10,0.021,0.003,fpop70t74,FPop70t74,Pop,poppyramid_only,demographic,True,842,177,12.8,0.02,0.004,True,161099,2686,1,0.019,0,True,93,233.96153530014288,False,0.11045130641330166,0.29581949987725126,False,0.0010000000000000009,0.005,False,-160164,2690.3540659177183,True,0.20000000000000018,0.3,False
RlBvcDc1dDc5,558,126,13.7,0.013,0.003,fpop75t79,FPop75t79,Pop,poppyramid_only,demographic,True,613,151,15,0.014,0.004,True,124380,1845,0.9,0.015,0,True,-55,196.66468925559565,False,-0.08972267536704731,0.30418356066574187,False,-0.0010000000000000009,0.005,False,-123822,1849.2974341624983,True,-0.19999999999999996,0.3,False
RlBvcDgwdDg0,564,123,13.2,0.013,0.003,fpop80t84,FPop80t84,Pop,poppyramid_only,demographic,True,720,162,13.7,0.017,0.004,True,91235,1728,1.2,0.011,0,True,-156,203.40353979220717,False,-0.21666666666666667,0.24545486403365038,False,-0.004000000000000002,0.005,False,-90671,1732.3720731990572,True,0.20000000000000018,0.3,False
