id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
RTIycHQ1dDI1,1135,195,10.4,0.028,0.005,e22pt5t25,E22pt5t25,MdEWrk,economic__special_variable,economic,True,1012,0,,0,0,False,107043,0,,0,0,False,123,195,False,0.12154150197628459,0.19268774703557312,False,0.028,0.005,True,-105908,195,True,2.8000000000000003,0.5,True
RTdwdDV0MTA=,1217,213,10.6,0.03,0.005,e7pt5t10,E7pt5t10,MdEWrk,economic__special_variable,economic,True,873,0,,0,0,False,118902,0,,0,0,False,344,213,False,0.3940435280641466,0.24398625429553264,False,0.03,0.005,True,-117685,213,True,3,0.5,True
RWRIbHRoQ1NB,18185,712,2.4,0.426,0.012,edhlthcsa,EdHlthCSA,CvEm16pl3,industry,economic,True,,0,,0,0,False,1080586,7811,0.4,0.267,0.002,True,,,,,0.426,0.012,True,-1062401,7843.38351733485,True,15.899999999999999,1.2165525060596438,True
RW1ISW5z,36660,1055,1.8,0.908,0.01,emhins,EmHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3395066,12000,0.2,0.887,0.002,True,,,,,0.908,0.01,True,-3358406,12046.286772279664,True,2.0999999999999943,1.019803902718557,False
RW1OSElucw==,3705,405,6.6,0.092,0.01,emnhins,EmNHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,430477,6778,1,0.113,0.002,True,,,,,0.092,0.01,True,-426772,6790.089027398683,True,-2.1000000000000014,1.019803902718557,False
RW1QYkhJbnM=,5144,477,5.6,0.127,0.011,empbhins,EmPbHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,709097,5839,0.5,0.185,0.001,True,,,,,0.127,0.011,True,-703953,5858.45116050309,True,-5.800000000000001,1.104536101718726,True
RW1QdkhJbnM=,32140,1027,1.9,0.796,0.014,empvhins,EmPvHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,2778950,11243,0.2,0.726,0.002,True,,,,,0.796,0.014,True,-2746810,11289.808590051472,True,7.000000000000014,1.4142135623730951,True
RXJuMTAwcGw=,3428,323,5.7,0.085,0.007,ern100pl,Ern100pl,MdEWrk,economic__special_variable,economic,True,1306,0,,0,0,False,640046,0,,0,0,False,2122,323,True,1.6248085758039816,0.24732006125574274,True,0.085,0.007,True,-636618,323,True,8.5,0.7000000000000001,True
RXJuMjV0MzA=,2732,303,6.7,0.068,0.007,ern25t30,Ern25t30,MdEWrk,economic__special_variable,economic,True,3107,0,,0,0,False,262316,0,,0,0,False,-375,303,False,-0.12069520437721275,0.0975217251367879,False,0.068,0.007,True,-259584,303,True,6.800000000000001,0.7000000000000001,True
RXJuMnB0NXQ1,1082,187,10.5,0.027,0.005,ern2pt5t5,Ern2pt5t5,MdEWrk,economic__special_variable,economic,True,970,0,,0,0,False,128242,0,,0,0,False,112,187,False,0.1154639175257732,0.19278350515463918,False,0.027,0.005,True,-127160,187,True,2.7,0.5,True
