id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QWdGRkhN,17,19,67.5,0,0,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0,0,-3853,470.38388577841397,True,-0.1,0.1,False
QWdISEluYw==,2784390100,93421434,2,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,2162393800,75011684,,0,0,False,307989432000,2361252362,0.5,0,0,True,621996300,119809503.24215609,True,0.28764247289277284,0.06214214133870675,True,0,0,-305205041900,2363099718.882213,True,0,0
QWdJUDE1cGw=,2900942400,98667518,2.1,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,2234150300,78879233,,0,0,False,318266008500,2111708243,0.4,0,0,True,666792100,126321860.76427394,True,0.2984544504458809,0.06365547061331202,True,0,0,-315365066100,2114012058.305824,True,0,0
QWdUVG0=,1660055,54167,2,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,1446625,54378,,0,0,False,156042185,593582,0.2,0,0,True,213430,76753.0505778109,False,0.1475365073878856,0.05711999057885988,False,0,0,-154382130,596048.3660014513,True,0,0
QXJ0RW5SQUZT,7420,625,5.1,0.164,0.013,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,True,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.164,0.013,True,-433575,5468.83113654097,True,5.500000000000002,1.3038404810405297,True
Q05JMTg2NF8y,55382,1387,1.5,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5314495,2377.50499473713,True,,
Q29uc3RjdG4=,2185,314,8.7,0.048,0.007,constctn,Constctn,CvEm16pl3,industry,economic,True,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.048,0.007,True,-203882,3753.1581368229076,True,-0.2999999999999998,0.7071067811865476,False
Q3ZFbTE2cGwx,45199,1258,1.7,0.683,0.01,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,43007,1342,1.9,0.643,0.014,True,4053141,9894,0.1,0.591,0.001,True,2192,1839.436870349184,False,0.05096844699700049,0.04394443467984493,False,0.040000000000000036,0.017204650534085254,False,-4007942,9973.655297833388,True,9.200000000000017,1.004987562112089,True
Q3ZFbTE2cGwy,45199,1258,1.7,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,43007,1342,1.9,1,0,True,4053141,9894,0.1,1,0,True,2192,1839.436870349184,False,0.05096844699700049,0.04394443467984493,False,0,0,-4007942,9973.655297833388,True,0,0
Q3ZFbTE2cGwz,45199,1258,1.7,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-4007942,9973.655297833388,True,0,0
Q3ZFbTE2cGw0,45199,1258,1.7,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,43007,1342,1.9,1,0,True,4053141,9894,0.1,1,0,True,2192,1839.436870349184,False,0.05096844699700049,0.04394443467984493,False,0,0,-4007942,9973.655297833388,True,0,0
Q3ZMRjE=,48267,1301,1.6,0.729,0.01,cvlf1,CvLF1,Pop16pl,employment_status,economic,True,47452,1396,1.8,0.709,0.013,True,4354474,10392,0.1,0.635,0.002,True,815,1908.249721603543,False,0.01717525077973531,0.0405854224699135,False,0.020000000000000018,0.016401219466856725,False,-4306207,10473.121072536114,True,9.399999999999991,1.019803902718557,True
Q3ZMRjE4dDY0,46606,1259,1.6,,,cvlf18t64,CvLF18t64,NA,health_insurance_coverage,economic,True,,0,,,,False,4102491,9890,0.1,,,True,,,,,,,-4055885,9969.813488726857,True,,
Q3ZMRjI=,48267,1301,1.6,1,0,cvlf2,CvLF2,CvLF2,employment_status,economic,True,47452,1396,1.8,1,0,True,4354474,10392,0.1,1,0,True,815,1908.249721603543,False,0.01717525077973531,0.0405854224699135,False,0,0,-4306207,10473.121072536114,True,0,0
Q3ZMRkVt,43720,1240,1.7,1,0,cvlfem,CvLFEm,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3825543,9546,0.2,1,0,True,,,,,1,0,True,-3781823,9626.19945772993,True,0,0
Q3ZMRlVFbTE=,3068,428,8.5,0.046,0.006,cvlfuem1,CvLFUEm1,Pop16pl,employment_status,economic,True,4445,524,7.2,0.066,0.008,True,301333,4545,0.9,0.044,0.001,True,-1377,676.5796331548859,False,-0.3097862767154106,0.12606269233202452,False,-0.020000000000000004,0.01,False,-298265,4565.107775288553,True,0.20000000000000018,0.6082762530298219,False
Q3ZMRlVFbTI=,3068,428,8.5,0.064,0.009,cvlfuem2,CvLFUEm2,CvLF2,employment_status,economic,True,4445,524,7.2,0.094,0.011,True,301333,4545,0.9,0.069,0.001,True,-1377,676.5796331548859,False,-0.3097862767154106,0.12606269233202452,False,-0.03,0.014212670403551895,False,-298265,4565.107775288553,True,-0.5,0.9055385138137416,False
Q3ZOSVBvcDI=,74767,1829,1.5,1,0,cvnipop2,CvNIPop2,CvNIPop2,health_insurance_coverage,economic,True,,0,,0,0,False,8379895,1861,0,1,0,True,,,,,1,0,True,-8305128,2609.3221341950098,True,0,0
Q3ZOSVUxOF8y,9654,713,4.5,1,0,cvniu18_2,CvNIU18_2,CvNIU18_2,health_insurance_coverage,economic,True,,0,,0,0,False,1855028,1721,0.1,1,0,True,,,,,1,0,True,-1845374,1862.8499671202724,True,0,0
Q1dfQ3JwbGQ=,896,180,12.2,0.021,0.004,cw_crpld,CW_Crpld,Wrkr16pl,commute_to_work,economic,True,1506,308,12.4,0.036,0.007,True,177245,3363,1.2,0.045,0.001,True,-610,356.7408022640528,False,-0.4050464807436919,0.17056025200417546,False,-0.014999999999999996,0.00806225774829855,False,-176349,3367.813682494921,True,-2.4,0.4123105625617661,True
Q1dfRHJ2QWxu,5040,474,5.7,0.116,0.01,cw_drvaln,CW_DrvAln,Wrkr16pl,commute_to_work,economic,True,6077,553,5.5,0.145,0.012,True,883066,6519,0.4,0.223,0.002,True,-1037,728.3440121261381,False,-0.17064340957709395,0.10853405688289484,False,-0.028999999999999984,0.015620499351813309,False,-878026,6536.209681459125,True,-10.7,1.019803902718557,True
Q1dfT3Ro,966,194,12.2,0.022,0.004,cw_oth,CW_Oth,Wrkr16pl,commute_to_work,economic,True,914,257,17.1,0.022,0.006,True,112933,2992,1.6,0.029,0.001,True,52,322.001552791287,False,0.05689277899343545,0.3651943878100025,False,0,0.007211102550927979,-111967,2998.2828418946738,True,-0.7000000000000006,0.4123105625617661,False
Q1dfUGJUcm5z,32218,1125,2.1,0.741,0.015,cw_pbtrns,CW_PbTrns,Wrkr16pl,commute_to_work,economic,True,28774,1152,2.4,0.688,0.016,True,2223087,10073,0.3,0.562,0.002,True,3444,1610.1953297659263,False,0.11969138805866407,0.0594827582058915,False,0.05300000000000005,0.021931712199461308,False,-2190869,10135.627952919345,True,17.89999999999999,1.5132745950421556,True
Q1dfV2xrZA==,3009,398,8,0.069,0.009,cw_wlkd,CW_Wlkd,Wrkr16pl,commute_to_work,economic,True,3269,625,11.6,0.078,0.015,True,392607,5774,0.9,0.099,0.001,True,-260,740.9649114499282,False,-0.07953502600183543,0.21399359295984435,False,-0.008999999999999994,0.017492855684535902,False,-389598,5787.700752457749,True,-3,0.9055385138137416,True
Q1dfV3JrZEht,1332,223,10.2,0.031,0.005,cw_wrkdhm,CW_WrkdHm,Wrkr16pl,commute_to_work,economic,True,1309,281,13.1,0.031,0.007,True,164594,3729,1.4,0.042,0.001,True,23,358.73388465546435,False,0.01757066462948816,0.2770163156016447,False,0,0.008602325267042627,-163262,3735.6619226048815,True,-1.1,0.5099019513592785,False
RTEwdDEycHQ1,1806,286,9.6,0.04,0.006,e10t12pt5,E10t12pt5,MdEWrk,economic__special_variable,economic,True,1816,0,,0,0,False,169608,0,,0,0,False,-10,286,False,-0.005506607929515419,0.15748898678414097,False,0.04,0.006,True,-167802,286,True,4,0.6,True
