id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m
QXZnSEhTT09j,3.39,0.55,9.8,,,avghhsooc,AvgHHSOOc,mean,housing_tenure,housing,True,3.17,0.47,9,,,True,2.85,0.01,0.2,,,True,0.2200000000000002,0.7234638899074369,False,,,,,0.54,0.5500909015790028,False,,
QXZnSEhTUk9j,2.14,0.24,6.7,,,avghhsroc,AvgHHSROc,mean,housing_tenure,housing,True,2.36,0.22,5.7,,,True,2.51,0.01,0.2,,,True,-0.21999999999999975,0.3255764119219941,False,,,,,-0.36999999999999966,0.24020824298928628,False,,
Qmx0MDB0MDk=,327,149,27.8,0.029,0.013,blt00t09,Blt00t09,HU3,year_structure_built,housing,False,,0,,0,0,False,198788,2928,0.9,0.057,0.001,True,,,,,0.029,0.013,False,-198461,2931.7887031639916,True,-2.8,1.3038404810405297,False
Qmx0MTBMdHI=,106,98,56.1,0.01,0.009,blt10ltr,Blt10Ltr,HU3,year_structure_built,housing,False,,0,,0,0,False,76678,1919,1.5,0.022,0.001,True,,,,,0.01,0.009,False,-76572,1921.5007155866479,True,-1.1999999999999997,0.9055385138137416,False
Qmx0NDB0NDk=,630,211,20.3,0.057,0.019,blt40t49,Blt40t49,HU3,year_structure_built,housing,False,,0,,0,0,False,354913,3910,0.7,0.102,0.001,True,,,,,0.057,0.019,False,-354283,3915.689083673524,True,-4.499999999999999,1.9026297590440446,False
Qmx0NTB0NTk=,1578,303,11.7,0.142,0.027,blt50t59,Blt50t59,HU3,year_structure_built,housing,True,,0,,0,0,False,450809,4111,0.6,0.13,0.001,True,,,,,0.142,0.027,True,-449231,4122.151137452386,True,1.1999999999999993,2.701851217221259,False
Qmx0NjB0Njk=,5960,409,4.2,0.536,0.036,blt60t69,Blt60t69,HU3,year_structure_built,housing,True,,0,,0,0,False,440499,4325,0.6,0.127,0.001,True,,,,,0.536,0.036,True,-434539,4344.295800241968,True,40.900000000000006,3.601388621073821,True
Qmx0NzB0Nzk=,509,180,21.4,0.046,0.016,blt70t79,Blt70t79,HU3,year_structure_built,housing,False,,0,,0,0,False,245191,3241,0.8,0.071,0.001,True,,,,,0.046,0.016,False,-244682,3245.994608744753,True,-2.5,1.6031219541881399,False
Qmx0ODB0ODk=,269,136,30.7,0.024,0.012,blt80t89,Blt80t89,HU3,year_structure_built,housing,False,,0,,0,0,False,164132,2906,1.1,0.047,0.001,True,,,,,0.024,0.012,False,-163863,2909.180640661559,True,-2.3000000000000003,1.2041594578792296,False
Qmx0OTB0OTk=,263,99,22.9,0.024,0.009,blt90t99,Blt90t99,HU3,year_structure_built,housing,False,,0,,0,0,False,127962,2842,1.4,0.037,0.001,True,,,,,0.024,0.009,False,-127699,2843.7237910880162,True,-1.2999999999999998,0.9055385138137416,False
Qmx0QmYzOQ==,1479,282,11.6,0.133,0.025,bltbf39,BltBf39,HU3,year_structure_built,housing,True,,0,,0,0,False,1413382,6785,0.3,0.407,0.002,True,,,,,0.133,0.025,True,-1411903,6790.857751418446,True,-27.399999999999995,2.5079872407968904,True
QnRSVlZFdGM=,0,0,,0,0,btrvvetc,BtRVVEtc,HU2,units_in_structure,housing,False,0,0,,0,0,False,1902,346,11.1,0.001,0.001,True,0,0,0,,,,-1902,346,True,-0.1,0.1,False
