id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
TkhJbnM=,22693,1567.47854849755,4.19897985090954,0.125781527137283,0.00837318642190569,nhins,NHIns,CvNIPop2,health_insurance_coverage,economic,True,,0,,0,0,False,707744,9386,0.8,0.084,0.001,True,,,,,0.125781527137283,0.00837318642190569,True,-685051,9515.98576081322,True,4.1781527137282986,0.8432689420107077,True
TkxGMQ==,49451,1822.46920412939,2.24036726187199,0.321431821431821,0.0105294782575228,nlf1,NLF1,Pop16pl,employment_status,economic,True,50400,2344.01301190928,2.82724587724861,0.3377088065612,0.0140181237197434,True,2503584,10436,0.3,0.365,0.002,True,-949,2969.139774412789,False,-0.018829365079365078,0.05822264021306178,False,-0.01627698512937903,0.017532190536201628,False,-2454133,10593.936473285085,True,-4.356817856817905,1.0717738211751833,True
TkxGMg==,24846,1242.04750311733,3.03889589810578,1,0,nlf2,NLF2,NLF2,health_insurance_coverage,economic,True,,0,,0,0,False,1267386,10004,0.5,1,0,True,,,,,1,0,True,-1242540,10080.808400123475,True,0,0
TkxGSElucw==,20401,1095.53639829994,3.26444573028093,0.821097963454882,0.0161052530966495,nlfhins,NLFHIns,NLF2,health_insurance_coverage,economic,True,,0,,0,0,False,1108889,8357,0.5,0.875,0.003,True,,,,,0.821097963454882,0.0161052530966495,True,-1088488,8428.50218010294,True,-5.390203654511808,1.6382282420564551,True
TkxGTkhJbnM=,4445,558.584818984548,7.63926298097378,0.178902036545118,0.0206265037239104,nlfnhins,NLFNHIns,NLF2,health_insurance_coverage,economic,True,,0,,0,0,False,158497,3812,1.5,0.125,0.003,True,,,,,0.178902036545118,0.0206265037239104,True,-154052,3852.7082682186046,True,5.390203654511801,2.0843527913299362,False
TkxGUGJISW5z,11579,893.166277912461,4.68916334445973,0.466030749416405,0.0273774417145374,nlfpbhins,NLFPbHIns,NLF2,health_insurance_coverage,economic,True,,0,,0,0,False,672918,7068,0.6,0.531,0.004,True,,,,,0.466030749416405,0.0273774417145374,True,-661339,7124.210131656701,True,-6.496925058359501,2.766811006976972,False
TkxGUHZISW5z,9698,735.777819725493,4.61209887994637,0.390324398293488,0.0222762936603669,nlfpvhins,NLFPvHIns,NLF2,health_insurance_coverage,economic,True,,0,,0,0,False,514091,6051,0.7,0.406,0.004,True,,,,,0.390324398293488,0.0222762936603669,True,-504393,6095.569702661106,True,-1.5675601706512055,2.263257076080626,False
TlJDbnN0TW50,6321,772.143121448349,7.42584900765816,0.0632049436045116,0.00758808692985055,nrcnstmnt,NRCnstMnt,CvEm16pl2,occupation,economic,True,7569,833.160848816121,6.69151485214343,0.0825165981662978,0.00886243462606132,True,245935,3997,1,0.061,0.001,True,-1248,1135.9410195956475,False,-0.16488307570352756,0.13732150058780618,False,-0.019311654561786212,0.011667125213872498,False,-239614,4070.89842663754,True,0.22049436045116,0.7653696051906473,False
T0M2dDE3UExG,12135,912.526711937793,4.57130189089958,0.664567360350493,0.029938776543167,oc6t17plf,OC6t17PLF,OCh6t17,employment_status,economic,True,11241,974.806647494774,5.27166290949557,0.635479676635197,0.0362393862823619,True,708828,5943,0.5,0.669,0.005,True,894,1335.2726313378855,False,0.07953029089938618,0.12391054639637009,False,0.02908768371529602,0.0470066320748884,False,-696693,6012.649499180873,True,-0.4432639649507024,3.0353423874444325,False
T0NoNnQxNw==,18260,1099.43121658428,3.66017110692325,1,0,och6t17,OCh6t17,OCh6t17,employment_status,economic,True,17689,1155.63489043902,3.97147159935061,1,0,True,1060266,2788,0.2,1,0,True,571,1595.0677101615452,False,0.03227994799027644,0.09171226797196011,False,0,0,-1042006,2996.9472801502516,True,0,0
