id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m
QXZnSEhTT09j,3.89,0.32,5,,,avghhsooc,AvgHHSOOc,mean,housing_tenure,housing,True,3.82,0.34,5.4,,,True,2.85,0.01,0.2,,,True,0.07000000000000028,0.4669047011971501,False,,,,,1.04,0.32015621187164245,True,,
QXZnSEhTUk9j,3.93,0.2,3.2,,,avghhsroc,AvgHHSROc,mean,housing_tenure,housing,True,3.55,0.18,3.1,,,True,2.51,0.01,0.2,,,True,0.38000000000000034,0.26907248094147423,False,,,,,1.4200000000000004,0.2002498439450079,True,,
Qmx0MDB0MDk=,1446,228,9.6,0.05,0.008,blt00t09,Blt00t09,HU3,year_structure_built,housing,True,,0,,0,0,False,198788,2928,0.9,0.057,0.001,True,,,,,0.05,0.008,True,-197342,2936.8636331978373,True,-0.7000000000000002,0.806225774829855,False
Qmx0MTBMdHI=,306,109,21.7,0.011,0.004,blt10ltr,Blt10Ltr,HU3,year_structure_built,housing,False,,0,,0,0,False,76678,1919,1.5,0.022,0.001,True,,,,,0.011,0.004,False,-76372,1922.0931298977164,True,-1.0999999999999999,0.4123105625617661,False
Qmx0NDB0NDk=,2541,283,6.8,0.088,0.01,blt40t49,Blt40t49,HU3,year_structure_built,housing,True,,0,,0,0,False,354913,3910,0.7,0.102,0.001,True,,,,,0.088,0.01,True,-352372,3920.2281821343004,True,-1.4000000000000004,1.004987562112089,False
Qmx0NTB0NTk=,2310,280,7.4,0.08,0.01,blt50t59,Blt50t59,HU3,year_structure_built,housing,True,,0,,0,0,False,450809,4111,0.6,0.13,0.001,True,,,,,0.08,0.01,True,-448499,4120.524359835772,True,-5,1.004987562112089,True
Qmx0NjB0Njk=,2360,298,7.7,0.082,0.01,blt60t69,Blt60t69,HU3,year_structure_built,housing,True,,0,,0,0,False,440499,4325,0.6,0.127,0.001,True,,,,,0.082,0.01,True,-438139,4335.2542024661025,True,-4.499999999999998,1.004987562112089,True
Qmx0NzB0Nzk=,1571,229,8.9,0.054,0.008,blt70t79,Blt70t79,HU3,year_structure_built,housing,True,,0,,0,0,False,245191,3241,0.8,0.071,0.001,True,,,,,0.054,0.008,True,-243620,3249.080177527172,True,-1.6999999999999993,0.806225774829855,False
Qmx0ODB0ODk=,1702,249,8.9,0.059,0.009,blt80t89,Blt80t89,HU3,year_structure_built,housing,True,,0,,0,0,False,164132,2906,1.1,0.047,0.001,True,,,,,0.059,0.009,True,-162430,2916.648247560888,True,1.1999999999999993,0.9055385138137416,False
Qmx0OTB0OTk=,1239,214,10.5,0.043,0.007,blt90t99,Blt90t99,HU3,year_structure_built,housing,True,,0,,0,0,False,127962,2842,1.4,0.037,0.001,True,,,,,0.043,0.007,True,-126723,2850.045613670069,True,0.6000000000000001,0.7071067811865476,False
Qmx0QmYzOQ==,15379,546,2.2,0.533,0.018,bltbf39,BltBf39,HU3,year_structure_built,housing,True,,0,,0,0,False,1413382,6785,0.3,0.407,0.002,True,,,,,0.533,0.018,True,-1398003,6806.933303625062,True,12.600000000000009,1.8110770276274832,True
QnRSVlZFdGM=,33,38,69.3,0.001,0.001,btrvvetc,BtRVVEtc,HU2,units_in_structure,housing,False,0,0,,0,0,False,1902,346,11.1,0.001,0.001,True,33,38,False,0,,0.001,0.001,False,-1869,348.08045047086455,True,0,0.14142135623730953
