id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percent_significant,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m
RlBvcDI1dDI5,1474,276,11.4,0.046,0.008,fpop25t29,FPop25t29,Pop,poppyramid_only,demographic,True,1299,265,12.4,0.041,0.008,True,405287,203,0,0.048,0,True,175,382.623836162882,False,0.13471901462663588,0.3142130330262828,False,0.0049999999999999975,0.01131370849898476,False,-403813,342.6149442158062,True,-0.20000000000000018,0.8,False
RlBvcDMwdDM0,914,201,13.4,0.029,0.006,fpop30t34,FPop30t34,Pop,poppyramid_only,demographic,True,1133,231,12.4,0.036,0.007,True,366861,247,0,0.043,0,True,-219,306.2058131388103,False,-0.19329214474845544,0.24191818901999873,False,-0.006999999999999996,0.009219544457292887,False,-365947,318.4493680320311,True,-1.3999999999999995,0.6,False
RlBvcDM1dDM5,989,204,12.5,0.031,0.006,fpop35t39,FPop35t39,Pop,poppyramid_only,demographic,True,1357,246,11,0.043,0.008,True,315142,3125,0.6,0.037,0,True,-368,319.5809756540586,False,-0.2711864406779661,0.20013880385256166,False,-0.011999999999999997,0.01,False,-314153,3131.6514812475543,True,-0.5999999999999996,0.6,False
RlBvcDQwdDQ0,1045,202,11.7,0.033,0.006,fpop40t44,FPop40t44,Pop,poppyramid_only,demographic,True,1444,251,10.6,0.046,0.008,True,280418,3132,0.7,0.033,0,True,-399,322.18783341398847,False,-0.27631578947368424,0.1881297539387394,False,-0.012999999999999998,0.01,False,-279373,3138.507288505158,True,0,0.6
RlBvcDQ1dDQ5,1205,210,10.6,0.038,0.006,fpop45t49,FPop45t49,Pop,poppyramid_only,demographic,True,1058,202,11.6,0.034,0.006,True,281658,193,0,0.033,0,True,147,291.3829095880539,False,0.1389413988657845,0.2944206931392492,False,0.003999999999999997,0.00848528137423857,False,-280453,285.21746089606785,True,0.49999999999999956,0.6,False
RlBvcDUwdDU0,1044,175,10.2,0.033,0.005,fpop50t54,FPop50t54,Pop,poppyramid_only,demographic,True,1271,233,11.1,0.04,0.007,True,285202,202,0,0.034,0,True,-227,291.40006863417176,False,-0.17859952793076317,0.20403872640943674,False,-0.006999999999999999,0.008602325267042627,False,-284158,267.26204369494747,True,-0.10000000000000009,0.5,False
RlBvcDU1dDU5,987,187,11.5,0.031,0.006,fpop55t59,FPop55t59,Pop,poppyramid_only,demographic,True,954,187,11.9,0.03,0.006,True,272993,2843,0.6,0.032,0,True,33,264.45793616376875,False,0.03459119496855346,0.28204483600389113,False,0.0010000000000000009,0.00848528137423857,False,-272006,2849.1433800354803,True,-0.10000000000000009,0.6,False
RlBvcDV0OQ==,1037,218,12.8,0.033,0.007,fpop5t9,FPop5t9,Pop,poppyramid_only,demographic,True,1102,237,13.1,0.035,0.007,True,234049,2327,0.6,0.028,0,True,-65,322.0139748520241,False,-0.05898366606170599,0.28300277441305216,False,-0.0020000000000000018,0.009899494936611667,False,-233012,2337.189123712499,True,0.5,0.7000000000000001,False
RlBvcDYwdDY0,822,177,13.1,0.026,0.005,fpop60t64,FPop60t64,Pop,poppyramid_only,demographic,True,532,154,17.6,0.017,0.005,True,256568,2933,0.7,0.03,0,True,290,234.61670869739862,False,0.5451127819548872,0.5574439783529889,False,0.008999999999999998,0.007071067811865475,False,-255746,2938.3359236139086,True,-0.3999999999999999,0.5,False
RlBvcDY1dDY5,797,156,11.9,0.025,0.005,fpop65t69,FPop65t69,Pop,poppyramid_only,demographic,True,359,114,19.3,0.011,0.004,True,214644,2853,0.8,0.025,0,True,438,193.21490625725542,False,1.2200557103064067,0.8281403150366953,False,0.014000000000000002,0.006403124237432849,False,-213847,2857.2618010955875,True,0,0.5
RlBvcDcwdDc0,526,142,16.5,0.016,0.004,fpop70t74,FPop70t74,Pop,poppyramid_only,demographic,True,291,101,21.2,0.009,0.003,False,161099,2686,1,0.019,0,True,235,174.25555945220228,False,0.8075601374570447,0.7947990688185963,False,0.007000000000000001,0.005,False,-160573,2689.7509178360733,True,-0.2999999999999998,0.4,False
RlBvcDc1dDc5,263,104,24.1,0.008,0.003,fpop75t79,FPop75t79,Pop,poppyramid_only,demographic,False,285,99,21.1,0.009,0.003,False,124380,1845,0.9,0.015,0,True,-22,143.58621103713267,False,-0.07719298245614035,0.48571169450455987,False,-0.0009999999999999992,0.004242640687119285,False,-124117,1847.928840621305,True,-0.7,0.3,False
RlBvcDgwdDg0,129,57,26.7,0.004,0.002,fpop80t84,FPop80t84,Pop,poppyramid_only,demographic,False,217,93,26,0.007,0.003,False,91235,1728,1.2,0.011,0,True,-88,109.07795377618706,False,-0.4055299539170507,0.3659319943244826,False,-0.003,0.0036055512754639895,False,-91106,1728.9398485777347,True,-0.6999999999999998,0.2,True
RlBvcDg1cGw=,175,81,28,0.005,0.003,fpop85pl,FPop85pl,Pop,poppyramid_only,demographic,False,196,85,26.5,0.006,0.003,False,111704,1844,1,0.013,0,True,-21,117.41379816699569,False,-0.10714285714285714,0.5663202280699614,False,-0.001,0.004242640687119285,False,-111529,1845.7781556839382,True,-0.8,0.3,False
SHNwMQ==,11910,1166,6,0.373,0.032,hsp1,Hsp1,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,True,10724,1213,6.9,0.341,0.036,True,2457137,0,0,0.291,0,True,1186,1682.5352893773136,False,0.11059306229019022,0.1661390773485704,False,0.03199999999999997,0.048166378315169185,False,-2445227,1166,True,8.2,3.2,False
SHNwMg==,11910,1166,6,1,0,hsp2,Hsp2,Hsp2,hispanic_subgroup,demographic,True,10724,1213,6.9,1,0,True,2457137,0,0,1,0,True,1186,1682.5352893773136,False,0.11059306229019022,0.1661390773485704,False,0,0,-2445227,1166,True,0,0
SHNwQWxsT3Ro,276,150,33.1,0.023,0.012,hspalloth,HspAllOth,Hsp2,hispanic_subgroup,demographic,False,206,123,36.2,0.019,0.011,False,73407,3230,2.7,0.03,0.001,True,70,193.98195792392653,False,0.33980582524271846,1.0817486011888529,False,0.004,0.016278820596099707,False,-73131,3233.481096279983,True,-0.7000000000000002,1.2041594578792296,False
