id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m
QXZnSEhTT09j,1.74,0.27,9.3,,,avghhsooc,AvgHHSOOc,mean,housing_tenure,housing,True,1.66,0.18,6.7,,,True,2.85,0.01,0.2,,,True,0.08000000000000007,0.32449961479175904,False,,,,,-1.11,0.27018512172212594,True,,
QXZnSEhTUk9j,1.72,0.17,6,,,avghhsroc,AvgHHSROc,mean,housing_tenure,housing,True,1.69,0.13,4.8,,,True,2.51,0.01,0.2,,,True,0.030000000000000027,0.21400934559032697,False,,,,,-0.7899999999999998,0.17029386365926402,True,,
Qmx0MDB0MDk=,631,243,23.4,0.038,0.014,blt00t09,Blt00t09,HU3,year_structure_built,housing,False,,0,,0,0,False,198788,2928,0.9,0.057,0.001,True,,,,,0.038,0.014,False,-198157,2938.0662007517803,True,-1.9000000000000004,1.4035668847618201,False
Qmx0MTBMdHI=,315,202,38.9,0.019,0.012,blt10ltr,Blt10Ltr,HU3,year_structure_built,housing,False,,0,,0,0,False,76678,1919,1.5,0.022,0.001,True,,,,,0.019,0.012,False,-76363,1929.6022906288229,True,-0.2999999999999998,1.2041594578792296,False
Qmx0NDB0NDk=,806,271,20.5,0.048,0.016,blt40t49,Blt40t49,HU3,year_structure_built,housing,False,,0,,0,0,False,354913,3910,0.7,0.102,0.001,True,,,,,0.048,0.016,False,-354107,3919.380180589783,True,-5.3999999999999995,1.6031219541881399,True
Qmx0NTB0NTk=,2019,397,11.9,0.12,0.024,blt50t59,Blt50t59,HU3,year_structure_built,housing,True,,0,,0,0,False,450809,4111,0.6,0.13,0.001,True,,,,,0.12,0.024,True,-448790,4130.124695454121,True,-1,2.4020824298928627,False
Qmx0NjB0Njk=,3637,439,7.3,0.217,0.026,blt60t69,Blt60t69,HU3,year_structure_built,housing,True,,0,,0,0,False,440499,4325,0.6,0.127,0.001,True,,,,,0.217,0.026,True,-436862,4347.2227916222555,True,9,2.6019223662515376,True
Qmx0NzB0Nzk=,1387,288,12.6,0.083,0.017,blt70t79,Blt70t79,HU3,year_structure_built,housing,True,,0,,0,0,False,245191,3241,0.8,0.071,0.001,True,,,,,0.083,0.017,True,-243804,3253.7708892913774,True,1.200000000000001,1.7029386365926402,False
Qmx0ODB0ODk=,1059,242,13.9,0.063,0.014,blt80t89,Blt80t89,HU3,year_structure_built,housing,True,,0,,0,0,False,164132,2906,1.1,0.047,0.001,True,,,,,0.063,0.014,True,-163073,2916.0589843142748,True,1.5999999999999996,1.4035668847618201,False
Qmx0OTB0OTk=,360,165,27.8,0.021,0.01,blt90t99,Blt90t99,HU3,year_structure_built,housing,False,,0,,0,0,False,127962,2842,1.4,0.037,0.001,True,,,,,0.021,0.01,False,-127602,2846.7857313117192,True,-1.5999999999999996,1.004987562112089,False
Qmx0QmYzOQ==,6579,595,5.5,0.392,0.035,bltbf39,BltBf39,HU3,year_structure_built,housing,True,,0,,0,0,False,1413382,6785,0.3,0.407,0.002,True,,,,,0.392,0.035,True,-1406803,6811.038834128021,True,-1.499999999999993,3.5057096285916214,False
QnRSVlZFdGM=,40,60,91.2,0.002,0.004,btrvvetc,BtRVVEtc,HU2,units_in_structure,housing,False,12,18,91.2,0.001,0.001,False,1902,346,11.1,0.001,0.001,True,28,62.6418390534633,False,2.3333333333333335,7.0710678118654755,False,0.001,0.00412310562561766,False,-1862,351.1637794534055,True,0.1,0.4123105625617661,False
R1IxNWt0MTlr,1038,285,16.7,0.123,0.033,gr15kt19k,GR15kt19k,OcHUPRnt1,gross_rent,housing,True,,0,,0,0,False,442539,4873,0.7,0.214,0.002,True,,,,,0.123,0.033,True,-441501,4881.327073655278,True,-9.099999999999998,3.306055050963308,False
R1Ixa3QxNGs=,1145,356,18.9,0.135,0.041,gr1kt14k,GR1kt14k,OcHUPRnt1,gross_rent,housing,True,,0,,0,0,False,619998,5133,0.5,0.3,0.002,True,,,,,0.135,0.041,True,-618853,5145.330407272209,True,-16.5,4.104875150354759,True
R1IyMGt0MjRr,1153,311,16.4,0.136,0.036,gr20kt24k,GR20kt24k,OcHUPRnt1,gross_rent,housing,True,,0,,0,0,False,206669,2799,0.8,0.1,0.001,True,,,,,0.136,0.036,True,-205516,2816.2247779607364,True,3.6000000000000014,3.601388621073821,False
R1IyNWt0Mjlr,1738,382,13.3,0.206,0.043,gr25kt29k,GR25kt29k,OcHUPRnt1,gross_rent,housing,True,,0,,0,0,False,102402,2683,1.6,0.05,0.001,True,,,,,0.206,0.043,True,-100664,2710.0577484621986,True,15.599999999999998,4.301162633521313,True
R1Iza3Bs,2615,440,10.2,0.309,0.048,gr3kpl,GR3kpl,OcHUPRnt1,gross_rent,housing,True,,0,,0,0,False,147224,2968,1.2,0.071,0.001,True,,,,,0.309,0.048,True,-144609,3000.437301461239,True,23.799999999999997,4.801041553663121,True
R1I1MDB0OTk5,433,197,27.6,0.051,0.023,gr500t999,GR500t999,OcHUPRnt1,gross_rent,housing,False,,0,,0,0,False,321465,3260,0.6,0.156,0.002,True,,,,,0.051,0.023,False,-321032,3265.9468764816124,True,-10.5,2.308679276123039,True
R1Jub1JudFBk,241,143,36,,,grnorntpd,GRnoRntPd,NA,gross_rent,housing,False,190,80,25.6,,,False,59425,1926,2,,,True,51,163.8566446623389,False,0.26842105263157895,0.9228690148030709,False,,,-59184,1931.3013747212008,True,,
R1JQSTE1dDE5,1042,294,17.1,0.127,0.035,grpi15t19,GRPI15t19,OcHUPRnt2,gross_rent_as_a_percentage_of_household_income__grapi_,housing,True,1262,254,12.2,0.137,0.027,True,222841,3644,1,0.111,0.002,True,-220,388.52541744395563,False,-0.17432646592709986,0.28616134090229417,False,-0.010000000000000009,0.04420407221060069,False,-221799,3655.840806162106,True,1.5999999999999996,3.5057096285916214,False
R1JQSTIwdDI0,812,255,19.1,0.099,0.03,grpi20t24,GRPI20t24,OcHUPRnt2,gross_rent_as_a_percentage_of_household_income__grapi_,housing,True,1538,280,11.1,0.167,0.029,True,228606,3500,0.9,0.113,0.002,True,-726,378.71493236998197,False,-0.4720416124837451,0.19164571937861066,False,-0.068,0.04172529209005013,False,-227794,3509.276991062404,True,-1.4000000000000004,3.0066592756745814,False
R1JQSTI1dDI5,1032,304,17.9,0.125,0.036,grpi25t29,GRPI25t29,OcHUPRnt2,gross_rent_as_a_percentage_of_household_income__grapi_,housing,True,1014,237,14.2,0.11,0.025,True,211796,3409,1,0.105,0.002,True,18,385.4672489330319,False,0.01775147928994083,0.38271017702626536,False,0.015,0.04382921400162225,False,-210764,3422.5278669427953,True,2,3.6055512754639887,False
R1JQSTMwdDM0,516,200,23.6,0.063,0.024,grpi30t34,GRPI30t34,OcHUPRnt2,gross_rent_as_a_percentage_of_household_income__grapi_,housing,False,561,160,17.3,0.061,0.017,True,188082,3046,1,0.093,0.001,True,-45,256.12496949731394,False,-0.08021390374331551,0.4426199954809115,False,0.0020000000000000018,0.029410882339705485,False,-187566,3052.5589265401577,True,-3.000000000000001,2.4020824298928627,False
R1JQSTM1cGw=,2642,434,10,0.321,0.048,grpi35pl,GRPI35pl,OcHUPRnt2,gross_rent_as_a_percentage_of_household_income__grapi_,housing,True,3135,359,7,0.341,0.035,True,889842,5729,0.4,0.442,0.003,True,-493,563.2379603684396,False,-0.1572567783094099,0.1687546132765232,False,-0.020000000000000018,0.05940538696111658,False,-887200,5745.4153026565455,True,-12.100000000000001,4.809365862564419,False
R1JQSTUwcGw=,1624,353,13.2,0.197,0.041,grpi50pl,GRPI50pl,OcHUPRnt2,gross_rent_as_a_percentage_of_household_income__grapi_,housing,True,1688,287,10.3,0.183,0.03,True,584722,5029,0.5,0.29,0.002,True,-64,454.9483487166428,False,-0.037914691943127965,0.26549963383089764,False,0.014000000000000012,0.05080354318352215,False,-583098,5041.373820696101,True,-9.299999999999997,4.104875150354759,False
R1JQSU50Qw==,467,188,24.5,,,grpintc,GRPINtC,NA,gross_rent_as_a_percentage_of_household_income__grapi_,housing,False,340,116,20.7,,,False,109433,2779,1.5,,,True,127,220.90722034374522,False,0.3735294117647059,0.7248067482165641,False,,,-108966,2785.3518628711886,True,,
R1JQSVUxNQ==,2181,372,10.4,0.265,0.041,grpiu15,GRPIU15,OcHUPRnt2,gross_rent_as_a_percentage_of_household_income__grapi_,housing,True,1697,300,10.8,0.184,0.031,True,273663,4314,1,0.136,0.002,True,484,477.89538604175704,False,0.2852091926929876,0.3157122008140634,False,0.08100000000000002,0.05140038910358559,False,-271482,4330.009237865434,True,12.899999999999999,4.104875150354759,True
R1JVNTAw,329,164,30.3,0.039,0.019,gru500,GRU500,OcHUPRnt1,gross_rent,housing,False,,0,,0,0,False,224541,3382,0.9,0.109,0.002,True,,,,,0.039,0.019,False,-224212,3385.974010532272,True,-7,1.91049731745428,True
SE9WYWNSdA==,3.5,2.9,50.5,,,hovacrt,HOVacRt,rate,housing_occupancy,housing,False,0.6,0.9,96.8,,,False,1.8,0.1,3.4,,,True,2.9,3.0364452901377956,False,,,,,1.7,2.9017236257093817,False,,
SE9WYWNV,5440,546,6.1,0,0,hovacu,HOVacU,HOVacRt,housing__special_variable,housing,True,5599,402,,0,0,False,1065868,7322,0.4,0,0,True,-159,678.0265481527991,False,-0.028397928201464546,0.11990016096733894,False,0,0,-1060428,7342.329330668845,True,0,0
