id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QUlBTk5I,41,57,84.5,0.001,0.002,aiannh,AIANNH,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,False,0,0,,0,0,False,15017,875,3.5,0.002,0.001,True,41,57,False,0,,0.001,0.002,False,-14976,876.8546059638394,True,-0.1,0.223606797749979,False
QXNuMVJj,7131,850,7.2,1,0,asn1rc,Asn1Rc,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,1177700,3785,0.2,1,0,True,,,,,1,0,True,-1170569,3879.268616633811,True,0,0
QXNuMnBs,4,7,106.4,0.001,0.001,asn2pl,Asn2pl,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,17175,1660,5.9,0.015,0.001,True,,,,,0.001,0.001,False,-17171,1660.0147589705339,True,-1.4,0.14142135623730953,True
QXNuQmh1dG4=,0,0,,0,0,asnbhutn,AsnBhutn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,100,90,54.7,0,0,False,,,,,0,0,-100,90,False,0,0
QXNuQm5n,21,34,98.4,0.003,0.005,asnbng,AsnBng,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,65991,3237,3,0.056,0.003,True,,,,,0.003,0.005,False,-65970,3237.1785554707976,True,-5.300000000000001,0.58309518948453,True
QXNuQnVybQ==,0,0,,0,0,asnburm,AsnBurm,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,4509,620,8.4,0.004,0.001,True,,,,,0,0,-4509,620,True,-0.4,0.1,True
QXNuQ2hpTm9U,4514,807,10.9,0.633,0.084,asnchinot,AsnChiNoT,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,565173,5911,0.6,0.48,0.005,True,,,,,0.633,0.084,True,-560659,5965.833554500159,True,15.299999999999997,8.414867794564572,False
QXNuQ21i,0,0,,0,0,asncmb,AsnCmb,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,2700,1036,23.3,0.002,0.001,False,,,,,0,0,-2700,1036,False,-0.2,0.1,False
QXNuRWFzdA==,6273,988,9.6,0.88,0.091,asneast,AsnEast,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,686453,6802,0.6,0.583,0.005,True,,,,,0.88,0.091,True,-680180,6873.379663600724,True,29.700000000000003,9.113725912051557,True
QXNuRmxw,184,152,50.1,0.026,0.021,asnflp,AsnFlp,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,71450,2932,2.5,0.061,0.002,True,,,,,0.026,0.021,False,-71266,2935.9373290313947,True,-3.4999999999999996,2.1095023109728985,False
QXNuSG1uZw==,0,0,,0,0,asnhmng,AsnHmng,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,60,59,59.8,0,0,False,,,,,0,0,-60,59,False,0,0
QXNuSW5k,445,264,36,0.062,0.036,asnind,AsnInd,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,228887,4990,1.3,0.194,0.004,True,,,,,0.062,0.036,False,-228442,4996.978687166877,True,-13.200000000000003,3.6221540552549665,True
QXNuSW5kbnNu,44,60,82.4,0.006,0.008,asnindnsn,AsnIndnsn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,3778,675,10.9,0.003,0.001,True,,,,,0.006,0.008,False,-3734,677.661419884591,True,0.3,0.806225774829855,False
QXNuSnBu,4,7,106.4,0.001,0.001,asnjpn,AsnJpn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,25224,1431,3.4,0.021,0.001,True,,,,,0.001,0.001,False,-25220,1431.017120792061,True,-2,0.14142135623730953,True
QXNuS29y,1739,571,19.9,0.244,0.075,asnkor,AsnKor,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,85212,2865,2,0.072,0.002,True,,,,,0.244,0.075,True,-83473,2921.3466073028717,True,17.2,7.502666192761077,False
QXNuTGFv,0,0,,0,0,asnlao,AsnLao,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,538,173,19.5,0,0,True,,,,,0,0,-538,173,True,0,0
QXNuTWFsc24=,94,160,103.5,0.013,0.022,asnmalsn,AsnMalsn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,1750,544,18.9,0.001,0,True,,,,,0.013,0.022,False,-1656,567.0414446934192,False,1.2,2.1999999999999997,False
QXNuTWdvbA==,0,0,,0,0,asnmgol,AsnMgol,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,644,287,27.1,0.001,0,False,,,,,0,0,-644,287,False,-0.1,0,True
QXNuTmVwYWw=,0,0,,0,0,asnnepal,AsnNepal,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,8478,1242,8.9,0.007,0.001,True,,,,,0,0,-8478,1242,True,-0.7000000000000001,0.1,True
QXNuTkg=,7102,848,7.3,0.222,0.025,asnnh,AsnNH,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,True,5267,900,10.4,0.165,0.028,True,1167421,3568,0.2,0.138,0.001,True,1835,1236.569448110376,False,0.34839567116005316,0.2810860961681717,False,0.056999999999999995,0.03753664875824692,False,-1160319,3667.3870807429093,True,8.399999999999999,2.5019992006393608,True
QXNuT0Fzbg==,0,0,,0,0,asnoasn,AsnOAsn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,10707,1286,7.3,0.009,0.001,True,,,,,0,0,-10707,1286,True,-0.8999999999999999,0.1,True
QXNuT2tpbnc=,0,0,,0,0,asnokinw,AsnOkinw,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,0,0,,0,0,False,,,,,0,0,0,0,0,0
QXNuUGFr,11,14,76.8,0.002,0.002,asnpak,AsnPak,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,48973,3097,3.8,0.042,0.003,True,,,,,0.002,0.002,False,-48962,3097.031643364336,True,-4,0.36055512754639896,True
QXNuU0Vhc3Q=,371,234,38.3,0.052,0.032,asnseast,AsnSEast,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,106360,3653,2.1,0.09,0.003,True,,,,,0.052,0.032,False,-105989,3660.4869894591893,True,-3.8,3.2140317359976396,False
QXNuU291dGg=,483,267,33.6,0.068,0.037,asnsouth,AsnSouth,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,357005,6872,1.2,0.303,0.006,True,,,,,0.068,0.037,False,-356522,6877.184961886658,True,-23.5,3.748332962798262,True
QXNuU3JpTA==,6,13,131.7,0.001,0.002,asnsril,AsnSriL,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,4576,837,11.1,0.004,0.001,True,,,,,0.001,0.002,False,-4570,837.1009497067841,True,-0.30000000000000004,0.223606797749979,False
QXNuVGhhaQ==,37,45,74.3,0.005,0.006,asnthai,AsnThai,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,7346,955,7.9,0.006,0.001,True,,,,,0.005,0.006,False,-7309,956.059621571793,True,-0.09999999999999998,0.6082762530298219,False
QXNuVHdu,16,25,95,0.002,0.003,asntwn,AsnTwn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,10200,996,5.9,0.009,0.001,True,,,,,0.002,0.003,False,-10184,996.3137056168604,True,-0.7,0.31622776601683794,False
QXNuVnRu,12,18,91.2,0.002,0.003,asnvtn,AsnVtn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,14229,1262,5.4,0.012,0.001,True,,,,,0.002,0.003,False,-14217,1262.1283611423999,True,-1,0.31622776601683794,True
QmxOSA==,129,79,37.4,0.004,0.002,blnh,BlNH,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,False,120,127,64.1,0.004,0.004,False,1853055,3317,0.1,0.219,0.001,True,9,149.56603892595405,False,0.075,1.3144516079011386,False,0,0.004472135954999579,-1852926,3317.9406263524365,True,-21.5,0.223606797749979,True
RmVt,16526,656,2.4,0.517,0.008,fem,Fem,Pop_1,sex_and_age,demographic,True,16819,700,2.5,0.527,0.011,True,4418616,268,0,0.523,0,True,-293,959.3414407811225,False,-0.01742077412450205,0.05651228146583364,False,-0.010000000000000009,0.013601470508735444,False,-4402090,708.6324858486238,True,-0.6000000000000014,0.8,False
RlBvcDB0NQ==,768,210,16.6,0.024,0.006,fpop0t5,FPop0t5,Pop,poppyramid_only,demographic,True,879,213,14.8,0.028,0.007,True,269674,178,0,0.032,0,True,-111,299.11369075988483,False,-0.12627986348122866,0.31922181057756116,False,-0.004,0.009219544457292887,False,-268906,275.2889391167033,True,-0.8000000000000003,0.6,False
RlBvcDEwdDE0,1014,226,13.5,0.032,0.007,fpop10t14,FPop10t14,Pop,poppyramid_only,demographic,True,1051,219,12.6,0.033,0.007,True,227093,2312,0.6,0.027,0,True,-37,314.701445818096,False,-0.035204567078972404,0.2943727498310925,False,-0.0010000000000000009,0.009899494936611667,False,-226079,2323.019586658709,True,0.5,0.7000000000000001,False
RlBvcDE1dDE5,706,178,15.3,0.022,0.006,fpop15t19,FPop15t19,Pop,poppyramid_only,demographic,True,743,202,16.5,0.023,0.006,True,226700,355,0.1,0.027,0,True,-37,269.23595599399425,False,-0.04979811574697174,0.352319387756716,False,-0.0010000000000000009,0.00848528137423857,False,-225994,397.12592461333975,True,-0.5000000000000004,0.6,False
RlBvcDIwdDI0,787,181,14,0.025,0.006,fpop20t24,FPop20t24,Pop,poppyramid_only,demographic,True,689,196,17.3,0.022,0.006,True,293909,3345,0.7,0.035,0,True,98,266.7901797293146,False,0.14223512336719885,0.4178418428818407,False,0.0030000000000000027,0.00848528137423857,False,-293122,3349.893431140758,True,-1.0000000000000004,0.6,False
RlBvcDI1dDI5,762,195,15.6,0.024,0.006,fpop25t29,FPop25t29,Pop,poppyramid_only,demographic,True,1156,230,12.1,0.036,0.007,True,405287,203,0,0.048,0,True,-394,301.53772566629203,False,-0.3408304498269896,0.2136700752017404,False,-0.011999999999999997,0.009219544457292887,False,-404525,281.48534597737057,True,-2.4,0.6,True
RlBvcDMwdDM0,1063,203,11.6,0.033,0.006,fpop30t34,FPop30t34,Pop,poppyramid_only,demographic,True,1132,228,12.2,0.035,0.007,True,366861,247,0,0.043,0,True,-69,305.2752856030111,False,-0.060954063604240286,0.26063644295619265,False,-0.0020000000000000018,0.009219544457292887,False,-365798,319.71549852955206,True,-0.9999999999999996,0.6,False
RlBvcDM1dDM5,872,164,11.4,0.027,0.005,fpop35t39,FPop35t39,Pop,poppyramid_only,demographic,True,1016,229,13.7,0.032,0.007,True,315142,3125,0.6,0.037,0,True,-144,281.66824457151716,False,-0.14173228346456693,0.2519478790935612,False,-0.005000000000000001,0.008602325267042627,False,-314270,3129.3004010481322,True,-0.9999999999999996,0.5,False
RlBvcDQwdDQ0,1045,190,11,0.033,0.006,fpop40t44,FPop40t44,Pop,poppyramid_only,demographic,True,1338,233,10.6,0.042,0.007,True,280418,3132,0.7,0.033,0,True,-293,300.647634283059,False,-0.21898355754857998,0.19662818806085386,False,-0.009000000000000001,0.009219544457292887,False,-279373,3137.7577981737213,True,0,0.6
RlBvcDQ1dDQ5,1046,212,12.3,0.033,0.007,fpop45t49,FPop45t49,Pop,poppyramid_only,demographic,True,1363,234,10.4,0.043,0.007,True,281658,193,0,0.033,0,True,-317,315.75306807693886,False,-0.23257520176082172,0.20384047069017175,False,-0.009999999999999995,0.009899494936611667,False,-280612,286.69321582486043,True,0,0.7000000000000001
RlBvcDUwdDU0,1256,252,12.2,0.039,0.008,fpop50t54,FPop50t54,Pop,poppyramid_only,demographic,True,1378,239,10.5,0.043,0.007,True,285202,202,0,0.034,0,True,-122,347.3110997362451,False,-0.08853410740203194,0.24173019881316407,False,-0.003999999999999997,0.01063014581273465,False,-283946,322.96749062405644,True,0.49999999999999956,0.8,False
RlBvcDU1dDU5,1202,212,10.7,0.038,0.006,fpop55t59,FPop55t59,Pop,poppyramid_only,demographic,True,973,193,12.1,0.03,0.006,True,272993,2843,0.6,0.032,0,True,229,286.69321582486043,False,0.23535457348406988,0.327898287016009,False,0.008,0.00848528137423857,False,-271791,2850.8933687530302,True,0.5999999999999996,0.6,False
