id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
Q3ZOSVBvcDI=,189372,2790.37811057928,0.895738803347029,1,0,cvnipop2,CvNIPop2,CvNIPop2,health_insurance_coverage,economic,True,,0,,0,0,False,8379895,1861,0,1,0,True,,,,,1,0,True,-8190523,3354.0320511289083,True,0,0
Q3ZOSVUxOF8y,43494,1495.8288672171,2.09067563414344,1,0,cvniu18_2,CvNIU18_2,CvNIU18_2,health_insurance_coverage,economic,True,,0,,0,0,False,1855028,1721,0.1,1,0,True,,,,,1,0,True,-1811534,2280.207227424734,True,0,0
Q1dfQ3JwbGQ=,6413,724.541234161314,6.86808979064954,0.0740881941796925,0.00821681948117839,cw_crpld,CW_Crpld,Wrkr16pl,commute_to_work,economic,True,7230,654.682365731658,5.50460858994024,0.0876639910759755,0.0077315208825636,True,177245,3363,1.2,0.045,0.001,True,-817,976.508576511236,False,-0.11300138312586445,0.12842792674191447,False,-0.013575796896283007,0.011282399458616494,False,-170832,3440.16409492338,True,2.9088194179692497,0.8277446610294308,True
Q1dfRHJ2QWxu,56570,1714.68510228555,1.84260520471509,0.653542670317356,0.0139309435287665,cw_drvaln,CW_DrvAln,Wrkr16pl,commute_to_work,economic,True,52170,1534.49568262671,1.78804700628202,0.632562989548221,0.013329611371962,True,883066,6519,0.4,0.223,0.002,True,4400,2301.0480220977615,False,0.08433965880774391,0.04579835979138541,False,0.020979680769135034,0.01928081240324743,False,-826496,6740.734826411733,True,43.054267031735606,1.4073776593426557,True
Q1dfT3Ro,658,216.08563117431,19.9633808976552,0.00760175140655507,0.0024910165689078,cw_oth,CW_Oth,Wrkr16pl,commute_to_work,economic,True,526,167.287178229534,19.3335234354056,0.00637776753886073,0.00202413591949469,True,112933,2992,1.6,0.029,0.001,True,132,273.2727575152705,False,0.2509505703422053,0.5718803469020365,False,0.0012239838676943405,0.0032097180198830243,False,-112275,2999.7928261798347,True,-2.1398248593444933,0.2684243570649502,True
Q1dfUGJUcm5z,19865,1151.43258595543,3.52357925405431,0.229496643907624,0.0123487984048537,cw_pbtrns,CW_PbTrns,Wrkr16pl,commute_to_work,economic,True,19923,1058.55750906599,3.22993527837797,0.241567039309358,0.0118391377576084,True,2223087,10073,0.3,0.562,0.002,True,-58,1564.0783228470377,False,-0.002911208151382824,0.078401561489863,False,-0.012070395401733991,0.017107250067949147,False,-2203222,10138.595859388026,True,-33.2503356092376,1.2509709111075178,True
Q1dfV2xrZA==,1035,208.139376380348,12.2249754859755,0.0119571621668457,0.00239075006851769,cw_wlkd,CW_Wlkd,Wrkr16pl,commute_to_work,economic,True,964,220.145406493072,13.8824683432174,0.0116885321434634,0.00265847190253171,True,392607,5774,0.9,0.099,0.001,True,71,302.96204382727564,False,0.07365145228215768,0.3267021985271402,False,0.0002686300233823002,0.003575354352601698,False,-391572,5777.750254207947,True,-8.70428378331543,0.2591464043763166,True
Q1dfV3JrZEht,2018,363.37308651027,10.9462583408976,0.0233135780219272,0.00416781131686205,cw_wrkdhm,CW_WrkdHm,Wrkr16pl,commute_to_work,economic,True,1661,316.987381452322,11.6012941796267,0.0201396803841211,0.00382119835029959,True,164594,3729,1.4,0.042,0.001,True,357,482.20431354354355,False,0.21493076459963878,0.31877557030455006,False,0.0031738976378061015,0.005654397227405914,False,-162576,3746.6626482777974,True,-1.8686421978072802,0.42860997623671077,True
RTEwdDEycHQ1,2759,120,2.64401334786072,0,0,e10t12pt5,E10t12pt5,MdEWrk,economic__special_variable,economic,True,3431,0,,0,0,False,169608,0,,0,0,False,-672,120,True,-0.19586126493733605,0.034975225881667155,True,0,0,-166849,120,True,0,0
RTEycHQ1dDE1,1977,102,3.1363722320362,0,0,e12pt5t15,E12pt5t15,MdEWrk,economic__special_variable,economic,True,1609,0,,0,0,False,144620,0,,0,0,False,368,102,True,0.22871348663766314,0.06339341205717837,True,0,0,-142643,102,True,0,0
