id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QWdGRkhN,0,0,,0,0,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0,0,-3870,470,True,-0.1,0.1,False
QWdISEluYw==,1345075400,68883225,3.1,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,1165099100,50753493,,0,0,False,307989432000,2361252362,0.5,0,0,True,179976300,85561765.63221258,False,0.1544729542748767,0.07761816459441119,False,0,0,-306644356600,2362256890.2930474,True,0,0
QWdJUDE1cGw=,1387634100,71430476,3.1,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,1211679000,53237052,,0,0,False,318266008500,2111708243,0.4,0,0,True,175955100,89087017.05207825,False,0.14521593590381612,0.0775053968432134,False,0,0,-316878374400,2112915998.4381142,True,0,0
QWdUVG0=,1144545,47727,2.5,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,1099405,52334,,0,0,False,156042185,593582,0.2,0,0,True,45140,70828.76594294158,False,0.04105857259153815,0.06588192341334093,False,0,0,-154897640,595497.6551196487,True,0,0
QXJ0RW5SQUZT,1487,264,10.8,0.059,0.01,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,True,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.059,0.01,True,-439508,5439.410354073316,True,-5.000000000000001,1.004987562112089,True
Q05JMTg2NF8y,31452,1058,2,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5338425,2201.8458165820784,True,,
Q29uc3RjdG4=,1347,235,10.6,0.053,0.009,constctn,Constctn,CvEm16pl3,industry,economic,True,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.053,0.009,True,-204720,3747.3757484405005,True,0.20000000000000018,0.9055385138137416,False
Q3ZFbTE2cGwx,25237,916,2.2,0.599,0.013,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,25467,1028,2.5,0.602,0.014,True,4053141,9894,0.1,0.591,0.001,True,-230,1376.895057729528,False,-0.009031295401892646,0.05379421799859839,False,-0.0030000000000000027,0.0191049731745428,False,-4027904,9936.311790599166,True,0.8000000000000043,1.3038404810405297,False
Q3ZFbTE2cGwy,25237,916,2.2,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,25467,1028,2.5,1,0,True,4053141,9894,0.1,1,0,True,-230,1376.895057729528,False,-0.009031295401892646,0.05379421799859839,False,0,0,-4027904,9936.311790599166,True,0,0
Q3ZFbTE2cGwz,25237,916,2.2,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-4027904,9936.311790599166,True,0,0
Q3ZFbTE2cGw0,25237,916,2.2,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,25467,1028,2.5,1,0,True,4053141,9894,0.1,1,0,True,-230,1376.895057729528,False,-0.009031295401892646,0.05379421799859839,False,0,0,-4027904,9936.311790599166,True,0,0
Q3ZMRjE=,26826,949,2.2,0.636,0.013,cvlf1,CvLF1,Pop16pl,employment_status,economic,True,28626,1119,2.4,0.677,0.015,True,4354474,10392,0.1,0.635,0.002,True,-1800,1467.2293617563682,False,-0.06287989939216097,0.0494060958887286,False,-0.041000000000000036,0.019849433241279208,False,-4327648,10435.241492174486,True,0.10000000000000142,1.3152946437965907,False
Q3ZMRjE4dDY0,24977,919,2.2,,,cvlf18t64,CvLF18t64,NA,health_insurance_coverage,economic,True,,0,,,,False,4102491,9890,0.1,,,True,,,,,,,-4077514,9932.605952115488,True,,
Q3ZMRjI=,26826,949,2.2,1,0,cvlf2,CvLF2,CvLF2,employment_status,economic,True,28626,1119,2.4,1,0,True,4354474,10392,0.1,1,0,True,-1800,1467.2293617563682,False,-0.06287989939216097,0.0494060958887286,False,0,0,-4327648,10435.241492174486,True,0,0
Q3ZMRkVt,23424,884,2.3,1,0,cvlfem,CvLFEm,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3825543,9546,0.2,1,0,True,,,,,1,0,True,-3802119,9586.843693312205,True,0,0
Q3ZMRlVFbTE=,1589,258,9.9,0.038,0.006,cvlfuem1,CvLFUEm1,Pop16pl,employment_status,economic,True,3159,438,8.4,0.075,0.01,True,301333,4545,0.9,0.044,0.001,True,-1570,508.3384699194032,True,-0.4969927192149414,0.10739769186629897,True,-0.037,0.0116619037896906,True,-299744,4552.316882643387,True,-0.5999999999999996,0.6082762530298219,False
Q3ZMRlVFbTI=,1589,258,9.9,0.059,0.009,cvlfuem2,CvLFUEm2,CvLF2,employment_status,economic,True,3159,438,8.4,0.11,0.015,True,301333,4545,0.9,0.069,0.001,True,-1570,508.3384699194032,True,-0.4969927192149414,0.10739769186629897,True,-0.051000000000000004,0.017492855684535902,False,-299744,4552.316882643387,True,-1.0000000000000009,0.9055385138137416,False
