id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m
QXZnSEhTT09j,2.51,0.26,6.3,,,avghhsooc,AvgHHSOOc,mean,housing_tenure,housing,True,2.39,0.32,8,,,True,2.85,0.01,0.2,,,True,0.11999999999999966,0.41231056256176607,False,,,,,-0.3400000000000003,0.2601922366251538,False,,
QXZnSEhTUk9j,2.09,0.14,4,,,avghhsroc,AvgHHSROc,mean,housing_tenure,housing,True,2.08,0.16,4.8,,,True,2.51,0.01,0.2,,,True,0.009999999999999787,0.212602916254693,False,,,,,-0.41999999999999993,0.14035668847618202,False,,
Qmx0MDB0MDk=,1152,192,10.1,0.063,0.011,blt00t09,Blt00t09,HU3,year_structure_built,housing,True,,0,,0,0,False,198788,2928,0.9,0.057,0.001,True,,,,,0.063,0.011,True,-197636,2934.2883293909617,True,0.5999999999999996,1.104536101718726,False
Qmx0MTBMdHI=,954,168,10.7,0.052,0.009,blt10ltr,Blt10Ltr,HU3,year_structure_built,housing,True,,0,,0,0,False,76678,1919,1.5,0.022,0.001,True,,,,,0.052,0.009,True,-75724,1926.3397934943875,True,3.0000000000000004,0.9055385138137416,True
Qmx0NDB0NDk=,2117,252,7.2,0.116,0.014,blt40t49,Blt40t49,HU3,year_structure_built,housing,True,,0,,0,0,False,354913,3910,0.7,0.102,0.001,True,,,,,0.116,0.014,True,-352796,3918.1123005855766,True,1.4000000000000021,1.4035668847618201,False
Qmx0NTB0NTk=,1545,247,9.7,0.085,0.014,blt50t59,Blt50t59,HU3,year_structure_built,housing,True,,0,,0,0,False,450809,4111,0.6,0.13,0.001,True,,,,,0.085,0.014,True,-449264,4118.413529503807,True,-4.5,1.4035668847618201,True
Qmx0NjB0Njk=,1216,190,9.5,0.067,0.01,blt60t69,Blt60t69,HU3,year_structure_built,housing,True,,0,,0,0,False,440499,4325,0.6,0.127,0.001,True,,,,,0.067,0.01,True,-439283,4329.171398778293,True,-5.999999999999999,1.004987562112089,True
Qmx0NzB0Nzk=,562,133,14.4,0.031,0.007,blt70t79,Blt70t79,HU3,year_structure_built,housing,True,,0,,0,0,False,245191,3241,0.8,0.071,0.001,True,,,,,0.031,0.007,True,-244629,3243.727793758286,True,-3.9999999999999996,0.7071067811865476,True
Qmx0ODB0ODk=,231,91,24,0.013,0.005,blt80t89,Blt80t89,HU3,year_structure_built,housing,False,,0,,0,0,False,164132,2906,1.1,0.047,0.001,True,,,,,0.013,0.005,False,-163901,2907.424461615469,True,-3.4000000000000004,0.5099019513592785,True
Qmx0OTB0OTk=,508,149,17.9,0.028,0.008,blt90t99,Blt90t99,HU3,year_structure_built,housing,True,,0,,0,0,False,127962,2842,1.4,0.037,0.001,True,,,,,0.028,0.008,True,-127454,2845.9031958237792,True,-0.8999999999999995,0.806225774829855,False
Qmx0QmYzOQ==,9919,401,2.5,0.545,0.021,bltbf39,BltBf39,HU3,year_structure_built,housing,True,,0,,0,0,False,1413382,6785,0.3,0.407,0.002,True,,,,,0.545,0.021,True,-1403463,6796.839412550513,True,13.800000000000011,2.1095023109728985,True
QnRSVlZFdGM=,10,16,97.3,0.001,0.001,btrvvetc,BtRVVEtc,HU2,units_in_structure,housing,False,42,41,59.8,0.002,0.002,False,1902,346,11.1,0.001,0.001,True,-32,44.01136216933077,False,-0.7619047619047619,0.4462585610124771,False,-0.001,0.0022360679774997894,False,-1892,346.3697446371435,True,0,0.14142135623730953
R1IxNWt0MTlr,1879,252,8.2,0.177,0.023,gr15kt19k,GR15kt19k,OcHUPRnt1,gross_rent,housing,True,,0,,0,0,False,442539,4873,0.7,0.214,0.002,True,,,,,0.177,0.023,True,-440660,4879.511553424174,True,-3.6999999999999993,2.308679276123039,False
R1Ixa3QxNGs=,2420,291,7.3,0.228,0.026,gr1kt14k,GR1kt14k,OcHUPRnt1,gross_rent,housing,True,,0,,0,0,False,619998,5133,0.5,0.3,0.002,True,,,,,0.228,0.026,True,-617578,5141.242067827579,True,-7.199999999999999,2.6076809620810595,False
R1IyMGt0MjRr,1943,239,7.5,0.183,0.021,gr20kt24k,GR20kt24k,OcHUPRnt1,gross_rent,housing,True,,0,,0,0,False,206669,2799,0.8,0.1,0.001,True,,,,,0.183,0.021,True,-204726,2809.1852911475953,True,8.3,2.1023796041628637,True
R1IyNWt0Mjlr,1422,222,9.5,0.134,0.02,gr25kt29k,GR25kt29k,OcHUPRnt1,gross_rent,housing,True,,0,,0,0,False,102402,2683,1.6,0.05,0.001,True,,,,,0.134,0.02,True,-100980,2692.168828286963,True,8.4,2.0024984394500787,True
