id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m
QXZnSEhTT09j,2.11,0.52,15.1,,,avghhsooc,AvgHHSOOc,mean,housing_tenure,housing,True,2.74,0.66,14.6,,,True,2.85,0.01,0.2,,,True,-0.6300000000000003,0.8402380615040003,False,,,,,-0.7400000000000002,0.5200961449578337,False,,
QXZnSEhTUk9j,2.27,0.11,3,,,avghhsroc,AvgHHSROc,mean,housing_tenure,housing,True,2.52,0.12,2.9,,,True,2.51,0.01,0.2,,,True,-0.25,0.16278820596099705,False,,,,,-0.23999999999999977,0.11045361017187261,False,,
Qmx0MDB0MDk=,1094,219,12.2,0.055,0.011,blt00t09,Blt00t09,HU3,year_structure_built,housing,True,,0,,0,0,False,198788,2928,0.9,0.057,0.001,True,,,,,0.055,0.011,True,-197694,2936.1786389795834,True,-0.20000000000000018,1.104536101718726,False
Qmx0MTBMdHI=,155,94,36.8,0.008,0.005,blt10ltr,Blt10Ltr,HU3,year_structure_built,housing,False,,0,,0,0,False,76678,1919,1.5,0.022,0.001,True,,,,,0.008,0.005,False,-76523,1921.3008613957368,True,-1.3999999999999997,0.5099019513592785,False
Qmx0NDB0NDk=,1256,227,11,0.063,0.011,blt40t49,Blt40t49,HU3,year_structure_built,housing,True,,0,,0,0,False,354913,3910,0.7,0.102,0.001,True,,,,,0.063,0.011,True,-353657,3916.5838430959193,True,-3.8999999999999995,1.104536101718726,True
Qmx0NTB0NTk=,1520,224,9,0.076,0.011,blt50t59,Blt50t59,HU3,year_structure_built,housing,True,,0,,0,0,False,450809,4111,0.6,0.13,0.001,True,,,,,0.076,0.011,True,-449289,4117.0981285366515,True,-5.4,1.104536101718726,True
Qmx0NjB0Njk=,1327,242,11.1,0.066,0.012,blt60t69,Blt60t69,HU3,year_structure_built,housing,True,,0,,0,0,False,440499,4325,0.6,0.127,0.001,True,,,,,0.066,0.012,True,-439172,4331.765113669023,True,-6.099999999999999,1.2041594578792296,True
Qmx0NzB0Nzk=,1793,260,8.8,0.089,0.013,blt70t79,Blt70t79,HU3,year_structure_built,housing,True,,0,,0,0,False,245191,3241,0.8,0.071,0.001,True,,,,,0.089,0.013,True,-243398,3251.4121547413824,True,1.8000000000000007,1.3038404810405297,False
Qmx0ODB0ODk=,567,168,18,0.028,0.008,blt80t89,Blt80t89,HU3,year_structure_built,housing,True,,0,,0,0,False,164132,2906,1.1,0.047,0.001,True,,,,,0.028,0.008,True,-163565,2910.852108919311,True,-1.9,0.806225774829855,False
Qmx0OTB0OTk=,610,183,18.2,0.03,0.009,blt90t99,Blt90t99,HU3,year_structure_built,housing,True,,0,,0,0,False,127962,2842,1.4,0.037,0.001,True,,,,,0.03,0.009,True,-127352,2847.8857069763176,True,-0.6999999999999997,0.9055385138137416,False
Qmx0QmYzOQ==,11744,513,2.7,0.585,0.024,bltbf39,BltBf39,HU3,year_structure_built,housing,True,,0,,0,0,False,1413382,6785,0.3,0.407,0.002,True,,,,,0.585,0.024,True,-1401638,6804.365804393529,True,17.800000000000004,2.4083189157584592,True
QnRSVlZFdGM=,11,17,93.9,0.001,0.001,btrvvetc,BtRVVEtc,HU2,units_in_structure,housing,False,0,0,,0,0,False,1902,346,11.1,0.001,0.001,True,11,17,False,0,,0.001,0.001,False,-1891,346.41737831696605,True,0,0.14142135623730953
R1IxNWt0MTlr,1967,327,10.1,0.116,0.019,gr15kt19k,GR15kt19k,OcHUPRnt1,gross_rent,housing,True,,0,,0,0,False,442539,4873,0.7,0.214,0.002,True,,,,,0.116,0.019,True,-440572,4883.9592545392925,True,-9.799999999999997,1.91049731745428,True
R1Ixa3QxNGs=,3366,414,7.5,0.198,0.024,gr1kt14k,GR1kt14k,OcHUPRnt1,gross_rent,housing,True,,0,,0,0,False,619998,5133,0.5,0.3,0.002,True,,,,,0.198,0.024,True,-616632,5149.668435928666,True,-10.2,2.4083189157584592,True
R1IyMGt0MjRr,1638,291,10.8,0.096,0.017,gr20kt24k,GR20kt24k,OcHUPRnt1,gross_rent,housing,True,,0,,0,0,False,206669,2799,0.8,0.1,0.001,True,,,,,0.096,0.017,True,-205031,2814.086352619621,True,-0.40000000000000036,1.7029386365926402,False
R1IyNWt0Mjlr,1110,242,13.3,0.065,0.014,gr25kt29k,GR25kt29k,OcHUPRnt1,gross_rent,housing,True,,0,,0,0,False,102402,2683,1.6,0.05,0.001,True,,,,,0.065,0.014,True,-101292,2693.8917944119435,True,1.5,1.4035668847618201,False
R1Iza3Bs,1214,245,12.3,0.071,0.014,gr3kpl,GR3kpl,OcHUPRnt1,gross_rent,housing,True,,0,,0,0,False,147224,2968,1.2,0.071,0.001,True,,,,,0.071,0.014,True,-146010,2978.0948608128656,True,0,1.4035668847618201
R1I1MDB0OTk5,4760,486,6.2,0.28,0.027,gr500t999,GR500t999,OcHUPRnt1,gross_rent,housing,True,,0,,0,0,False,321465,3260,0.6,0.156,0.002,True,,,,,0.28,0.027,True,-316705,3296.027305712136,True,12.400000000000004,2.7073972741361767,True
R1Jub1JudFBk,213,114,32.6,,,grnorntpd,GRnoRntPd,NA,gross_rent,housing,False,218,105,29.4,,,False,59425,1926,2,,,True,-5,154.98709623707387,False,-0.022935779816513763,0.7035128013643813,False,,,-59212,1929.3708819198034,True,,
R1JQSTE1dDE5,1720,316,11.2,0.104,0.019,grpi15t19,GRPI15t19,OcHUPRnt2,gross_rent_as_a_percentage_of_household_income__grapi_,housing,True,1874,334,10.8,0.112,0.02,True,222841,3644,1,0.111,0.002,True,-154,459.795606764571,False,-0.08217716115261472,0.23493170164297006,False,-0.008000000000000007,0.02758622844826744,False,-221121,3657.6757647446007,True,-0.6999999999999993,1.91049731745428,False
