id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m
QXZnSEhTT09j,3.24,0.37,6.9,,,avghhsooc,AvgHHSOOc,mean,housing_tenure,housing,True,3.49,0.42,7.4,,,True,2.85,0.01,0.2,,,True,-0.25,0.5597320787662612,False,,,,,0.3900000000000001,0.37013511046643494,False,,
QXZnSEhTUk9j,3.54,0.18,3,,,avghhsroc,AvgHHSROc,mean,housing_tenure,housing,True,3.3,0.16,3,,,True,2.51,0.01,0.2,,,True,0.2400000000000002,0.2408318915758459,False,,,,,1.0300000000000002,0.18027756377319948,True,,
Qmx0MDB0MDk=,1242,199,9.8,0.06,0.01,blt00t09,Blt00t09,HU3,year_structure_built,housing,True,,0,,0,0,False,198788,2928,0.9,0.057,0.001,True,,,,,0.06,0.01,True,-197546,2934.754674585254,True,0.2999999999999998,1.004987562112089,False
Qmx0MTBMdHI=,285,97,20.6,0.014,0.005,blt10ltr,Blt10Ltr,HU3,year_structure_built,housing,False,,0,,0,0,False,76678,1919,1.5,0.022,0.001,True,,,,,0.014,0.005,False,-76393,1921.449973327435,True,-0.7999999999999996,0.5099019513592785,False
Qmx0NDB0NDk=,1677,253,9.2,0.081,0.012,blt40t49,Blt40t49,HU3,year_structure_built,housing,True,,0,,0,0,False,354913,3910,0.7,0.102,0.001,True,,,,,0.081,0.012,True,-353236,3918.1767443544454,True,-2.0999999999999996,1.2041594578792296,False
Qmx0NTB0NTk=,1257,216,10.4,0.061,0.01,blt50t59,Blt50t59,HU3,year_structure_built,housing,True,,0,,0,0,False,450809,4111,0.6,0.13,0.001,True,,,,,0.061,0.01,True,-449552,4116.670620780827,True,-6.9,1.004987562112089,True
Qmx0NjB0Njk=,1356,233,10.4,0.065,0.011,blt60t69,Blt60t69,HU3,year_structure_built,housing,True,,0,,0,0,False,440499,4325,0.6,0.127,0.001,True,,,,,0.065,0.011,True,-439143,4331.271637752589,True,-6.199999999999999,1.104536101718726,True
Qmx0NzB0Nzk=,481,130,16.5,0.023,0.006,blt70t79,Blt70t79,HU3,year_structure_built,housing,True,,0,,0,0,False,245191,3241,0.8,0.071,0.001,True,,,,,0.023,0.006,True,-244710,3243.606172148524,True,-4.8,0.6082762530298219,True
Qmx0ODB0ODk=,767,169,13.4,0.037,0.008,blt80t89,Blt80t89,HU3,year_structure_built,housing,True,,0,,0,0,False,164132,2906,1.1,0.047,0.001,True,,,,,0.037,0.008,True,-163365,2910.9099951733306,True,-1.0000000000000004,0.806225774829855,False
Qmx0OTB0OTk=,603,146,14.8,0.029,0.007,blt90t99,Blt90t99,HU3,year_structure_built,housing,True,,0,,0,0,False,127962,2842,1.4,0.037,0.001,True,,,,,0.029,0.007,True,-127359,2845.7477049099066,True,-0.7999999999999994,0.7071067811865476,False
Qmx0QmYzOQ==,13064,471,2.2,0.63,0.021,bltbf39,BltBf39,HU3,year_structure_built,housing,True,,0,,0,0,False,1413382,6785,0.3,0.407,0.002,True,,,,,0.63,0.021,True,-1400318,6801.328252628306,True,22.300000000000004,2.1095023109728985,True
QnRSVlZFdGM=,18,28,94.6,0.001,0.001,btrvvetc,BtRVVEtc,HU2,units_in_structure,housing,False,0,0,,0,0,False,1902,346,11.1,0.001,0.001,True,18,28,False,0,,0.001,0.001,False,-1884,347.1310991541956,True,0,0.14142135623730953
