id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m
QXZnSEhTT09j,2.94,0.25,5.2,,,avghhsooc,AvgHHSOOc,mean,housing_tenure,housing,True,2.73,0.28,6.2,,,True,2.85,0.01,0.2,,,True,0.20999999999999996,0.3753664875824692,False,,,,,0.08999999999999986,0.2501999200639361,False,,
QXZnSEhTUk9j,2.66,0.43,9.9,,,avghhsroc,AvgHHSROc,mean,housing_tenure,housing,True,2.39,0.4,10,,,True,2.51,0.01,0.2,,,True,0.27,0.587281874401041,False,,,,,0.15000000000000036,0.4301162633521313,False,,
Qmx0MDB0MDk=,789,149,11.5,0.128,0.024,blt00t09,Blt00t09,HU3,year_structure_built,housing,True,,0,,0,0,False,198788,2928,0.9,0.057,0.001,True,,,,,0.128,0.024,True,-197999,2931.7887031639916,True,7.1000000000000005,2.4020824298928627,False
Qmx0MTBMdHI=,40,31,47,0.007,0.005,blt10ltr,Blt10Ltr,HU3,year_structure_built,housing,False,,0,,0,0,False,76678,1919,1.5,0.022,0.001,True,,,,,0.007,0.005,False,-76638,1919.250374495209,True,-1.4999999999999996,0.5099019513592785,False
Qmx0NDB0NDk=,414,128,18.8,0.067,0.021,blt40t49,Blt40t49,HU3,year_structure_built,housing,True,,0,,0,0,False,354913,3910,0.7,0.102,0.001,True,,,,,0.067,0.021,True,-354499,3912.0945796337796,True,-3.499999999999999,2.1023796041628637,False
Qmx0NTB0NTk=,750,167,13.6,0.122,0.027,blt50t59,Blt50t59,HU3,year_structure_built,housing,True,,0,,0,0,False,450809,4111,0.6,0.13,0.001,True,,,,,0.122,0.027,True,-450059,4114.390598861513,True,-0.8000000000000007,2.701851217221259,False
Qmx0NjB0Njk=,826,177,13,0.134,0.029,blt60t69,Blt60t69,HU3,year_structure_built,housing,True,,0,,0,0,False,440499,4325,0.6,0.127,0.001,True,,,,,0.134,0.029,True,-439673,4328.620334471481,True,0.7000000000000011,2.901723625709382,False
Qmx0NzB0Nzk=,895,158,10.7,0.146,0.025,blt70t79,Blt70t79,HU3,year_structure_built,housing,True,,0,,0,0,False,245191,3241,0.8,0.071,0.001,True,,,,,0.146,0.025,True,-244296,3244.8489949456816,True,7.5,2.5019992006393608,False
Qmx0ODB0ODk=,889,146,10,0.145,0.024,blt80t89,Blt80t89,HU3,year_structure_built,housing,True,,0,,0,0,False,164132,2906,1.1,0.047,0.001,True,,,,,0.145,0.024,True,-163243,2909.6652728449712,True,9.799999999999997,2.4020824298928627,True
Qmx0OTB0OTk=,489,127,15.7,0.08,0.021,blt90t99,Blt90t99,HU3,year_structure_built,housing,True,,0,,0,0,False,127962,2842,1.4,0.037,0.001,True,,,,,0.08,0.021,True,-127473,2844.836199151016,True,4.300000000000001,2.1023796041628637,False
Qmx0QmYzOQ==,1056,193,11.1,0.172,0.031,bltbf39,BltBf39,HU3,year_structure_built,housing,True,,0,,0,0,False,1413382,6785,0.3,0.407,0.002,True,,,,,0.172,0.031,True,-1412326,6787.744397073302,True,-23.499999999999996,3.1064449134018135,True
QnRSVlZFdGM=,0,0,,0,0,btrvvetc,BtRVVEtc,HU2,units_in_structure,housing,False,0,0,,0,0,False,1902,346,11.1,0.001,0.001,True,0,0,0,,,,-1902,346,True,-0.1,0.1,False
R1IxNWt0MTlr,391,127,19.7,0.205,0.063,gr15kt19k,GR15kt19k,OcHUPRnt1,gross_rent,housing,True,,0,,0,0,False,442539,4873,0.7,0.214,0.002,True,,,,,0.205,0.063,True,-442148,4874.6546544345065,True,-0.8999999999999986,6.30317380372777,False
R1Ixa3QxNGs=,448,142,19.3,0.235,0.07,gr1kt14k,GR1kt14k,OcHUPRnt1,gross_rent,housing,True,,0,,0,0,False,619998,5133,0.5,0.3,0.002,True,,,,,0.235,0.07,True,-619550,5134.963777866403,True,-6.5,7.0028565600046395,False
R1IyMGt0MjRr,143,64,27,0.075,0.032,gr20kt24k,GR20kt24k,OcHUPRnt1,gross_rent,housing,False,,0,,0,0,False,206669,2799,0.8,0.1,0.001,True,,,,,0.075,0.032,False,-206526,2799.73159427828,True,-2.5,3.2015621187164247,False
R1IyNWt0Mjlr,16,19,72.1,0.008,0.01,gr25kt29k,GR25kt29k,OcHUPRnt1,gross_rent,housing,False,,0,,0,0,False,102402,2683,1.6,0.05,0.001,True,,,,,0.008,0.01,False,-102386,2683.067274594508,True,-4.2,1.004987562112089,True
R1Iza3Bs,25,18,43.8,0.013,0.009,gr3kpl,GR3kpl,OcHUPRnt1,gross_rent,housing,False,,0,,0,0,False,147224,2968,1.2,0.071,0.001,True,,,,,0.013,0.009,False,-147199,2968.054581708362,True,-5.8,0.9055385138137416,True
R1I1MDB0OTk5,447,145,19.7,0.234,0.072,gr500t999,GR500t999,OcHUPRnt1,gross_rent,housing,True,,0,,0,0,False,321465,3260,0.6,0.156,0.002,True,,,,,0.234,0.072,True,-321018,3263.2230999427543,True,7.8000000000000025,7.202777242147642,False
R1Jub1JudFBk,163,62,23,,,grnorntpd,GRnoRntPd,NA,gross_rent,housing,False,351,90,15.6,,,True,59425,1926,2,,,True,-188,109.288608738514,False,-0.5356125356125356,0.21302486610151058,False,,,-59262,1926.9976647624667,True,,
R1JQSTE1dDE5,157,75,29,0.085,0.039,grpi15t19,GRPI15t19,OcHUPRnt2,gross_rent_as_a_percentage_of_household_income__grapi_,housing,False,199,89,27.1,0.101,0.043,False,222841,3644,1,0.111,0.002,True,-42,116.3872845288522,False,-0.21105527638190955,0.516276279831621,False,-0.016,0.05805170109479997,False,-222684,3644.7717349650306,True,-2.5999999999999996,3.905124837953327,False
R1JQSTIwdDI0,240,98,24.8,0.129,0.051,grpi20t24,GRPI20t24,OcHUPRnt2,gross_rent_as_a_percentage_of_household_income__grapi_,housing,False,206,88,25.9,0.104,0.043,False,228606,3500,0.9,0.113,0.002,True,34,131.71180660821565,False,0.1650485436893204,0.6884862024391933,False,0.02500000000000001,0.06670832032063166,False,-228366,3501.371731193362,True,1.5999999999999996,5.103920062069938,False
R1JQSTI1dDI5,219,109,30.1,0.118,0.057,grpi25t29,GRPI25t29,OcHUPRnt2,gross_rent_as_a_percentage_of_household_income__grapi_,housing,False,315,132,25.4,0.159,0.064,False,211796,3409,1,0.105,0.002,True,-96,171.18703221914913,False,-0.3047619047619048,0.4523446947546433,False,-0.04100000000000001,0.08570297544426331,False,-211577,3410.742147978941,True,1.299999999999999,5.70350769263968,False
R1JQSTMwdDM0,121,60,30.3,0.065,0.032,grpi30t34,GRPI30t34,OcHUPRnt2,gross_rent_as_a_percentage_of_household_income__grapi_,housing,False,174,92,32.2,0.088,0.045,False,188082,3046,1,0.093,0.001,True,-53,109.83624174196785,False,-0.3045977011494253,0.5040809151543516,False,-0.022999999999999993,0.05521775076911409,False,-187961,3046.5908816249025,True,-2.8000000000000007,3.2015621187164247,False
