id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
Q3ZOSVBvcDI=,396437,5594.45278825374,0.857862195999273,1,0,cvnipop2,CvNIPop2,CvNIPop2,health_insurance_coverage,economic,True,,0,,0,0,False,8379895,1861,0,1,0,True,,,,,1,0,True,-7983458,5895.864906864815,True,0,0
Q3ZOSVUxOF8y,71346,2652.1395136757,2.25975228528068,1,0,cvniu18_2,CvNIU18_2,CvNIU18_2,health_insurance_coverage,economic,True,,0,,0,0,False,1855028,1721,0.1,1,0,True,,,,,1,0,True,-1783682,3161.595325148362,True,0,0
Q1dfQ3JwbGQ=,3721,689.87390152114,11.2705249107161,0.0182056588726289,0.0033605496837778,cw_crpld,CW_Crpld,Wrkr16pl,commute_to_work,economic,True,3108,472.19275725068,9.23575511085581,0.0154224806970882,0.00233084676607061,True,177245,3363,1.2,0.045,0.001,True,613,835.997607652079,False,0.19723294723294724,0.2869749625611586,False,0.002783178175540699,0.004089760484923401,False,-173524,3433.0300027817993,True,-2.67943411273711,0.3506179427402293,True
Q1dfRHJ2QWxu,13507,1127.84263086656,5.07602443612626,0.0660854163914535,0.00539798599993037,cw_drvaln,CW_DrvAln,Wrkr16pl,commute_to_work,economic,True,14176,951.677991759818,4.08103593796021,0.0703439788809273,0.00459442531904731,True,883066,6519,0.4,0.223,0.002,True,-669,1475.7099986108396,False,-0.04719243792325056,0.10208476331040453,False,-0.004258562489473802,0.007088511611597124,False,-869559,6615.8438615191035,True,-15.69145836085465,0.5756583435983907,True
Q1dfT3Ro,11711,1107.3319285562,5.74801561390833,0.0572981647560755,0.00532602150449317,cw_oth,CW_Oth,Wrkr16pl,commute_to_work,economic,True,11665,891.862657588039,4.64779896522624,0.0578839244953455,0.00433341440371645,True,112933,2992,1.6,0.029,0.001,True,46,1421.8308619522902,False,0.003943420488641235,0.12207797474715698,False,-0.0005857597392699976,0.006866220609670277,False,-101222,3190.3366593511714,True,2.82981647560755,0.5419087106360599,True
Q1dfUGJUcm5z,128316,3135.67313347549,1.48553904085928,0.627809009379266,0.0108151636192902,cw_pbtrns,CW_PbTrns,Wrkr16pl,commute_to_work,economic,True,126733,2702.85682195709,1.29648477973454,0.628872987832715,0.00919708564462507,True,2223087,10073,0.3,0.562,0.002,True,1583,4139.792386098605,False,0.012490827172086197,0.032840012784561536,False,-0.001063978453448966,0.01419697673684742,False,-2094771,10549.776063974059,True,6.580900937926593,1.0998534634760138,True
Q1dfV2xrZA==,31520,1822.20361101607,3.51434822299552,0.1542172447367,0.00850533790305044,cw_wlkd,CW_Wlkd,Wrkr16pl,commute_to_work,economic,True,32106,1391.99640804134,2.63563952015586,0.159316011988647,0.00644944580156798,True,392607,5774,0.9,0.099,0.001,True,-586,2293.050370140176,False,-0.018252040117112067,0.07094364510144904,False,-0.005098767251946995,0.010674086564780581,False,-361087,6054.709076413169,True,5.52172447367,0.8563922748662931,True
Q1dfV3JrZEht,15612,1346.09695044599,5.24145540935308,0.0763845058638759,0.00645158133897898,cw_wrkdhm,CW_WrkdHm,Wrkr16pl,commute_to_work,economic,True,13736,1013.73024025132,4.48638166985305,0.0681606161052778,0.00491778642775673,True,164594,3729,1.4,0.042,0.001,True,1876,1685.118986896769,False,0.13657542224810718,0.12899408829378226,False,0.008223889758598113,0.008112183745606981,False,-148982,3964.519895271052,True,3.4384505863875905,0.6528621736129442,True
RTEwdDEycHQ1,6389,355,3.37776602167194,0,0,e10t12pt5,E10t12pt5,MdEWrk,economic__special_variable,economic,True,6780,0,,0,0,False,169608,0,,0,0,False,-391,355,False,-0.057669616519174044,0.052359882005899715,False,0,0,-163219,355,True,0,0
RTEycHQ1dDE1,4551,189,2.52457958737149,0,0,e12pt5t15,E12pt5t15,MdEWrk,economic__special_variable,economic,True,5172,0,,0,0,False,144620,0,,0,0,False,-621,189,True,-0.12006960556844548,0.03654292343387471,True,0,0,-140069,189,True,0,0
RTE1dDE3cHQ1,4482,250,3.39080062227973,0,0,e15t17pt5,E15t17pt5,MdEWrk,economic__special_variable,economic,True,5979,0,,0,0,False,173274,0,,0,0,False,-1497,250,True,-0.2503763171098846,0.041813012209399564,True,0,0,-168792,250,True,0,0
RTE3cHQ1dDIw,3647,285,4.75054235358537,0,0,e17pt5t20,E17pt5t20,MdEWrk,economic__special_variable,economic,True,4137,0,,0,0,False,126285,0,,0,0,False,-490,285,False,-0.11844331641285956,0.06889050036258158,False,0,0,-122638,285,True,0,0
RTIwdDIycHQ1,6299,317,3.05929778017546,0,0,e20t22pt5,E20t22pt5,MdEWrk,economic__special_variable,economic,True,7241,0,,0,0,False,196961,0,,0,0,False,-942,317,False,-0.13009252865626295,0.04377848363485706,False,0,0,-190662,317,True,0,0
RTIycHQ1dDI1,2985,237,4.82656443310779,0,0,e22pt5t25,E22pt5t25,MdEWrk,economic__special_variable,economic,True,3036,0,,0,0,False,107043,0,,0,0,False,-51,237,False,-0.016798418972332016,0.07806324110671936,False,0,0,-104058,237,True,0,0
RTdwdDV0MTA=,4072,319,4.76230286454757,0,0,e7pt5t10,E7pt5t10,MdEWrk,economic__special_variable,economic,True,5600,0,,0,0,False,118902,0,,0,0,False,-1528,319,True,-0.27285714285714285,0.0569642857142857,True,0,0,-114830,319,True,0,0
