id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QWdGRkhN,0,0,,0,0,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0,0,-3870,470,True,-0.1,0.1,False
QWdISEluYw==,472823200,48448566,6.2,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,325012000,37286837,,0,0,False,307989432000,2361252362,0.5,0,0,True,147811200,61135683.20482666,False,0.4547869001759935,0.22377774463740868,False,0,0,-307516608800,2361749347.5383954,True,0,0
QWdJUDE1cGw=,536438500,56603825,6.4,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,375824900,41831945,,0,0,False,318266008500,2111708243,0.4,0,0,True,160613600,70383979.90390746,False,0.42736284902889615,0.21891885100119193,False,0,0,-317729570000,2112466732.6513753,True,0,0
QWdUVG0=,406445,43981,6.6,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,294755,30671,,0,0,False,156042185,593582,0.2,0,0,True,111690,53619.386438115835,False,0.378924869807128,0.2070078854083518,False,0,0,-155635740,595209.1389461354,True,0,0
QXJ0RW5SQUZT,2273,487,13,0.201,0.04,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,True,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.201,0.04,True,-438722,5454.783038765153,True,9.200000000000001,4.001249804748512,False
Q05JMTg2NF8y,16533,1109,4.1,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5353344,2226.800844260663,True,,
Q29uc3RjdG4=,186,157,51.4,0.016,0.014,constctn,Constctn,CvEm16pl3,industry,economic,False,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.016,0.014,False,-205881,3743.29387037673,True,-3.4999999999999996,1.4035668847618201,False
Q3ZFbTE2cGwx,11293,883,4.8,0.566,0.031,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,9195,745,4.9,0.497,0.027,True,4053141,9894,0.1,0.591,0.001,True,2098,1155.2982298956404,False,0.22816748232735182,0.13828911114207715,False,0.06899999999999995,0.04110960958218893,False,-4041848,9933.323965319967,True,-2.5,3.1016124838541645,False
Q3ZFbTE2cGwy,11293,883,4.8,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,9195,745,4.9,1,0,True,4053141,9894,0.1,1,0,True,2098,1155.2982298956404,False,0.22816748232735182,0.13828911114207715,False,0,0,-4041848,9933.323965319967,True,0,0
Q3ZFbTE2cGwz,11293,883,4.8,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-4041848,9933.323965319967,True,0,0
Q3ZFbTE2cGw0,11293,883,4.8,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,9195,745,4.9,1,0,True,4053141,9894,0.1,1,0,True,2098,1155.2982298956404,False,0.22816748232735182,0.13828911114207715,False,0,0,-4041848,9933.323965319967,True,0,0
Q3ZMRjE=,12024,923,4.7,0.603,0.032,cvlf1,CvLF1,Pop16pl,employment_status,economic,True,10062,771,4.7,0.544,0.025,True,4354474,10392,0.1,0.635,0.002,True,1962,1202.6512378906862,False,0.19499105545617174,0.1296108635871339,False,0.05899999999999994,0.040607881008493905,False,-4342450,10432.909134081443,True,-3.200000000000003,3.2062439083762797,False
Q3ZMRjE4dDY0,11577,931,4.9,,,cvlf18t64,CvLF18t64,NA,health_insurance_coverage,economic,True,,0,,,,False,4102491,9890,0.1,,,True,,,,,,,-4090914,9933.72342075216,True,,
Q3ZMRjI=,12024,923,4.7,1,0,cvlf2,CvLF2,CvLF2,employment_status,economic,True,10062,771,4.7,1,0,True,4354474,10392,0.1,1,0,True,1962,1202.6512378906862,False,0.19499105545617174,0.1296108635871339,False,0,0,-4342450,10432.909134081443,True,0,0
Q3ZMRkVt,10919,899,5,1,0,cvlfem,CvLFEm,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3825543,9546,0.2,1,0,True,,,,,1,0,True,-3814624,9588.238472211671,True,0,0
Q3ZMRlVFbTE=,731,225,18.7,0.037,0.011,cvlfuem1,CvLFUEm1,Pop16pl,employment_status,economic,True,867,207,14.5,0.047,0.011,True,301333,4545,0.9,0.044,0.001,True,-136,305.73517952633455,False,-0.1568627450980392,0.32843735331898744,False,-0.010000000000000002,0.015556349186104044,False,-300602,4550.565898874556,True,-0.6999999999999997,1.104536101718726,False
Q3ZMRlVFbTI=,731,225,18.7,0.061,0.018,cvlfuem2,CvLFUEm2,CvLF2,employment_status,economic,True,867,207,14.5,0.086,0.019,True,301333,4545,0.9,0.069,0.001,True,-136,305.73517952633455,False,-0.1568627450980392,0.32843735331898744,False,-0.024999999999999994,0.0261725046566048,False,-300602,4550.565898874556,True,-0.8000000000000007,1.8027756377319943,False
