id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QmVsYXJ1cw==,0,0,,0,0,belarus,Belarus,Fb2,place_of_birth,social,False,0,0,,0,0,False,12400,968,4.7,0.004,0,True,0,0,0,,,,-12400,968,True,-0.4,0,True
QmVsZ2lhbg==,0,0,,0,0,belgian,Belgian,Pop_5,ancestry,social,False,0,0,,0,0,False,4625,690,9.1,0.001,0,True,0,0,0,,,,-4625,690,True,-0.1,0,True
QmVsZ2l1bQ==,0,0,,0,0,belgium,Belgium,Fb2,place_of_birth,social,False,0,0,,0,0,False,3153,526,10.1,0.001,0,True,0,0,0,,,,-3153,526,True,-0.1,0,True
QmVsaXpl,0,0,,0,0,belize,Belize,Fb2,place_of_birth,social,False,0,0,,0,0,False,6737,791,7.1,0.002,0,True,0,0,0,,,,-6737,791,True,-0.2,0,True
QmVsaXplYW4=,0,0,,0,0,belizean,Belizean,Pop_5,ancestry,social,False,0,0,,0,0,False,7054,1069,9.2,0.001,0,True,0,0,0,,,,-7054,1069,True,-0.1,0,True
QmVybXVkYW4=,0,0,,0,0,bermudan,Bermudan,Pop_5,ancestry,social,False,0,0,,0,0,False,344,169,29.9,0,0,False,0,0,0,,,,-344,169,False,0,0
Qm5nbGRzaA==,0,0,,0,0,bngldsh,Bngldsh,Fb2,place_of_birth,social,False,0,0,,0,0,False,86980,3108,2.2,0.028,0.001,True,0,0,0,,,,-86980,3108,True,-2.8000000000000003,0.1,True
Qm9saXZpYQ==,0,0,,0,0,bolivia,Bolivia,Fb2,place_of_birth,social,False,0,0,,0,0,False,2382,425,10.8,0.001,0,True,0,0,0,,,,-2382,425,True,-0.1,0,True
Qm9zbmlhSA==,0,0,,0,0,bosniah,BosniaH,Fb2,place_of_birth,social,False,0,0,,0,0,False,1696,300,10.8,0.001,0,True,0,0,0,,,,-1696,300,True,-0.1,0,True
QnJhemls,0,0,,0,0,brazil,Brazil,Fb2,place_of_birth,social,False,0,0,,0,0,False,13483,1062,4.8,0.004,0,True,0,0,0,,,,-13483,1062,True,-0.4,0,True
QnJiZGlhbg==,0,0,,0,0,brbdian,Brbdian,Pop_5,ancestry,social,False,0,0,,0,0,False,22110,1521,4.2,0.003,0,True,0,0,0,,,,-22110,1521,True,-0.3,0,True
QnJpdGlzaA==,0,0,,0,0,british,British,Pop_5,ancestry,social,False,0,0,,0,0,False,26628,1327,3,0.003,0,True,0,0,0,,,,-26628,1327,True,-0.3,0,True
QnJ0V0luZA==,0,0,,0,0,brtwind,BrtWInd,Pop_5,ancestry,social,False,0,0,,0,0,False,45617,2249,3,0.005,0,True,0,0,0,,,,-45617,2249,True,-0.5,0,True
QnJ6bGlhbg==,0,0,,0,0,brzlian,Brzlian,Pop_5,ancestry,social,False,0,0,,0,0,False,13148,1531,7.1,0.002,0,True,0,0,0,,,,-13148,1531,True,-0.2,0,True
QnVsZ2FyaWE=,0,0,,0,0,bulgaria,Bulgaria,Fb2,place_of_birth,social,False,0,0,,0,0,False,4089,684,10.2,0.001,0,True,0,0,0,,,,-4089,684,True,-0.1,0,True
QnVsZ3JpYW4=,0,0,,0,0,bulgrian,Bulgrian,Pop_5,ancestry,social,False,0,0,,0,0,False,4057,614,9.2,0,0,True,0,0,0,,,,-4057,614,True,0,0
QnVybWE=,0,0,,0,0,burma,Burma,Fb2,place_of_birth,social,False,0,0,,0,0,False,6545,898,8.3,0.002,0,True,0,0,0,,,,-6545,898,True,-0.2,0,True
QzE4NjREQW1i,0,0,,0,0,c1864damb,C1864DAmb,CNI1864_1,disability_status_of_the_civilian_noninstitutionalized_population,social,False,,0,,0,0,False,229309,3664,1,0.042,0.001,True,,,,,0,0,-229309,3664,True,-4.2,0.1,True
