id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
Q3ZOSVUxOF8y,15547,807,3.15544804527423,1,0,cvniu18_2,CvNIU18_2,CvNIU18_2,health_insurance_coverage,economic,True,,0,,0,0,False,1855028,1721,0.1,1,0,True,,,,,1,0,True,-1839481,1900.8129839623887,True,0,0
Q1dfQ3JwbGQ=,712,180,15.3683275844404,0.0162821011228247,0.00409314396907474,cw_crpld,CW_Crpld,Wrkr16pl,commute_to_work,economic,True,1031,266,15.6840085023836,0.0241006101124383,0.00617558571134034,True,177245,3363,1.2,0.045,0.001,True,-319,321.1790777743781,False,-0.30940834141610085,0.2494531266026084,False,-0.007818508989613601,0.007408892388858397,False,-176533,3367.813682494921,True,-2.8717898877175303,0.4213529108903001,True
Q1dfRHJ2QWxu,3555,407,6.95967407521407,0.0812961650163507,0.0090495898573701,cw_drvaln,CW_DrvAln,Wrkr16pl,commute_to_work,economic,True,4004,445,6.75616177135934,0.0935973257906917,0.010013928840061,True,883066,6519,0.4,0.223,0.002,True,-449,603.0538947722666,False,-0.11213786213786214,0.14166629018122132,False,-0.012301160774341,0.013497179238656544,False,-879511,6531.6927361902135,True,-14.17038349836493,0.926795967765375,True
Q1dfT3Ro,1565,238,9.24478281558018,0.0357886071028379,0.00535771684534893,cw_oth,CW_Oth,Wrkr16pl,commute_to_work,economic,True,1141,247,13.1596823561692,0.0266719652165782,0.00571783084205665,True,112933,2992,1.6,0.029,0.001,True,424,343.0058308542291,False,0.37160385626643294,0.3628650775446617,False,0.0091166418862597,0.007835733490446823,False,-111368,3001.450982441659,True,0.6788607102837894,0.5450241260250384,False
Q1dfUGJUcm5z,30088,1078,2.1780083386605,0.688055981156669,0.0163953086035164,cw_pbtrns,CW_PbTrns,Wrkr16pl,commute_to_work,economic,True,29653,1166,2.39036384064227,0.693167208209636,0.0175506968577452,True,2223087,10073,0.3,0.562,0.002,True,435,1587.9672540704357,False,0.014669679290459649,0.05397662918812006,False,-0.00511122705296696,0.024017350070251426,False,-2192999,10130.51889095519,True,12.605598115666893,1.6516844256834866,True
Q1dfV2xrZA==,3639,412,6.88254814651475,0.0832170870589311,0.00915479841953852,cw_wlkd,CW_Wlkd,Wrkr16pl,commute_to_work,economic,True,3609,437,7.36086160822193,0.0843638233712803,0.00989496768333393,True,392607,5774,0.9,0.099,0.001,True,30,600.5938727626182,False,0.00831255195344971,0.16714938664790402,False,-0.0011467363123491975,0.01348038276743683,False,-388968,5788.680333202033,True,-1.57829129410689,0.9209252635387142,False
Q1dfV3JrZEht,4170,487,7.09948758318573,0.0953600585423861,0.0108405705578528,cw_wrkdhm,CW_WrkdHm,Wrkr16pl,commute_to_work,economic,True,3341,417,7.58741217388456,0.0780990672993759,0.00946036316125224,True,164594,3729,1.4,0.042,0.001,True,829,641.1380506567989,False,0.24812930260401078,0.2133438580421574,False,0.017260991243010212,0.014388065928489605,False,-160424,3760.6661643916227,True,5.33600585423861,1.0886595887594293,True
RTEwdDEycHQ1,830,183,13.4031566997473,0,0,e10t12pt5,E10t12pt5,MdEWrk,economic__special_variable,economic,True,1298,0,,0,0,False,169608,0,,0,0,False,-468,183,False,-0.3605546995377504,0.14098613251155623,False,0,0,-168778,183,True,0,0
RTEycHQ1dDE1,642,153,14.4874016419055,0,0,e12pt5t15,E12pt5t15,MdEWrk,economic__special_variable,economic,True,781,0,,0,0,False,144620,0,,0,0,False,-139,153,False,-0.17797695262483995,0.19590268886043533,False,0,0,-143978,153,True,0,0
RTE1dDE3cHQ1,700,158,13.7212331741207,0,0,e15t17pt5,E15t17pt5,MdEWrk,economic__special_variable,economic,True,1147,0,,0,0,False,173274,0,,0,0,False,-447,158,False,-0.3897122929380994,0.13775065387968613,False,0,0,-172574,158,True,0,0
RTE3cHQ1dDIw,668,174,15.8345922137488,0,0,e17pt5t20,E17pt5t20,MdEWrk,economic__special_variable,economic,True,570,0,,0,0,False,126285,0,,0,0,False,98,174,False,0.17192982456140352,0.30526315789473685,False,0,0,-125617,174,True,0,0
RTIwdDIycHQ1,1115,220,11.9944934371039,0,0,e20t22pt5,E20t22pt5,MdEWrk,economic__special_variable,economic,True,1677,0,,0,0,False,196961,0,,0,0,False,-562,220,False,-0.3351222420989863,0.13118664281454978,False,0,0,-195846,220,True,0,0
RTIycHQ1dDI1,342,135,23.9961606143017,0,0,e22pt5t25,E22pt5t25,MdEWrk,economic__special_variable,economic,False,533,0,,0,0,False,107043,0,,0,0,False,-191,135,False,-0.35834896810506567,0.25328330206378985,False,0,0,-106701,135,True,0,0
RTdwdDV0MTA=,794,197,15.0827253029943,0,0,e7pt5t10,E7pt5t10,MdEWrk,economic__special_variable,economic,True,562,0,,0,0,False,118902,0,,0,0,False,232,197,False,0.4128113879003559,0.3505338078291815,False,0,0,-118108,197,True,0,0
RWRIbHRoQ1NB,10225,666,3.95954251231783,0.230220200837574,0.0137026471841512,edhlthcsa,EdHlthCSA,CvEm16pl3,industry,economic,True,,0,,0,0,False,1080586,7811,0.4,0.267,0.002,True,,,,,0.230220200837574,0.0137026471841512,True,-1070361,7839.341617763574,True,-3.6779799162426023,1.384783520458439,False
RW1ISW5z,40549,1132,1.6970724226406,0.965636311678415,0.00647180570511555,emhins,EmHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3395066,12000,0.2,0.887,0.002,True,,,,,0.965636311678415,0.00647180570511555,True,-3354517,12053.274409885473,True,7.863631167841504,0.6773792813835258,True
RW1OSElucw==,1443,254,10.7004362323511,0.0343636883215851,0.00597665204829914,emnhins,EmNHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,430477,6778,1,0.113,0.002,True,,,,,0.0343636883215851,0.00597665204829914,True,-429034,6782.757551320849,True,-7.86363116784149,0.6302409833265232,True
RW1QYkhJbnM=,1912,310,9.85616359959812,0.0455324823775957,0.00727850182428211,empbhins,EmPbHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,709097,5839,0.5,0.185,0.001,True,,,,,0.0455324823775957,0.00727850182428211,True,-707185,5847.2233581418795,True,-13.946751762240432,0.7346876125679404,True
RW1QdkhJbnM=,39112,1119,1.73921855464876,0.931415507715755,0.00854208700182509,empvhins,EmPvHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,2778950,11243,0.2,0.726,0.002,True,,,,,0.931415507715755,0.00854208700182509,True,-2739838,11298.549021887722,True,20.5415507715755,0.8773098104247391,True
RXJuMTAwcGw=,15702,727,2.81457959975672,0,0,ern100pl,Ern100pl,MdEWrk,economic__special_variable,economic,True,9774,0,,0,0,False,640046,0,,0,0,False,5928,727,True,0.6065070595457336,0.07438101084509925,True,0,0,-624344,727,True,0,0
RXJuMjV0MzA=,1521,247,9.87192476554179,0,0,ern25t30,Ern25t30,MdEWrk,economic__special_variable,economic,True,1871,0,,0,0,False,262316,0,,0,0,False,-350,247,False,-0.18706574024585784,0.13201496525921966,False,0,0,-260795,247,True,0,0
RXJuMnB0NXQ1,753,168,13.5627701958125,0,0,ern2pt5t5,Ern2pt5t5,MdEWrk,economic__special_variable,economic,True,1132,0,,0,0,False,128242,0,,0,0,False,-379,168,False,-0.33480565371024734,0.14840989399293286,False,0,0,-127489,168,True,0,0
RXJuMzB0MzU=,1646,266,9.82394457227062,0,0,ern30t35,Ern30t35,MdEWrk,economic__special_variable,economic,True,2706,0,,0,0,False,257513,0,,0,0,False,-1060,266,True,-0.3917220990391722,0.09830007390983,True,0,0,-255867,266,True,0,0
RXJuMzV0NDA=,1398,247,10.7404846698062,0,0,ern35t40,Ern35t40,MdEWrk,economic__special_variable,economic,True,2201,0,,0,0,False,217597,0,,0,0,False,-803,247,True,-0.3648341662880509,0.1122217174011813,True,0,0,-216199,247,True,0,0
RXJuNDB0NDU=,1760,271,9.3603205305333,0,0,ern40t45,Ern40t45,MdEWrk,economic__special_variable,economic,True,2346,0,,0,0,False,235829,0,,0,0,False,-586,271,False,-0.24978687127024723,0.11551577152600172,False,0,0,-234069,271,True,0,0
