id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percent_significant,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
QUlBTk5I,69,113,99.555085679045,0.00158945889290733,0.0026023062451371,aiannh,AIANNH,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,False,250,212.002358477447,51.5507254656406,0.00598644668470583,0.00507202369671409,False,15017,875,3.5,0.002,0.001,True,-181,240.23738260312433,False,-0.724,0.5090026376356019,False,-0.0043969877917985,0.005700651030672621,False,-14948,882.2663996775577,True,0,0.27878303021309514
QXNuMVJj,10704,1141.32642131863,6.48183346122141,1,0,asn1rc,Asn1Rc,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,1177700,3785,0.2,1,0,True,,,,,1,0,True,-1166996,3953.334162450727,True,0,0
QXNuMnBs,109,75.0266619276108,41.8430394733057,0.0101831091180867,0.00692460801994364,asn2pl,Asn2pl,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,17175,1660,5.9,0.015,0.001,True,,,,,0.0101831091180867,0.00692460801994364,False,-17066,1661.6946169498174,True,-0.48168908819133005,0.6996441683446506,False
QXNuQmh1dG4=,0,0,,0,0,asnbhutn,AsnBhutn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,100,90,54.7,0,0,False,,,,,0,0,-100,90,False,0,0
QXNuQm5n,167,161,58.606191871576,0.015601644245142,0.014948829280322,asnbng,AsnBng,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,65991,3237,3,0.056,0.003,True,,,,,0.015601644245142,0.014948829280322,False,-65824,3241.0013884600544,True,-4.0398355754858,1.5246884824521119,False
QXNuQnVybQ==,0,0,,0,0,asnburm,AsnBurm,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,4509,620,8.4,0.004,0.001,True,,,,,0,0,-4509,620,True,-0.4,0.1,True
QXNuQ2hpTm9U,6305,906.814755063017,8.74314306504479,0.589032137518685,0.0568542876201713,asnchinot,AsnChiNoT,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,565173,5911,0.6,0.48,0.005,True,,,,,0.589032137518685,0.0568542876201713,True,-558868,5980.153342515558,True,10.903213751868499,5.707372443425402,False
QXNuQ21i,0,0,,0,0,asncmb,AsnCmb,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,2700,1036,23.3,0.002,0.001,False,,,,,0,0,-2700,1036,False,-0.2,0.1,False
QXNuRWFzdA==,6924,953.952304887409,8.37536417875544,0.646860986547085,0.0564392831190487,asneast,AsnEast,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,686453,6802,0.6,0.583,0.005,True,,,,,0.646860986547085,0.0564392831190487,True,-679529,6868.568191406415,True,6.386098654708505,5.666032720512771,False
QXNuRmxw,1445,588.592388669782,24.7617247891706,0.134996263079223,0.0530706855943712,asnflp,AsnFlp,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,71450,2932,2.5,0.061,0.002,True,,,,,0.134996263079223,0.0530706855943712,False,-70005,2990.4957782949637,True,7.399626307922301,5.310835781170981,False
QXNuSG1uZw==,0,0,,0,0,asnhmng,AsnHmng,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,60,59,59.8,0,0,False,,,,,0,0,-60,59,False,0,0
QXNuSW5k,1428,422.995271841187,18.0070016023936,0.133408071748879,0.036868520271031,asnind,AsnInd,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,228887,4990,1.3,0.194,0.004,True,,,,,0.133408071748879,0.036868520271031,True,-227459,5007.896264900063,True,-6.0591928251121026,3.708487275123677,False
QXNuSW5kbnNu,0,0,,0,0,asnindnsn,AsnIndnsn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,3778,675,10.9,0.003,0.001,True,,,,,0,0,-3778,675,True,-0.3,0.1,False
QXNuSnBu,22,31,85.6590218292346,0.00205530642750374,0.00288781016066212,asnjpn,AsnJpn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,25224,1431,3.4,0.021,0.001,True,,,,,0.00205530642750374,0.00288781016066212,False,-25202,1431.335739789935,True,-1.894469357249626,0.30560509688196263,True
QXNuS29y,375,220.43819995636,35.7346626069073,0.0350336322869955,0.0202523814711779,asnkor,AsnKor,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,85212,2865,2,0.072,0.002,True,,,,,0.0350336322869955,0.0202523814711779,False,-84837,2873.4679396158226,True,-3.6966367713004495,2.0350895686777766,False
QXNuTGFv,0,0,,0,0,asnlao,AsnLao,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,538,173,19.5,0,0,True,,,,,0,0,-538,173,True,0,0
QXNuTWFsc24=,14,23,99.8697351280938,0.00130792227204783,0.00214419903431335,asnmalsn,AsnMalsn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,1750,544,18.9,0.001,0,True,,,,,0.00130792227204783,0.00214419903431335,False,-1736,544.4859961468247,True,0.030792227204783,0.21441990343133502,False
QXNuTWdvbA==,0,0,,0,0,asnmgol,AsnMgol,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,644,287,27.1,0.001,0,False,,,,,0,0,-644,287,False,-0.1,0,True
QXNuTmVwYWw=,100,95,57.7507598784195,0.0093423019431988,0.0088191076097752,asnnepal,AsnNepal,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,8478,1242,8.9,0.007,0.001,True,,,,,0.0093423019431988,0.0088191076097752,False,-8378,1245.6279540858097,True,0.2342301943198799,0.8875621613881185,False
QXNuTkg=,10453,1074.06703701398,6.24632440426773,0.240791504457396,0.0229361777630092,asnnh,AsnNH,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,True,8533,939.762203964386,6.69499606900288,0.204329398242379,0.0212774311333783,True,1167421,3568,0.2,0.138,0.001,True,1920,1427.1555626490024,False,0.22500878940583616,0.18451409730079607,False,0.036462106215017,0.03128573678231046,False,-1156968,3726.1567331501224,True,10.2791504457396,2.2957967034917477,True
QXNuT0Fzbg==,32,37,70.2887537993921,0.00298953662182362,0.0034419226278891,asnoasn,AsnOAsn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,10707,1286,7.3,0.009,0.001,True,,,,,0.00298953662182362,0.0034419226278891,False,-10675,1286.53216049969,True,-0.6010463378176378,0.3584247672298192,False
QXNuT2tpbnc=,0,0,,0,0,asnokinw,AsnOkinw,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,0,0,,0,0,False,,,,,0,0,0,0,0,0
QXNuUGFr,441,244,33.6345277726085,0.0411995515695067,0.0223679211511466,asnpak,AsnPak,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,48973,3097,3.8,0.042,0.003,True,,,,,0.0411995515695067,0.0223679211511466,False,-48532,3106.5970128099975,True,-0.0800448430493299,2.2568205436496527,False
QXNuU0Vhc3Q=,1503,590.478619426648,23.8824729235207,0.140414798206278,0.0530937094947552,asnseast,AsnSEast,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,106360,3653,2.1,0.09,0.003,True,,,,,0.140414798206278,0.0530937094947552,False,-104857,3700.415382088881,True,5.041479820627799,5.3178397756170295,False
QXNuU291dGg=,2136,521.943483530545,14.8544415471507,0.199551569506726,0.0438743536759248,asnsouth,AsnSouth,Asn1Rc,asian_subgroup,demographic,True,,0,,0,0,False,357005,6872,1.2,0.303,0.006,True,,,,,0.199551569506726,0.0438743536759248,True,-354869,6891.792872685597,True,-10.344843049327402,4.428271570805178,False
QXNuU3JpTA==,0,0,,0,0,asnsril,AsnSriL,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,4576,837,11.1,0.004,0.001,True,,,,,0,0,-4576,837,True,-0.4,0.1,True
QXNuVGhhaQ==,11,17,93.9486045869025,0.00102765321375187,0.0015844068553549,asnthai,AsnThai,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,7346,955,7.9,0.006,0.001,True,,,,,0.00102765321375187,0.0015844068553549,False,-7335,955.1512969158342,True,-0.49723467862481296,0.18735914931744335,False
QXNuVHdu,222,196.596032513375,53.833903588098,0.0207399103139013,0.0182329768679642,asntwn,AsnTwn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,10200,996,5.9,0.009,0.001,True,,,,,0.0207399103139013,0.0182329768679642,False,-9978,1015.2172181360992,True,1.17399103139013,1.826037911620998,False
QXNuVnRu,33,41,75.5273095698628,0.00308295964125561,0.00381621200074811,asnvtn,AsnVtn,Asn1Rc,asian_subgroup,demographic,False,,0,,0,0,False,14229,1262,5.4,0.012,0.001,True,,,,,0.00308295964125561,0.00381621200074811,False,-14196,1262.665830693141,True,-0.891704035874439,0.394505691145944,False
QmxOSA==,2623,459.570451617595,10.6509391811644,0.0604224735666075,0.0103273001744933,blnh,BlNH,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,True,3769,634.971652910585,10.2414700135014,0.090251670218625,0.0148565728107155,True,1853055,3317,0.1,0.219,0.001,True,-1146,783.8328903535503,False,-0.3040594322101353,0.16915894781677177,False,-0.029829196652017498,0.018093393395772404,False,-1850432,3348.685413710879,True,-15.857752643339248,1.0375602579806598,True
RmVt,22568,1036.65278661662,2.79237887634054,0.519868236161342,0.0129987288587568,fem,Fem,Pop_1,sex_and_age,demographic,True,21561,1024.18211271238,2.88763558291287,0.516295107875769,0.0160871597690221,True,4418616,268,0,0.523,0,True,1007,1457.2570123351604,False,0.046704698297852607,0.06916487292032346,False,0.0035731282855729907,0.020682448147584465,False,-4396048,1070.7347944285752,True,-0.3131763838658017,1.2998728858756798,False
RlBvcDB0NQ==,2025,406.636201044619,12.207173283639,0.0466471631614107,0.00919304903898122,fpop0t5,FPop0t5,Pop,poppyramid_only,demographic,True,1668,307.832746796048,11.2189669588116,0.0399415722803573,0.0072308493489758,True,269674,178,0,0.032,0,True,357,510.0137253055055,False,0.21402877697841727,0.3311057257335672,False,0.006705590881053401,0.011696039198835531,False,-267649,443.8884995131095,True,1.46471631614107,0.9193049038981219,False
RlBvcDEwdDE0,1289,304.711338811013,14.3704310643963,0.0296929349703992,0.00692534058230805,fpop10t14,FPop10t14,Pop,poppyramid_only,demographic,True,1184,284.622557082182,14.6134147848816,0.0283518114987668,0.00673927669924468,True,227093,2312,0.6,0.027,0,True,105,416.96402722537096,False,0.08868243243243243,0.3670484475995336,False,0.0013411234716323994,0.009663239240024282,False,-225804,2331.9933533352964,True,0.26929349703991967,0.692534058230805,False
RlBvcDE1dDE5,1193,264.801812682617,13.4931891292223,0.0274815139020064,0.00600725780568063,fpop15t19,FPop15t19,Pop,poppyramid_only,demographic,True,1065,230.312830732463,13.1462722851984,0.0255022628768468,0.00543869500729522,True,226700,355,0.1,0.027,0,True,128,350.9472894894616,False,0.12018779342723004,0.34713947586321864,False,0.001979251025159598,0.008103489971999028,False,-225507,442.8826029547783,True,0.04815139020063963,0.600725780568063,False
RlBvcDIwdDI0,1622,310.306300290535,11.6298427132451,0.0373638018013867,0.00700160853283605,fpop20t24,FPop20t24,Pop,poppyramid_only,demographic,True,1640,336.667491748164,12.4793347078421,0.0392710902516702,0.00793785463815582,True,293909,3345,0.7,0.035,0,True,-18,457.8591486472666,False,-0.01097560975609756,0.27752986519889333,False,-0.001907288450283498,0.010584519748367162,False,-292287,3359.362290673633,True,0.2363801801386698,0.700160853283605,False
