id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
Q3ZOSVUxOF8y,10976,1018.98822368073,5.64363819862693,1,0,cvniu18_2,CvNIU18_2,CvNIU18_2,health_insurance_coverage,economic,True,,0,,0,0,False,1855028,1721,0.1,1,0,True,,,,,1,0,True,-1844052,2000.0444995049509,True,0,0
Q1dfQ3JwbGQ=,1209,292.526921837974,14.7086779165365,0.0647112348123963,0.0153304031000863,cw_crpld,CW_Crpld,Wrkr16pl,commute_to_work,economic,True,1268,277.346353861016,13.2964989913521,0.0687002221379422,0.0146884832574095,True,177245,3363,1.2,0.045,0.001,True,-59,403.1042048900012,False,-0.04652996845425868,0.3109909288455006,False,-0.003988987325545909,0.021231410683568222,False,-176036,3375.6985943653203,True,1.9711234812396299,1.5362983408541961,False
Q1dfRHJ2QWxu,7552,686.680420574229,5.5274749221948,0.404217738050634,0.030911559242069,cw_drvaln,CW_DrvAln,Wrkr16pl,commute_to_work,economic,True,7529,567.923410329245,4.58549866820327,0.40792111394051,0.0243423443377153,True,883066,6519,0.4,0.223,0.002,True,23,891.104370991412,False,0.003054854562358879,0.11850326515165764,False,-0.003703375889876015,0.039345574371609335,False,-875514,6555.066056112631,True,18.121773805063395,3.0976192386669172,True
Q1dfT3Ro,159,79,30.2039723958632,0.00851041053364021,0.00420766928965783,cw_oth,CW_Oth,Wrkr16pl,commute_to_work,economic,False,114,66.573267908373,35.5000628744057,0.00617651839410522,0.00359566276009841,False,112933,2992,1.6,0.029,0.001,True,45,103.31021246711289,False,0.39473684210526316,1.0694032692359,False,0.00233389213953499,0.005534733194607319,False,-112774,2993.042766149525,True,-2.048958946635979,0.4324867726431598,True
Q1dfUGJUcm5z,7710,653.209001775083,5.15029233557715,0.412674623989723,0.028466196532333,cw_pbtrns,CW_PbTrns,Wrkr16pl,commute_to_work,economic,True,7905,678.946978784058,5.22117300069063,0.428292788643875,0.0310265507135389,True,2223087,10073,0.3,0.562,0.002,True,-195,942.1523231410092,False,-0.024667931688804556,0.11766672617844433,False,-0.015618164654152,0.042106664486720013,False,-2215377,10094.15727042134,True,-14.932537601027704,2.8536368812752038,True
Q1dfV2xrZA==,1528,340.471731572535,13.5453990186244,0.0817855804742279,0.0177740028750017,cw_wlkd,CW_Wlkd,Wrkr16pl,commute_to_work,economic,True,781,216.270663752623,16.8337423965552,0.0423145689982121,0.0115537411544569,True,392607,5774,0.9,0.099,0.001,True,747,403.35344302484947,False,0.9564660691421255,0.695389563238652,False,0.0394710114760158,0.021199153588404414,False,-391079,5784.02947779487,True,-1.7214419525772104,1.7802111621955656,False
Q1dfV3JrZEht,525,139.60659010233,16.1651862906157,0.028100412139378,0.00734342623592535,cw_wrkdhm,CW_WrkdHm,Wrkr16pl,commute_to_work,economic,True,860,223.163617106373,15.7746248042958,0.0465947878853551,0.0118983326437418,True,164594,3729,1.4,0.042,0.001,True,-335,263.2337364396894,False,-0.38953488372093026,0.22681750369008888,False,-0.0184943757459771,0.01398199658788431,False,-164069,3731.6123860872794,True,-1.3899587860622002,0.7411201581557255,False
RTEwdDEycHQ1,956,221,14.0529816484593,0,0,e10t12pt5,E10t12pt5,MdEWrk,economic__special_variable,economic,True,698,0,,0,0,False,169608,0,,0,0,False,258,221,False,0.36962750716332377,0.3166189111747851,False,0,0,-168652,221,True,0,0
RTEycHQ1dDE1,727,189,15.8037987649624,0,0,e12pt5t15,E12pt5t15,MdEWrk,economic__special_variable,economic,True,501,0,,0,0,False,144620,0,,0,0,False,226,189,False,0.45109780439121755,0.37724550898203596,False,0,0,-143893,189,True,0,0
RTE1dDE3cHQ1,385,113,17.8423400307899,0,0,e15t17pt5,E15t17pt5,MdEWrk,economic__special_variable,economic,True,789,0,,0,0,False,173274,0,,0,0,False,-404,113,True,-0.5120405576679341,0.14321926489226866,True,0,0,-172889,113,True,0,0
RTE3cHQ1dDIw,575,164,17.3384432403859,0,0,e17pt5t20,E17pt5t20,MdEWrk,economic__special_variable,economic,True,620,0,,0,0,False,126285,0,,0,0,False,-45,164,False,-0.07258064516129033,0.2645161290322581,False,0,0,-125710,164,True,0,0
RTIwdDIycHQ1,1138,228,12.1794221184716,0,0,e20t22pt5,E20t22pt5,MdEWrk,economic__special_variable,economic,True,1084,0,,0,0,False,196961,0,,0,0,False,54,228,False,0.04981549815498155,0.21033210332103325,False,0,0,-195823,228,True,0,0
RTIycHQ1dDI1,511,162,19.2720632409186,0,0,e22pt5t25,E22pt5t25,MdEWrk,economic__special_variable,economic,True,614,0,,0,0,False,107043,0,,0,0,False,-103,162,False,-0.16775244299674266,0.26384364820846906,False,0,0,-106532,162,True,0,0
RTdwdDV0MTA=,556,174,19.0242942424176,0,0,e7pt5t10,E7pt5t10,MdEWrk,economic__special_variable,economic,True,630,0,,0,0,False,118902,0,,0,0,False,-74,174,False,-0.11746031746031746,0.2761904761904762,False,0,0,-118346,174,True,0,0
RWRIbHRoQ1NB,6976,629.642755854461,5.48683419883771,0.356810393330264,0.0275152692367486,edhlthcsa,EdHlthCSA,CvEm16pl3,industry,economic,True,,0,,0,0,False,1080586,7811,0.4,0.267,0.002,True,,,,,0.356810393330264,0.0275152692367486,True,-1073610,7836.336580316085,True,8.981039333026395,2.7587860394941175,True
RW1ISW5z,16855,937.018676441404,3.37950885008427,0.945422930222123,0.0147414688530423,emhins,EmHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3395066,12000,0.2,0.887,0.002,True,,,,,0.945422930222123,0.0147414688530423,True,-3378211,12036.52790467417,True,5.842293022212289,1.4876521903496673,True
RW1OSElucw==,973,255.890601624991,15.9873172386966,0.0545770697778775,0.0140547359152069,emnhins,EmNHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,430477,6778,1,0.113,0.002,True,,,,,0.0545770697778775,0.0140547359152069,True,-429504,6782.828613491572,True,-5.842293022212251,1.419632352569519,True
RW1QYkhJbnM=,3330,519.242717811237,9.47895100835615,0.186784832847207,0.0273665757982814,empbhins,EmPbHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,709097,5839,0.5,0.185,0.001,True,,,,,0.186784832847207,0.0273665757982814,True,-705767,5862.041794460357,True,0.17848328472070207,2.738484016610433,False
RW1QdkhJbnM=,13996,894.145402045998,3.88363415185927,0.785057213372223,0.0275771401424214,empvhins,EmPvHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,2778950,11243,0.2,0.726,0.002,True,,,,,0.785057213372223,0.0275771401424214,True,-2764954,11278.499235270621,True,5.905721337222303,2.76495688652599,False
