id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QWdGRkhN,0,0,,0,0,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0,0,-3870,470,True,-0.1,0.1,False
QWdISEluYw==,1097423400,64328506,3.6,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,973651200,55756495,,0,0,False,307989432000,2361252362,0.5,0,0,True,123772200,85128981.07505493,False,0.1271217043639447,0.09236461311640393,False,0,0,-306892008600,2362128462.5808926,True,0,0
QWdJUDE1cGw=,1128650500,65167192,3.5,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,996568600,57195066,,0,0,False,318266008500,2111708243,0.4,0,0,True,132081900,86706623.09137186,False,0.13253668638566377,0.09220015916259156,False,0,0,-317137358000,2112713531.567238,True,0,0
QWdUVG0=,656900,43757,4,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,608685,39299,,0,0,False,156042185,593582,0.2,0,0,True,48215,58813.99875879891,False,0.07921174334836574,0.10011428914826807,False,0,0,-155385285,595192.6291319475,True,0,0
QXJ0RW5SQUZT,1754,324,11.2,0.103,0.018,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,True,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.103,0.018,True,-439241,5442.652386474815,True,-0.6000000000000014,1.8027756377319943,False
Q05JMTg2NF8y,22292,1064,2.9,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5347585,2204.735131484052,True,,
Q29uc3RjdG4=,879,294,20.3,0.052,0.017,constctn,Constctn,CvEm16pl3,industry,economic,False,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.052,0.017,True,-205188,3751.5378180154335,True,0.10000000000000053,1.7029386365926402,False
Q3ZFbTE2cGwx,16999,848,3,0.577,0.019,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,16588,809,3,0.585,0.02,True,4053141,9894,0.1,0.591,0.001,True,411,1172.0004266210829,False,0.024776947190740296,0.07149296604342255,False,-0.008000000000000007,0.02758622844826744,False,-4036142,9930.273913644074,True,-1.3999999999999986,1.9026297590440446,False
Q3ZFbTE2cGwy,16999,848,3,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,16588,809,3,1,0,True,4053141,9894,0.1,1,0,True,411,1172.0004266210829,False,0.024776947190740296,0.07149296604342255,False,0,0,-4036142,9930.273913644074,True,0,0
Q3ZFbTE2cGwz,16999,848,3,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-4036142,9930.273913644074,True,0,0
Q3ZFbTE2cGw0,16999,848,3,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,16588,809,3,1,0,True,4053141,9894,0.1,1,0,True,411,1172.0004266210829,False,0.024776947190740296,0.07149296604342255,False,0,0,-4036142,9930.273913644074,True,0,0
Q3ZMRjE=,18150,895,3,0.616,0.019,cvlf1,CvLF1,Pop16pl,employment_status,economic,True,18099,836,2.8,0.638,0.019,True,4354474,10392,0.1,0.635,0.002,True,51,1224.712619351985,False,0.0028178352395159954,0.06775633222762442,False,-0.02200000000000002,0.026870057685088804,False,-4336324,10430.469260776334,True,-1.8999999999999986,1.91049731745428,False
Q3ZMRjE4dDY0,16544,925,3.4,,,cvlf18t64,CvLF18t64,NA,health_insurance_coverage,economic,True,,0,,,,False,4102491,9890,0.1,,,True,,,,,,,-4085947,9933.162890036587,True,,
Q3ZMRjI=,18150,895,3,1,0,cvlf2,CvLF2,CvLF2,employment_status,economic,True,18099,836,2.8,1,0,True,4354474,10392,0.1,1,0,True,51,1224.712619351985,False,0.0028178352395159954,0.06775633222762442,False,0,0,-4336324,10430.469260776334,True,0,0
Q3ZMRkVt,15436,885,3.5,1,0,cvlfem,CvLFEm,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3825543,9546,0.2,1,0,True,,,,,1,0,True,-3810107,9586.935954725055,True,0,0
Q3ZMRlVFbTE=,1151,248,13.1,0.039,0.008,cvlfuem1,CvLFUEm1,Pop16pl,employment_status,economic,True,1511,264,10.6,0.053,0.009,True,301333,4545,0.9,0.044,0.001,True,-360,362.2154055254967,False,-0.23825281270681667,0.21130998798619943,False,-0.013999999999999999,0.012041594578792296,False,-300182,4551.761087754936,True,-0.49999999999999956,0.806225774829855,False
Q3ZMRlVFbTI=,1151,248,13.1,0.063,0.013,cvlfuem2,CvLFUEm2,CvLF2,employment_status,economic,True,1511,264,10.6,0.083,0.014,True,301333,4545,0.9,0.069,0.001,True,-360,362.2154055254967,False,-0.23825281270681667,0.21130998798619943,False,-0.020000000000000004,0.0191049731745428,False,-300182,4551.761087754936,True,-0.6000000000000005,1.3038404810405297,False
Q3ZOSVBvcDI=,37393,1512,2.5,1,0,cvnipop2,CvNIPop2,CvNIPop2,health_insurance_coverage,economic,True,,0,,0,0,False,8379895,1861,0,1,0,True,,,,,1,0,True,-8342502,2397.8042038498475,True,0,0
Q3ZOSVUxOF8y,9505,921,5.9,1,0,cvniu18_2,CvNIU18_2,CvNIU18_2,health_insurance_coverage,economic,True,,0,,0,0,False,1855028,1721,0.1,1,0,True,,,,,1,0,True,-1845523,1951.9431344175987,True,0,0
Q1dfQ3JwbGQ=,1027,264,15.6,0.063,0.016,cw_crpld,CW_Crpld,Wrkr16pl,commute_to_work,economic,True,1046,240,14,0.065,0.015,True,177245,3363,1.2,0.045,0.001,True,-19,356.78564993564413,False,-0.018164435946462717,0.33830579291795304,False,-0.0020000000000000018,0.021931712199461308,False,-176218,3373.3462615035533,True,1.7999999999999998,1.6031219541881399,False
Q1dfRHJ2QWxu,6591,643,5.9,0.406,0.033,cw_drvaln,CW_DrvAln,Wrkr16pl,commute_to_work,economic,True,6628,524,4.8,0.414,0.026,True,883066,6519,0.4,0.223,0.002,True,-37,829.4727240844029,False,-0.005582377791188896,0.12486842565753728,False,-0.007999999999999952,0.04201190307520001,False,-876475,6550.63432043035,True,18.3,3.306055050963308,True
Q1dfT3Ro,159,79,30.4,0.01,0.005,cw_oth,CW_Oth,Wrkr16pl,commute_to_work,economic,False,82,56,41.5,0.005,0.003,False,112933,2992,1.6,0.029,0.001,True,77,96.83491106000976,False,0.9390243902439024,1.6375910943039158,False,0.005,0.0058309518948453,False,-112774,2993.042766149525,True,-1.9000000000000004,0.5099019513592785,True
Q1dfUGJUcm5z,6722,611,5.5,0.414,0.031,cw_pbtrns,CW_PbTrns,Wrkr16pl,commute_to_work,economic,True,6881,645,5.7,0.429,0.034,True,2223087,10073,0.3,0.562,0.002,True,-159,888.4514618143188,False,-0.023107106525214357,0.12755285744219427,False,-0.015000000000000013,0.04601086828130936,False,-2216365,10091.513761572145,True,-14.800000000000004,3.1064449134018135,True
Q1dfV2xrZA==,1210,289,14.5,0.075,0.017,cw_wlkd,CW_Wlkd,Wrkr16pl,commute_to_work,economic,True,673,198,17.9,0.042,0.012,True,392607,5774,0.9,0.099,0.001,True,537,350.3212811120672,False,0.7979197622585439,0.6813204530630534,False,0.032999999999999995,0.020808652046684813,False,-391397,5781.227983741863,True,-2.4000000000000004,1.7029386365926402,False
Q1dfV3JrZEht,518,139,16.3,0.032,0.008,cw_wrkdhm,CW_WrkdHm,Wrkr16pl,commute_to_work,economic,True,713,199,16.9,0.044,0.012,True,164594,3729,1.4,0.042,0.001,True,-195,242.7385424690525,False,-0.27349228611500703,0.28128552238789867,False,-0.011999999999999997,0.014422205101855958,False,-164076,3731.589741651673,True,-1,0.806225774829855,False
RTEwdDEycHQ1,884,221,15.2,0.024,0.005,e10t12pt5,E10t12pt5,MdEWrk,economic__special_variable,economic,True,667,0,,0,0,False,169608,0,,0,0,False,217,221,False,0.32533733133433285,0.33133433283358327,False,0.024,0.005,True,-168724,221,True,2.4,0.5,True
RTEycHQ1dDE1,644,189,17.8,0.017,0.005,e12pt5t15,E12pt5t15,MdEWrk,economic__special_variable,economic,True,418,0,,0,0,False,144620,0,,0,0,False,226,189,False,0.5406698564593302,0.4521531100478469,False,0.017,0.005,True,-143976,189,True,1.7000000000000002,0.5,True
RTE1dDE3cHQ1,324,113,21.3,0.009,0.003,e15t17pt5,E15t17pt5,MdEWrk,economic__special_variable,economic,False,626,0,,0,0,False,173274,0,,0,0,False,-302,113,False,-0.48242811501597443,0.18051118210862618,False,0.009,0.003,False,-172950,113,True,0.8999999999999999,0.3,False
RTE3cHQ1dDIw,497,164,20,0.013,0.004,e17pt5t20,E17pt5t20,MdEWrk,economic__special_variable,economic,False,488,0,,0,0,False,126285,0,,0,0,False,9,164,False,0.018442622950819672,0.3360655737704918,False,0.013,0.004,True,-125788,164,True,1.3,0.4,True
