id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QWdGRkhN,0,0,,0,0,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0,0,-3870,470,True,-0.1,0.1,False
QWdISEluYw==,1539868400,137094019,5.41213971137607,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,1254931600,78715637,3.81307244664409,0,0,True,307989432000,2361252362,0.5,0,0,True,284936800,158085171.8343252,False,0.22705364977660933,0.13363463823044225,False,0,0,-306449563600,2365228844.5510197,True,0,0
QWdJUDE1cGw=,1588155400,134452365,5.14647121347963,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,1337372100,84689001,3.84954010779343,0,0,True,318266008500,2111708243,0.4,0,0,True,250783300,158901432.7955265,False,0.1875194644781359,0.12554765620300096,False,0,0,-316677853100,2115984201.7388127,True,0,0
QWdUVG0=,387225,38371,6.02384553328463,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,365190,32118,5.34642790349962,0,0,True,156042185,593582,0.2,0,0,True,22035,50038.98045524109,False,0.060338453955475234,0.14048686834493324,False,0,0,-155654960,594820.9178946215,True,0,0
QXJ0RW5SQUZT,1145,420,22.2986156276131,0.0836438015925195,0.0300482034893082,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,False,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.0836438015925195,0.0300482034893082,False,-439850,5449.2099427348185,True,-2.5356198407480512,3.006483881438371,False
Q05JMTg2NF8y,15705,1099,4.25396438320903,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5354172,2221.837527813409,True,,
Q29uc3RjdG4=,266,226,51.648879036497,0.0194316604573015,0.0164466163361615,constctn,Constctn,CvEm16pl3,industry,economic,False,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.0194316604573015,0.0164466163361615,False,-205801,3746.822120143949,True,-3.1568339542698496,1.6476989679819984,False
Q3ZFbTE2cGwx,13689,1015,4.50742403824782,0.703334532189282,0.0362676251151407,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,12455,820,4.00225004545238,0.6291357276355,0.0310120071544687,True,4053141,9894,0.1,0.591,0.001,True,1234,1304.846734294875,False,0.0990766760337214,0.10898224259692722,False,0.07419880455378203,0.047718814101370986,False,-4039452,9945.926854748128,True,11.233453218928204,3.628140889618793,True
Q3ZFbTE2cGwy,13689,1015,4.50742403824782,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,12455,820,4.00225004545238,1,0,True,4053141,9894,0.1,1,0,True,1234,1304.846734294875,False,0.0990766760337214,0.10898224259692722,False,0,0,-4039452,9945.926854748128,True,0,0
Q3ZFbTE2cGwz,13689,1015,4.50742403824782,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-4039452,9945.926854748128,True,0,0
Q3ZFbTE2cGw0,13689,1015,4.50742403824782,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,12455,820,4.00225004545238,1,0,True,4053141,9894,0.1,1,0,True,1234,1304.846734294875,False,0.0990766760337214,0.10898224259692722,False,0,0,-4039452,9945.926854748128,True,0,0
