id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
QWdGRkhN,17,17,61.5,0.001,0.001,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0.001,0.001,False,-3853,470.3073463172779,True,0,0.14142135623730953
QWdISEluYw==,1427356100,56647931,2.4,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,1154270200,48461967,,0,0,False,307989432000,2361252362,0.5,0,0,True,273085900,74548979.41682267,True,0.23658749918346675,0.07144242652228151,True,0,0,-306562075900,2361931774.022518,True,0,0
QWdJUDE1cGw=,1483063300,61075261,2.5,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,1190504900,50013655,,0,0,False,318266008500,2111708243,0.4,0,0,True,292558400,78940187.43756026,True,0.24574312965868514,0.07328550919047715,True,0,0,-316782945200,2112591274.0187972,True,0,0
QWdUVG0=,833255,61827,4.5,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,688230,36177,,0,0,False,156042185,593582,0.2,0,0,True,145025,71633.46465165565,False,0.2107217064062886,0.1100935249150942,False,0,0,-155208930,596793.2377741892,True,0,0
QXJ0RW5SQUZT,1459,242,10.1,0.072,0.012,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,True,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.072,0.012,True,-439536,5438.386985127116,True,-3.700000000000001,1.2041594578792296,True
Q05JMTg2NF8y,24951,899,2.2,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5344926,2130.014553940888,True,,
Q29uc3RjdG4=,1650,239,8.8,0.082,0.011,constctn,Constctn,CvEm16pl3,industry,economic,True,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.082,0.011,True,-204417,3747.6287169355505,True,3.1000000000000014,1.104536101718726,False
Q3ZFbTE2cGwx,20135,793,2.4,0.606,0.017,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,18932,817,2.6,0.588,0.018,True,4053141,9894,0.1,0.591,0.001,True,1203,1138.5683993506934,False,0.06354320726811748,0.062136943308626284,False,0.018000000000000016,0.024758836806279896,False,-4033006,9925.728436744579,True,1.500000000000007,1.7029386365926402,False
Q3ZFbTE2cGwy,20135,793,2.4,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,18932,817,2.6,1,0,True,4053141,9894,0.1,1,0,True,1203,1138.5683993506934,False,0.06354320726811748,0.062136943308626284,False,0,0,-4033006,9925.728436744579,True,0,0
Q3ZFbTE2cGwz,20135,793,2.4,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-4033006,9925.728436744579,True,0,0
Q3ZFbTE2cGw0,20135,793,2.4,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,18932,817,2.6,1,0,True,4053141,9894,0.1,1,0,True,1203,1138.5683993506934,False,0.06354320726811748,0.062136943308626284,False,0,0,-4033006,9925.728436744579,True,0,0
Q3ZMRjE=,21144,820,2.4,0.637,0.018,cvlf1,CvLF1,Pop16pl,employment_status,economic,True,19941,831,2.5,0.62,0.018,True,4354474,10392,0.1,0.635,0.002,True,1203,1167.4592069961159,False,0.06032796750413721,0.06036100596423319,False,0.017000000000000015,0.02545584412271571,False,-4333330,10424.301607302044,True,0.20000000000000284,1.8110770276274832,False
Q3ZMRjE4dDY0,19808,818,2.5,,,cvlf18t64,CvLF18t64,NA,health_insurance_coverage,economic,True,,0,,,,False,4102491,9890,0.1,,,True,,,,,,,-4082683,9923.770654343036,True,,
Q3ZMRjI=,21144,820,2.4,1,0,cvlf2,CvLF2,CvLF2,employment_status,economic,True,19941,831,2.5,1,0,True,4354474,10392,0.1,1,0,True,1203,1167.4592069961159,False,0.06032796750413721,0.06036100596423319,False,0,0,-4333330,10424.301607302044,True,0,0
Q3ZMRkVt,18902,796,2.6,1,0,cvlfem,CvLFEm,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3825543,9546,0.2,1,0,True,,,,,1,0,True,-3806641,9579.130023128406,True,0,0
Q3ZMRlVFbTE=,1009,192,11.6,0.03,0.006,cvlfuem1,CvLFUEm1,Pop16pl,employment_status,economic,True,1009,199,12,0.031,0.006,True,301333,4545,0.9,0.044,0.001,True,0,276.52305509667724,0,0.2740565461810478,-0.0010000000000000009,0.00848528137423857,False,-300324,4549.053637846008,True,-1.3999999999999995,0.6082762530298219,False
Q3ZMRlVFbTI=,1009,192,11.6,0.048,0.009,cvlfuem2,CvLFUEm2,CvLF2,employment_status,economic,True,1009,199,12,0.051,0.01,True,301333,4545,0.9,0.069,0.001,True,0,276.52305509667724,0,0.2740565461810478,-0.0029999999999999957,0.01345362404707371,False,-300324,4549.053637846008,True,-2.1000000000000005,0.9055385138137416,False
