id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percent_significant,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m
RlBvcDMwdDM0,1748,375,13,0.033,0.007,fpop30t34,FPop30t34,Pop,poppyramid_only,demographic,True,2338,394,10.2,0.046,0.008,True,366861,247,0,0.043,0,True,-590,543.9310618083877,False,-0.2523524379811805,0.20396193942383622,False,-0.012999999999999998,0.01063014581273465,False,-365113,449.036746825914,True,-0.9999999999999996,0.7000000000000001,False
RlBvcDM1dDM5,1503,319,12.9,0.028,0.006,fpop35t39,FPop35t39,Pop,poppyramid_only,demographic,True,2084,403,11.8,0.041,0.008,True,315142,3125,0.6,0.037,0,True,-581,513.9747075489221,False,-0.2787907869481766,0.20707854569322293,False,-0.013000000000000001,0.01,False,-313639,3141.239564248483,True,-0.8999999999999995,0.6,False
RlBvcDQwdDQ0,1125,287,15.5,0.021,0.005,fpop40t44,FPop40t44,Pop,poppyramid_only,demographic,True,1008,224,13.5,0.02,0.004,True,280418,3132,0.7,0.033,0,True,117,364.06730147048364,False,0.11607142857142858,0.3775958382914014,False,0.0010000000000000009,0.006403124237432849,False,-279293,3145.1220961991285,True,-1.2000000000000002,0.5,False
RlBvcDQ1dDQ5,1213,297,14.9,0.023,0.006,fpop45t49,FPop45t49,Pop,poppyramid_only,demographic,True,1597,276,10.5,0.031,0.005,True,281658,193,0,0.033,0,True,-384,405.4442008464297,False,-0.24045084533500313,0.22763479301105083,False,-0.008,0.0078102496759066544,False,-280445,354.2005081871001,True,-1.0000000000000004,0.6,False
RlBvcDUwdDU0,1272,282,13.5,0.024,0.005,fpop50t54,FPop50t54,Pop,poppyramid_only,demographic,True,1593,297,11.3,0.031,0.006,True,285202,202,0,0.034,0,True,-321,409.552194475869,False,-0.2015065913370998,0.23130161299259874,False,-0.006999999999999999,0.0078102496759066544,False,-283930,346.88326566728466,True,-1.0000000000000004,0.5,False
RlBvcDU1dDU5,1339,316,14.3,0.025,0.006,fpop55t59,FPop55t59,Pop,poppyramid_only,demographic,True,1211,208,10.5,0.024,0.004,True,272993,2843,0.6,0.032,0,True,128,378.31204051681993,False,0.10569777043765483,0.3227344128752371,False,0.0010000000000000009,0.007211102550927979,False,-271654,2860.507822048386,True,-0.7000000000000002,0.6,False
RlBvcDV0OQ==,711,253,21.6,0.013,0.005,fpop5t9,FPop5t9,Pop,poppyramid_only,demographic,False,859,223,15.8,0.017,0.004,True,234049,2327,0.6,0.028,0,True,-148,337.25064862799,False,-0.17229336437718276,0.36458029743065024,False,-0.004000000000000002,0.006403124237432849,False,-233338,2340.713139194976,True,-1.5000000000000002,0.5,False
RlBvcDYwdDY0,1138,306,16.3,0.021,0.006,fpop60t64,FPop60t64,Pop,poppyramid_only,demographic,True,1196,222,11.3,0.023,0.004,True,256568,2933,0.7,0.03,0,True,-58,378.0476160485607,False,-0.048494983277591976,0.31089273959149877,False,-0.0019999999999999983,0.007211102550927979,False,-255430,2948.9192935717992,True,-0.8999999999999999,0.6,False
RlBvcDY1dDY5,1471,338,14,0.028,0.006,fpop65t69,FPop65t69,Pop,poppyramid_only,demographic,True,932,203,13.3,0.018,0.004,True,214644,2853,0.8,0.025,0,True,539,394.2752845411439,False,0.5783261802575107,0.49970553679569435,False,0.010000000000000002,0.007211102550927979,False,-213173,2872.951966183911,True,0.30000000000000027,0.6,False
RlBvcDcwdDc0,1152,266,14,0.022,0.005,fpop70t74,FPop70t74,Pop,poppyramid_only,demographic,True,881,190,13.1,0.017,0.004,True,161099,2686,1,0.019,0,True,271,326.88836014761984,False,0.3076049943246311,0.413143300280076,False,0.0049999999999999975,0.006403124237432849,False,-159947,2699.1391220164996,True,0.2999999999999998,0.5,False
RlBvcDc1dDc5,644,215,20.3,0.012,0.004,fpop75t79,FPop75t79,Pop,poppyramid_only,demographic,False,645,199,18.7,0.013,0.004,True,124380,1845,0.9,0.015,0,True,-1,292.9607482240582,False,-0.0015503875968992248,0.4538779255494842,False,-0.0009999999999999992,0.00565685424949238,False,-123736,1857.4848586193104,True,-0.30000000000000004,0.4,False
RlBvcDgwdDg0,875,263,18.3,0.016,0.005,fpop80t84,FPop80t84,Pop,poppyramid_only,demographic,True,738,188,15.5,0.014,0.004,True,91235,1728,1.2,0.011,0,True,137,323.28470424689135,False,0.1856368563685637,0.46714234950104166,False,0.002,0.006403124237432849,False,-90360,1747.8995966588013,True,0.5000000000000002,0.5,False
RlBvcDg1cGw=,735,225,18.6,0.014,0.004,fpop85pl,FPop85pl,Pop,poppyramid_only,demographic,True,863,211,14.9,0.017,0.004,True,111704,1844,1,0.013,0,True,-128,308.45745249547787,False,-0.14831981460023175,0.33366871110246804,False,-0.003000000000000001,0.00565685424949238,False,-110969,1857.6762365923723,True,0.10000000000000009,0.4,False
SHNwMQ==,12310,1366,6.7,0.232,0.024,hsp1,Hsp1,Pop_2,mutually_exclusive_race_hispanic_origin,demographic,True,11606,995,5.2,0.228,0.017,True,2457137,0,0,0.291,0,True,704,1689.9647925326728,False,0.06065828019989661,0.14873250811045585,False,0.0040000000000000036,0.029410882339705485,False,-2444827,1366,True,-5.899999999999995,2.4,False
SHNwMg==,12310,1366,6.7,1,0,hsp2,Hsp2,Hsp2,hispanic_subgroup,demographic,True,11606,995,5.2,1,0,True,2457137,0,0,1,0,True,704,1689.9647925326728,False,0.06065828019989661,0.14873250811045585,False,0,0,-2444827,1366,True,0,0
SHNwQWxsT3Ro,702,311,27,0.057,0.024,hspalloth,HspAllOth,Hsp2,hispanic_subgroup,demographic,False,506,288,34.5,0.044,0.024,False,73407,3230,2.7,0.03,0.001,True,196,423.869083562366,False,0.38735177865612647,1.0006462740322157,False,0.013000000000000005,0.03394112549695428,False,-72705,3244.937749788122,True,2.7,2.4020824298928627,False
SHNwQXJn,103,73,43.2,0.008,0.006,hsparg,HspArg,Hsp2,hispanic_subgroup,demographic,False,236,102,26.4,0.02,0.009,False,18356,2145,7.1,0.007,0.001,True,-133,125.4312560727987,False,-0.5635593220338984,0.3623007422192101,False,-0.012,0.010816653826391968,False,-18253,2146.2418316676244,True,0.09999999999999998,0.6082762530298219,False
SHNwQm9s,9,17,114.8,0.001,0.001,hspbol,HspBol,Hsp2,hispanic_subgroup,demographic,False,73,107,89.1,0.006,0.009,False,3802,607,9.7,0.002,0,True,-64,108.34205093129813,False,-0.8767123287671232,0.2947667277133654,False,-0.005,0.009055385138137416,False,-3793,607.2380093505346,True,-0.1,0.1,False
SHNwQ0Ft,602,287,29,0.049,0.023,hspcam,HspCAm,Hsp2,hispanic_subgroup,demographic,False,318,151,28.8,0.027,0.013,False,179031,5054,1.7,0.073,0.002,True,284,324.29924452579286,False,0.8930817610062893,1.2738072590525882,False,0.022000000000000002,0.02641968962724581,False,-178429,5062.14233304438,True,-2.3999999999999995,2.308679276123039,False
SHNwQ2hs,217,156,43.8,0.018,0.013,hspchl,HspChl,Hsp2,hispanic_subgroup,demographic,False,66,83,76.6,0.006,0.007,False,7524,974,7.9,0.003,0,True,151,176.70597047072292,False,2.287878787878788,4.762666215063975,False,0.011999999999999999,0.0147648230602334,False,-7307,986.4137063119105,True,1.4999999999999998,1.3,False
SHNwQ29s,219,126,35,0.018,0.01,hspcol,HspCol,Hsp2,hispanic_subgroup,demographic,False,425,243,34.8,0.037,0.021,False,102532,3800,2.3,0.042,0.002,True,-206,273.72431386341987,False,-0.48470588235294115,0.4179711385978197,False,-0.019,0.023259406699226014,False,-102313,3802.088373512641,True,-2.4000000000000004,1.019803902718557,False
SHNwQ1I=,125,131,63.6,0.01,0.011,hspcr,HspCR,Hsp2,hispanic_subgroup,demographic,False,17,28,98.9,0.001,0.002,False,7377,1032,8.5,0.003,0,True,108,133.9589489358587,False,6.352941176470588,14.354453060752249,False,0.009000000000000001,0.011180339887498947,False,-7252,1040.2812119806836,True,0.7,1.0999999999999999,False
SHNwQ3Vi,468,239,31,0.038,0.019,hspcub,HspCub,Hsp2,hispanic_subgroup,demographic,False,714,333,28.4,0.062,0.028,False,39929,2284,3.5,0.016,0.001,True,-246,409.89022920777217,False,-0.3445378151260504,0.4533194296537962,False,-0.024,0.03383784863137727,False,-39461,2296.470552826663,True,2.1999999999999997,1.9026297590440446,False
SHNwRG9t,4205,1221,17.7,0.342,0.092,hspdom,HspDom,Hsp2,hispanic_subgroup,demographic,True,4388,816,11.3,0.378,0.062,True,701188,8731,0.8,0.285,0.004,True,-183,1468.5697123391863,False,-0.04170464904284412,0.3304322543408132,False,-0.035999999999999976,0.1109414259868693,False,-696983,8815.962908270429,True,5.700000000000006,9.20869154657707,False
SHNwRWM=,622,555,54.2,0.051,0.045,hspec,HspEc,Hsp2,hispanic_subgroup,demographic,False,123,153,75.6,0.011,0.013,False,196728,6097,1.9,0.08,0.002,True,499,575.7030484546699,False,4.056910569105691,7.741306192585221,False,0.039999999999999994,0.04684015371452147,False,-196106,6122.208261730403,True,-2.9000000000000004,4.504442251822083,False
SHNwR3VhdG0=,53,81,93.5,0.004,0.007,hspguatm,HspGuatm,Hsp2,hispanic_subgroup,demographic,False,54,46,51.4,0.005,0.004,False,37583,2564,4.1,0.015,0.001,True,-1,93.15041599477696,False,-0.018518518518518517,1.7172723851673657,False,-0.001,0.00806225774829855,False,-37530,2565.279127112681,True,-1.1,0.7071067811865476,False
SHNwSG5k,158,129,49.8,0.013,0.01,hsphnd,HspHnd,Hsp2,hispanic_subgroup,demographic,False,0,0,,0,0,False,50108,3416,4.1,0.02,0.001,True,158,129,False,0,,0.013,0.01,False,-49950,3418.434875787456,True,-0.7,1.004987562112089,False
SHNwTWU=,1497,568,23.1,0.122,0.044,hspme,HspMe,Hsp2,hispanic_subgroup,demographic,False,1036,342,20.1,0.089,0.028,False,339425,7811,1.4,0.138,0.003,True,461,663.0143286536121,False,0.444980694980695,0.7267264392455628,False,0.033,0.05215361924162119,False,-337928,7831.624671803418,True,-1.6000000000000014,4.410215414239989,False
SHNwTmlj,140,174,75.4,0.011,0.014,hspnic,HspNic,Hsp2,hispanic_subgroup,demographic,False,35,36,62.5,0.003,0.003,False,12560,1653,8,0.005,0.001,True,105,177.68511473953018,False,3,6.453096077046415,False,0.008,0.014317821063276354,False,-12420,1662.1326661852236,True,0.5999999999999999,1.4035668847618201,False
SHNwT0NBbQ==,0,0,,0,0,hspocam,HspOCAm,Hsp2,hispanic_subgroup,demographic,False,17,30,107.3,0.001,0.003,False,1606,513,19.4,0.001,0,True,-17,30,False,-1,0,True,-0.001,0.003,False,-1606,513,True,-0.1,0,True
SHNwT1NBbQ==,0,0,,0,0,hsposam,HspOSAm,Hsp2,hispanic_subgroup,demographic,False,72,84,71.2,0.006,0.007,False,2811,708,15.3,0.001,0,True,-72,84,False,-1,0,True,-0.006,0.007,False,-2811,708,True,-0.1,0,True
SHNwT3Ro,1087,384,21.5,0.088,0.03,hspoth,HspOth,Hsp2,hispanic_subgroup,demographic,False,707,321,27.6,0.061,0.027,False,108479,3640,2,0.044,0.001,True,380,500.4967532362223,False,0.5374823196605375,0.8844747464298038,False,0.026999999999999996,0.04036087214122113,False,-107392,3660.198901699196,True,4.3999999999999995,3.0016662039607267,False
SHNwUGFu,126,102,49.2,0.01,0.008,hsppan,HspPan,Hsp2,hispanic_subgroup,demographic,False,104,92,54,0.009,0.008,False,22824,1473,3.9,0.009,0.001,True,22,137.3608386695422,False,0.21153846153846154,1.4527721204543398,False,0.0010000000000000009,0.01131370849898476,False,-22698,1476.527344819594,True,0.10000000000000009,0.806225774829855,False
