id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,change_percentage_point_significant,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QWdGRkhN,75,82,66.1,0.002,0.002,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0.002,0.002,False,-3795,477.099570320494,True,0.1,0.223606797749979,False
QWdISEluYw==,1482379600,83407446,3.4,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,1367142000,69143537,,0,0,False,307989432000,2361252362,0.5,0,0,True,115237600,108340346.85708407,False,0.08429087834328841,0.08203223665710954,False,0,0,-306507052400,2362725019.7809353,True,0,0
QWdJUDE1cGw=,1558559900,88740271,3.5,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,1421678600,72328240,,0,0,False,318266008500,2111708243,0.4,0,0,True,136881300,114482356.71338637,False,0.09628146614853737,0.08370704430003222,False,0,0,-316707448600,2113571985.8219404,True,0,0
QWdUVG0=,1223075,66665,3.3,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,1323230,66052,,0,0,False,156042185,593582,0.2,0,0,True,-100155,93846.09170871209,False,-0.07568978937901952,0.06831548114757009,False,0,0,-154819110,597313.8312051714,True,0,0
QXJ0RW5SQUZT,6003,740,7.5,0.184,0.021,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,True,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.184,0.021,True,-434992,5483.164141260045,True,7.499999999999998,2.1023796041628637,True
Q05JMTg2NF8y,45311,1732,2.3,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5324566,2593.9516186698625,True,,
Q29uc3RjdG4=,1932,386,12.2,0.059,0.012,constctn,Constctn,CvEm16pl3,industry,economic,True,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.059,0.012,True,-204135,3759.86648699126,True,0.7999999999999998,1.2041594578792296,False
Q3ZFbTE2cGwx,32621,1434,2.7,0.542,0.017,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,32656,1468,2.7,0.561,0.019,True,4053141,9894,0.1,0.591,0.001,True,-35,2052.164710738395,False,-0.0010717785399314062,0.06280743222751484,False,-0.019000000000000017,0.025495097567963924,False,-4020520,9997.379256585198,True,-4.8999999999999915,1.7029386365926402,False
Q3ZFbTE2cGwy,32621,1434,2.7,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,32656,1468,2.7,1,0,True,4053141,9894,0.1,1,0,True,-35,2052.164710738395,False,-0.0010717785399314062,0.06280743222751484,False,0,0,-4020520,9997.379256585198,True,0,0
Q3ZFbTE2cGwz,32621,1434,2.7,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-4020520,9997.379256585198,True,0,0
Q3ZFbTE2cGw0,32621,1434,2.7,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,32656,1468,2.7,1,0,True,4053141,9894,0.1,1,0,True,-35,2052.164710738395,False,-0.0010717785399314062,0.06280743222751484,False,0,0,-4020520,9997.379256585198,True,0,0
Q3ZMRjE=,33885,1468,2.6,0.563,0.017,cvlf1,CvLF1,Pop16pl,employment_status,economic,True,36329,1543,2.6,0.624,0.019,True,4354474,10392,0.1,0.635,0.002,True,-2444,2129.75890654318,False,-0.06727407855982824,0.05658837209902312,False,-0.061000000000000054,0.025495097567963924,False,-4320589,10495.174510221352,True,-7.200000000000003,1.711724276862369,True
Q3ZMRjE4dDY0,32554,1466,2.7,,,cvlf18t64,CvLF18t64,NA,health_insurance_coverage,economic,True,,0,,,,False,4102491,9890,0.1,,,True,,,,,,,-4069937,9998.06261232645,True,,
Q3ZMRjI=,33885,1468,2.6,1,0,cvlf2,CvLF2,CvLF2,employment_status,economic,True,36329,1543,2.6,1,0,True,4354474,10392,0.1,1,0,True,-2444,2129.75890654318,False,-0.06727407855982824,0.05658837209902312,False,0,0,-4320589,10495.174510221352,True,0,0
Q3ZMRkVt,31370,1433,2.8,1,0,cvlfem,CvLFEm,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3825543,9546,0.2,1,0,True,,,,,1,0,True,-3794173,9652.958354825738,True,0,0
Q3ZMRlVFbTE=,1264,271,13,0.021,0.004,cvlfuem1,CvLFUEm1,Pop16pl,employment_status,economic,True,3673,489,8.1,0.063,0.008,True,301333,4545,0.9,0.044,0.001,True,-2409,559.0724461105198,True,-0.6558671385788184,0.08684933971317216,True,-0.041999999999999996,0.008944271909999158,True,-300069,4553.072149658953,True,-2.2999999999999994,0.4123105625617661,True
Q3ZMRlVFbTI=,1264,271,13,0.037,0.008,cvlfuem2,CvLFUEm2,CvLF2,employment_status,economic,True,3673,489,8.1,0.101,0.013,True,301333,4545,0.9,0.069,0.001,True,-2409,559.0724461105198,True,-0.6558671385788184,0.08684933971317216,True,-0.064,0.015264337522473748,True,-300069,4553.072149658953,True,-3.2000000000000006,0.806225774829855,True
