id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QWdGRkhN,0,0,,0,0,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0,0,-3870,470,True,-0.1,0.1,False
QWdISEluYw==,1588154200,99370027.1191286,3.80361751513922,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,1129684100,99137743.3630643,5.33477503913537,0,0,True,307989432000,2361252362,0.5,0,0,True,458470100,140366286.72433117,True,0.4058392076156511,0.15151948888879888,False,0,0,-306401277800,2363342361.855395,True,0,0
QWdJUDE1cGw=,1757317900,109729232.40994,3.79582433850783,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,1267436500,107251007.751834,5.14409842261563,0,0,True,318266008500,2111708243,0.4,0,0,True,489881400,153438206.15824008,True,0.3865135649793895,0.14581174542079256,False,0,0,-316508690600,2114557213.224419,True,0,0
QWdUVG0=,1239930,74584.152485632,3.65665080493352,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,901510,62315.8038702864,4.20205517870145,0,0,True,156042185,593582,0.2,0,0,True,338420,97190.81856842244,True,0.3753923972002529,0.12602942425985084,False,0,0,-154802255,598249.4350402681,True,0,0
QXJ0RW5SQUZT,7053,905.124300855965,7.80132622308613,0.210279955874899,0.0250917250176968,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,True,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.210279955874899,0.0250917250176968,True,-433942,5507.879719093365,True,10.1279955874899,2.5111643999621203,True
Q05JMTg2NF8y,42468,1764.29986113472,2.525484392804,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5327409,2615.6289874521563,True,,
Q29uc3RjdG4=,1501,450.005555521262,18.2251571099009,0.0447512000238514,0.0132490625532366,constctn,Constctn,CvEm16pl3,industry,economic,True,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.0447512000238514,0.0132490625532366,True,-204566,3766.975577303362,True,-0.62487999761486,1.3286747477828285,False
Q3ZFbTE2cGwx,33541,1584.08743445556,2.87102675762624,0.665601682806795,0.0204790740143127,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,26233,1385.00577616124,3.20950253534868,0.558125186162291,0.0200908882976194,True,4053141,9894,0.1,0.591,0.001,True,7308,2104.180125369498,True,0.2785804139823886,0.09057162498238813,True,0.10747649664450398,0.028688608629055503,True,-4019600,10020.008433130184,True,7.460168280679511,2.0503474644159647,True
Q3ZFbTE2cGwy,33541,1584.08743445556,2.87102675762624,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,26233,1385.00577616124,3.20950253534868,1,0,True,4053141,9894,0.1,1,0,True,7308,2104.180125369498,True,0.2785804139823886,0.09057162498238813,True,0,0,-4019600,10020.008433130184,True,0,0
Q3ZFbTE2cGwz,33541,1584.08743445556,2.87102675762624,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-4019600,10020.008433130184,True,0,0
Q3ZFbTE2cGw0,33541,1584.08743445556,2.87102675762624,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,26233,1385.00577616124,3.20950253534868,1,0,True,4053141,9894,0.1,1,0,True,7308,2104.180125369498,True,0.2785804139823886,0.09057162498238813,True,0,0,-4019600,10020.008433130184,True,0,0
Q3ZMRjE=,35937,1641.59465155074,2.77688699491375,0.713148912525798,0.020205884110712,cvlf1,CvLF1,Pop16pl,employment_status,economic,True,29222,1484.28636051134,3.08774806280429,0.621718224756393,0.0205102506064066,True,4354474,10392,0.1,0.635,0.002,True,6715,2213.128780708433,False,0.22979262199712544,0.08401039563239403,False,0.091430687769405,0.02879145936963123,True,-4318537,10520.860088414825,True,7.814891252579798,2.0304623924011094,True
Q3ZMRjE4dDY0,34836,1626.36189084718,2.8380693606048,,,cvlf18t64,CvLF18t64,NA,health_insurance_coverage,economic,True,,0,,,,False,4102491,9890,0.1,,,True,,,,,,,-4067655,10022.831585934187,True,,
Q3ZMRjI=,35937,1641.59465155074,2.77688699491375,1,0,cvlf2,CvLF2,CvLF2,employment_status,economic,True,29222,1484.28636051134,3.08774806280429,1,0,True,4354474,10392,0.1,1,0,True,6715,2213.128780708433,False,0.22979262199712544,0.08401039563239403,False,0,0,-4318537,10520.860088414825,True,0,0
Q3ZMRkVt,32534,1562.49063997196,2.91953751253907,1,0,cvlfem,CvLFEm,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3825543,9546,0.2,1,0,True,,,,,1,0,True,-3793009,9673.029153269414,True,0,0
Q3ZMRlVFbTE=,2396,496.613531833356,12.5998632937712,0.047547229719003,0.00970663098970437,cvlfuem1,CvLFUEm1,Pop16pl,employment_status,economic,True,2989,527.231448227436,10.7228317046483,0.0635930385941024,0.0109450210261069,True,301333,4545,0.9,0.044,0.001,True,-593,724.2913778307727,False,-0.19839411174305788,0.2181687289166341,False,-0.016045808875099397,0.014629154809222965,False,-298937,4572.050962095676,True,0.35472297190030044,0.9758006208764639,False
Q3ZMRlVFbTI=,2396,496.613531833356,12.5998632937712,0.0666722319614882,0.0134792188709397,cvlfuem2,CvLFUEm2,CvLF2,employment_status,economic,True,2989,527.231448227436,10.7228317046483,0.102285948942578,0.0172780503703795,True,301333,4545,0.9,0.069,0.001,True,-593,724.2913778307727,False,-0.19839411174305788,0.2181687289166341,False,-0.03561371698108981,0.021913930865366627,False,-298937,4572.050962095676,True,-0.2327768038511806,1.3516262107946002,False
Q3ZOSVBvcDI=,59966,2183.24002345138,2.21325014615819,1,0,cvnipop2,CvNIPop2,CvNIPop2,health_insurance_coverage,economic,True,,0,,0,0,False,8379895,1861,0,1,0,True,,,,,1,0,True,-8319929,2868.772908405261,True,0,0
Q3ZOSVUxOF8y,11108,1001.82084226672,5.48262180912204,1,0,cvniu18_2,CvNIU18_2,CvNIU18_2,health_insurance_coverage,economic,True,,0,,0,0,False,1855028,1721,0.1,1,0,True,,,,,1,0,True,-1843920,1991.3528065111918,True,0,0
Q1dfQ3JwbGQ=,724,253.852319272446,21.3145744909609,0.0222331408917823,0.00772182069450899,cw_crpld,CW_Crpld,Wrkr16pl,commute_to_work,economic,False,488,181.201545247274,22.5723186565442,0.0189949787863454,0.00697772854020339,False,177245,3363,1.2,0.045,0.001,True,236,311.88940347501347,False,0.48360655737704916,0.7576746571234354,False,0.003238162105436898,0.010407459364269275,False,-176521,3372.5672713824406,True,-2.27668591082177,0.7786303027634316,False
Q1dfRHJ2QWxu,1943,444.527839398164,13.9078584458954,0.059667117061786,0.0133459289226704,cw_drvaln,CW_DrvAln,Wrkr16pl,commute_to_work,economic,True,1828,385.631948883907,12.8242186349427,0.0711533221750808,0.0145075899529622,True,883066,6519,0.4,0.223,0.002,True,115,588.4870431878685,False,0.06291028446389496,0.33077810392794715,False,-0.011486205113294803,0.019712533704530733,False,-881123,6534.138504806889,True,-16.3332882938214,1.34949553096322,True
