id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QWdGRkhN,0,0,,0,0,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0,0,-3870,470,True,-0.1,0.1,False
QWdISEluYw==,1718442800,75435340,2.7,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,1526904500,67237188,,0,0,False,307989432000,2361252362,0.5,0,0,True,191538300,101051125.53090611,False,0.1254422264129813,0.06997742930956524,False,0,0,-306270989200,2362457027.66664,True,0,0
QWdJUDE1cGw=,1822939700,81062934,2.7,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,1589456200,70741516,,0,0,False,318266008500,2111708243,0.4,0,0,True,233483500,107589782.7614993,False,0.14689520856252597,0.07215671015033279,False,0,0,-316443068800,2113263566.8138595,True,0,0
QWdUVG0=,1669250,77846,2.8,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,1630625,66962,,0,0,False,156042185,593582,0.2,0,0,True,38625,102683.53889499523,False,0.023687236489076273,0.06361049669272174,False,0,0,-154372935,598664.8398227509,True,0,0
QXJ0RW5SQUZT,8833,940,6.5,0.21,0.021,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,True,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.21,0.021,True,-432162,5513.718255406237,True,10.1,2.1023796041628637,True
Q05JMTg2NF8y,53358,1909,2.2,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5316519,2715.334601849282,True,,
Q29uc3RjdG4=,3508,520,9,0.083,0.012,constctn,Constctn,CvEm16pl3,industry,economic,True,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.083,0.012,True,-202559,3775.9766948433353,True,3.200000000000001,1.2041594578792296,False
Q3ZFbTE2cGwx,42022,1644,2.4,0.628,0.016,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,40410,1379,2.1,0.599,0.013,True,4053141,9894,0.1,0.591,0.001,True,1612,2145.78120972293,False,0.03989111606038109,0.05398517190262224,False,0.029000000000000026,0.0206155281280883,False,-4011119,10029.654630145547,True,3.700000000000003,1.6031219541881399,False
Q3ZFbTE2cGwy,42022,1644,2.4,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,40410,1379,2.1,1,0,True,4053141,9894,0.1,1,0,True,1612,2145.78120972293,False,0.03989111606038109,0.05398517190262224,False,0,0,-4011119,10029.654630145547,True,0,0
Q3ZFbTE2cGwz,42022,1644,2.4,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-4011119,10029.654630145547,True,0,0
Q3ZFbTE2cGw0,42022,1644,2.4,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,40410,1379,2.1,1,0,True,4053141,9894,0.1,1,0,True,1612,2145.78120972293,False,0.03989111606038109,0.05398517190262224,False,0,0,-4011119,10029.654630145547,True,0,0
Q3ZMRjE=,44153,1716,2.4,0.66,0.017,cvlf1,CvLF1,Pop16pl,employment_status,economic,True,43202,1440,2,0.64,0.013,True,4354474,10392,0.1,0.635,0.002,True,951,2240.146423785731,False,0.022012869774547476,0.05232751097597683,False,0.020000000000000018,0.0214009345590327,False,-4310321,10532.726142836906,True,2.5,1.711724276862369,False
Q3ZMRjE4dDY0,41646,1685,2.5,,,cvlf18t64,CvLF18t64,NA,health_insurance_coverage,economic,True,,0,,,,False,4102491,9890,0.1,,,True,,,,,,,-4060845,10032.513393960659,True,,
Q3ZMRjI=,44153,1716,2.4,1,0,cvlf2,CvLF2,CvLF2,employment_status,economic,True,43202,1440,2,1,0,True,4354474,10392,0.1,1,0,True,951,2240.146423785731,False,0.022012869774547476,0.05232751097597683,False,0,0,-4310321,10532.726142836906,True,0,0
Q3ZMRkVt,39856,1627,2.5,1,0,cvlfem,CvLFEm,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3825543,9546,0.2,1,0,True,,,,,1,0,True,-3785687,9683.658657759473,True,0,0
Q3ZMRlVFbTE=,2131,326,9.3,0.032,0.005,cvlfuem1,CvLFUEm1,Pop16pl,employment_status,economic,True,2792,405,8.8,0.041,0.006,True,301333,4545,0.9,0.044,0.001,True,-661,519.904798977659,False,-0.23674785100286533,0.16090768782557152,False,-0.009000000000000001,0.0078102496759066544,False,-299202,4556.676530103931,True,-1.1999999999999993,0.5099019513592785,False
Q3ZMRlVFbTI=,2131,326,9.3,0.048,0.007,cvlfuem2,CvLFUEm2,CvLF2,employment_status,economic,True,2792,405,8.8,0.065,0.009,True,301333,4545,0.9,0.069,0.001,True,-661,519.904798977659,False,-0.23674785100286533,0.16090768782557152,False,-0.017,0.011401754250991379,False,-299202,4556.676530103931,True,-2.1000000000000005,0.7071067811865476,False
Q3ZOSVBvcDI=,81445,2536,1.9,1,0,cvnipop2,CvNIPop2,CvNIPop2,health_insurance_coverage,economic,True,,0,,0,0,False,8379895,1861,0,1,0,True,,,,,1,0,True,-8298450,3145.5710133455896,True,0,0
Q3ZOSVUxOF8y,17354,1198,4.2,1,0,cvniu18_2,CvNIU18_2,CvNIU18_2,health_insurance_coverage,economic,True,,0,,0,0,False,1855028,1721,0.1,1,0,True,,,,,1,0,True,-1837674,2096.9132075505654,True,0,0
Q1dfQ3JwbGQ=,1693,384,13.8,0.043,0.009,cw_crpld,CW_Crpld,Wrkr16pl,commute_to_work,economic,True,1777,383,13.1,0.045,0.01,True,177245,3363,1.2,0.045,0.001,True,-84,542.3513621260668,False,-0.04727068092290377,0.29809862051498076,False,-0.0020000000000000018,0.01345362404707371,False,-175552,3384.85228628961,True,-0.20000000000000018,0.9055385138137416,False
