id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QWdGRkhN,0,0,,0,0,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0,0,-3870,470,True,-0.1,0.1,False
QWdISEluYw==,1246091700,89170900,4.4,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,1039659400,48413470,,0,0,False,307989432000,2361252362,0.5,0,0,True,206432300,101465824.21806319,False,0.19855762377563269,0.10233011094750993,False,0,0,-306743340300,2362935497.735262,True,0,0
QWdJUDE1cGw=,1315527100,93597386,4.3,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,1090559200,51862238,,0,0,False,318266008500,2111708243,0.4,0,0,True,224967900,107005431.62102398,False,0.20628673803311182,0.10323168415713294,False,0,0,-316950481400,2113781486.8666487,True,0,0
QWdUVG0=,1023925,99114,5.9,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,781550,47439,,0,0,False,156042185,593582,0.2,0,0,True,242375,109881.95355471253,False,0.3101209135691894,0.14968780556428962,False,0,0,-155018260,601799.9465935503,True,0,0
QXJ0RW5SQUZT,1239,538,26.4,0.059,0.025,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,False,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.059,0.025,False,-439756,5459.572602319709,True,-5.000000000000001,2.5019992006393608,False
Q05JMTg2NF8y,26512,1789,4.1,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5343365,2632.3529398619785,True,,
Q29uc3RjdG4=,817,352,26.2,0.039,0.016,constctn,Constctn,CvEm16pl3,industry,economic,False,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.039,0.016,False,-205250,3756.528184374503,True,-1.1999999999999997,1.6031219541881399,False
Q3ZFbTE2cGwx,21153,1641,4.7,0.529,0.033,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,17954,812,2.7,0.509,0.016,True,4053141,9894,0.1,0.591,0.001,True,3199,1830.9082445606061,False,0.17817756488804723,0.105798410654614,False,0.020000000000000018,0.0366742416417845,False,-4031988,10029.163325023677,True,-6.199999999999989,3.301514803843836,False
Q3ZFbTE2cGwy,21153,1641,4.7,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,17954,812,2.7,1,0,True,4053141,9894,0.1,1,0,True,3199,1830.9082445606061,False,0.17817756488804723,0.105798410654614,False,0,0,-4031988,10029.163325023677,True,0,0
Q3ZFbTE2cGwz,21153,1641,4.7,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-4031988,10029.163325023677,True,0,0
Q3ZFbTE2cGw0,21153,1641,4.7,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,17954,812,2.7,1,0,True,4053141,9894,0.1,1,0,True,3199,1830.9082445606061,False,0.17817756488804723,0.105798410654614,False,0,0,-4031988,10029.163325023677,True,0,0
Q3ZMRjE=,23143,1642,4.3,0.579,0.032,cvlf1,CvLF1,Pop16pl,employment_status,economic,True,19951,844,2.6,0.565,0.016,True,4354474,10392,0.1,0.635,0.002,True,3192,1846.2123388169628,False,0.15999198035186207,0.0958207177319805,False,0.014000000000000012,0.03577708763999663,False,-4331331,10520.923343509352,True,-5.600000000000001,3.2062439083762797,False
Q3ZMRjE4dDY0,21471,1659,4.7,,,cvlf18t64,CvLF18t64,NA,health_insurance_coverage,economic,True,,0,,,,False,4102491,9890,0.1,,,True,,,,,,,-4081020,10028.179346222325,True,,
Q3ZMRjI=,23143,1642,4.3,1,0,cvlf2,CvLF2,CvLF2,employment_status,economic,True,19951,844,2.6,1,0,True,4354474,10392,0.1,1,0,True,3192,1846.2123388169628,False,0.15999198035186207,0.0958207177319805,False,0,0,-4331331,10520.923343509352,True,0,0
Q3ZMRkVt,19542,1655,5.1,1,0,cvlfem,CvLFEm,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3825543,9546,0.2,1,0,True,,,,,1,0,True,-3806001,9688.40239668027,True,0,0
Q3ZMRlVFbTE=,1990,547,16.7,0.05,0.013,cvlfuem1,CvLFUEm1,Pop16pl,employment_status,economic,True,1997,408,12.4,0.057,0.011,True,301333,4545,0.9,0.044,0.001,True,-7,682.4023739700793,False,-0.0035052578868302454,0.34128606500632425,False,-0.006999999999999999,0.0170293863659264,False,-299343,4577.797942242536,True,0.6000000000000005,1.3038404810405297,False
Q3ZMRlVFbTI=,1990,547,16.7,0.086,0.023,cvlfuem2,CvLFUEm2,CvLF2,employment_status,economic,True,1997,408,12.4,0.1,0.02,True,301333,4545,0.9,0.069,0.001,True,-7,682.4023739700793,False,-0.0035052578868302454,0.34128606500632425,False,-0.014000000000000012,0.03047950130825634,False,-299343,4577.797942242536,True,1.6999999999999993,2.3021728866442674,False
Q3ZOSVBvcDI=,45635,2347,3.1,1,0,cvnipop2,CvNIPop2,CvNIPop2,health_insurance_coverage,economic,True,,0,,0,0,False,8379895,1861,0,1,0,True,,,,,1,0,True,-8334260,2995.2846275437664,True,0,0
Q3ZOSVUxOF8y,9071,1234,8.3,1,0,cvniu18_2,CvNIU18_2,CvNIU18_2,health_insurance_coverage,economic,True,,0,,0,0,False,1855028,1721,0.1,1,0,True,,,,,1,0,True,-1845957,2117.68670959611,True,0,0
Q1dfQ3JwbGQ=,731,293,24.4,0.036,0.014,cw_crpld,CW_Crpld,Wrkr16pl,commute_to_work,economic,False,1040,253,14.8,0.06,0.014,True,177245,3363,1.2,0.045,0.001,True,-309,387.1149700024529,False,-0.2971153846153846,0.3295601230826074,False,-0.024,0.019798989873223333,False,-176514,3375.739622660492,True,-0.9000000000000004,1.4035668847618201,False
Q1dfRHJ2QWxu,6406,1011,9.6,0.312,0.042,cw_drvaln,CW_DrvAln,Wrkr16pl,commute_to_work,economic,True,6205,697,6.8,0.358,0.036,True,883066,6519,0.4,0.223,0.002,True,201,1227.9780128324774,False,0.032393231265108784,0.19998913120949705,False,-0.045999999999999985,0.05531726674375732,False,-876660,6596.929740417128,True,8.899999999999999,4.2047592083257275,False
