id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m
QXZnSEhTT09j,3.94,0.2,3.1,,,avghhsooc,AvgHHSOOc,mean,housing_tenure,housing,True,3.81,0.23,3.7,,,True,2.85,0.01,0.2,,,True,0.1299999999999999,0.3047950130825634,False,,,,,1.0899999999999999,0.2002498439450079,True,,
QXZnSEhTUk9j,3.51,0.31,5.4,,,avghhsroc,AvgHHSROc,mean,housing_tenure,housing,True,3.21,0.34,6.4,,,True,2.51,0.01,0.2,,,True,0.2999999999999998,0.46010868281309364,False,,,,,1,0.3101612483854165,True,,
Qmx0MDB0MDk=,856,186,13.2,0.037,0.008,blt00t09,Blt00t09,HU3,year_structure_built,housing,True,,0,,0,0,False,198788,2928,0.9,0.057,0.001,True,,,,,0.037,0.008,True,-197932,2933.901838848737,True,-2.0000000000000004,0.806225774829855,False
Qmx0MTBMdHI=,198,89,27.2,0.008,0.004,blt10ltr,Blt10Ltr,HU3,year_structure_built,housing,False,,0,,0,0,False,76678,1919,1.5,0.022,0.001,True,,,,,0.008,0.004,False,-76480,1921.0627267218529,True,-1.3999999999999997,0.4123105625617661,True
Qmx0NDB0NDk=,3215,306,5.8,0.137,0.013,blt40t49,Blt40t49,HU3,year_structure_built,housing,True,,0,,0,0,False,354913,3910,0.7,0.102,0.001,True,,,,,0.137,0.013,True,-351698,3921.9556346292343,True,3.5000000000000018,1.3038404810405297,False
Qmx0NTB0NTk=,3743,329,5.3,0.16,0.014,blt50t59,Blt50t59,HU3,year_structure_built,housing,True,,0,,0,0,False,450809,4111,0.6,0.13,0.001,True,,,,,0.16,0.014,True,-447066,4124.143789927795,True,3,1.4035668847618201,False
Qmx0NjB0Njk=,1878,253,8.2,0.08,0.011,blt60t69,Blt60t69,HU3,year_structure_built,housing,True,,0,,0,0,False,440499,4325,0.6,0.127,0.001,True,,,,,0.08,0.011,True,-438621,4332.393564763017,True,-4.699999999999999,1.104536101718726,True
Qmx0NzB0Nzk=,897,165,11.2,0.038,0.007,blt70t79,Blt70t79,HU3,year_structure_built,housing,True,,0,,0,0,False,245191,3241,0.8,0.071,0.001,True,,,,,0.038,0.007,True,-244294,3245.197374582939,True,-3.3,0.7071067811865476,True
Qmx0ODB0ODk=,405,126,18.9,0.017,0.005,blt80t89,Blt80t89,HU3,year_structure_built,housing,True,,0,,0,0,False,164132,2906,1.1,0.047,0.001,True,,,,,0.017,0.005,True,-163727,2908.7303071959077,True,-3,0.5099019513592785,True
Qmx0OTB0OTk=,499,139,17,0.021,0.006,blt90t99,Blt90t99,HU3,year_structure_built,housing,True,,0,,0,0,False,127962,2842,1.4,0.037,0.001,True,,,,,0.021,0.006,True,-127463,2845.397160327535,True,-1.5999999999999996,0.6082762530298219,False
Qmx0QmYzOQ==,11743,439,2.3,0.501,0.018,bltbf39,BltBf39,HU3,year_structure_built,housing,True,,0,,0,0,False,1413382,6785,0.3,0.407,0.002,True,,,,,0.501,0.018,True,-1401639,6799.187157300496,True,9.400000000000006,1.8110770276274832,True
QnRSVlZFdGM=,0,0,,0,0,btrvvetc,BtRVVEtc,HU2,units_in_structure,housing,False,0,0,,0,0,False,1902,346,11.1,0.001,0.001,True,0,0,0,,,,-1902,346,True,-0.1,0.1,False
