id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
RlBvcDI1dDI5,1311,323,15,0.045,0.011,fpop25t29,FPop25t29,Pop,poppyramid_only,demographic,True,1024,247,14.7,0.038,0.009,True,405287,203,0,0.048,0,True,287,406.61775662162125,False,0.2802734375,0.44143310082957715,False,0.006999999999999999,0.014212670403551895,False,-403976,381.4944298413805,True,-0.2999999999999998,1.0999999999999999,False
RlBvcDMwdDM0,1077,265,14.9,0.037,0.009,fpop30t34,FPop30t34,Pop,poppyramid_only,demographic,True,1062,220,12.6,0.04,0.008,True,366861,247,0,0.043,0,True,15,344.41980198589044,False,0.014124293785310734,0.32618915770585316,False,-0.0030000000000000027,0.012041594578792296,False,-365784,362.26233588381774,True,-0.6000000000000001,0.8999999999999999,False
RlBvcDM1dDM5,726,201,16.9,0.025,0.007,fpop35t39,FPop35t39,Pop,poppyramid_only,demographic,True,854,210,14.9,0.032,0.008,True,315142,3125,0.6,0.037,0,True,-128,290.69055712217414,False,-0.14988290398126464,0.3147945855674274,False,-0.006999999999999999,0.01063014581273465,False,-314416,3131.4574881355165,True,-1.1999999999999997,0.7000000000000001,False
RlBvcDQwdDQ0,859,185,13.1,0.03,0.006,fpop40t44,FPop40t44,Pop,poppyramid_only,demographic,True,832,216,15.8,0.031,0.008,True,280418,3132,0.7,0.033,0,True,27,284.3958508839396,False,0.03245192307692308,0.3482639025332756,False,-0.0010000000000000009,0.01,False,-279559,3137.459003716224,True,-0.30000000000000027,0.6,False
RlBvcDQ1dDQ5,909,239,16,0.031,0.008,fpop45t49,FPop45t49,Pop,poppyramid_only,demographic,True,700,190,16.5,0.026,0.007,True,281658,193,0,0.033,0,True,209,305.32114240582814,False,0.2985714285714286,0.49072205849361566,False,0.005000000000000001,0.01063014581273465,False,-280749,307.19700519373555,True,-0.20000000000000018,0.8,False
RlBvcDUwdDU0,847,201,14.4,0.029,0.007,fpop50t54,FPop50t54,Pop,poppyramid_only,demographic,True,658,189,17.4,0.025,0.007,True,285202,202,0,0.034,0,True,189,275.90215657004205,False,0.2872340425531915,0.47960231531343867,False,0.004,0.009899494936611667,False,-284355,284.96491012052695,True,-0.5,0.7000000000000001,False
RlBvcDU1dDU5,561,148,16.1,0.019,0.005,fpop55t59,FPop55t59,Pop,poppyramid_only,demographic,True,441,131,18.1,0.017,0.005,True,272993,2843,0.6,0.032,0,True,120,197.6486782146544,False,0.272108843537415,0.505394185617853,False,0.0019999999999999983,0.007071067811865475,False,-272432,2846.849662346082,True,-1.3000000000000003,0.5,False
RlBvcDV0OQ==,824,239,17.6,0.028,0.008,fpop5t9,FPop5t9,Pop,poppyramid_only,demographic,True,1404,285,12.3,0.053,0.01,True,234049,2327,0.6,0.028,0,True,-580,371.94892122440683,False,-0.4131054131054131,0.20777534539860612,False,-0.024999999999999998,0.012806248474865698,False,-233225,2339.241330004239,True,0,0.8
RlBvcDYwdDY0,445,169,23.1,0.015,0.006,fpop60t64,FPop60t64,Pop,poppyramid_only,demographic,False,378,133,21.3,0.014,0.005,False,256568,2933,0.7,0.03,0,True,67,215.05813167606567,False,0.17724867724867724,0.6094794904163868,False,0.0009999999999999992,0.0078102496759066544,False,-256123,2937.8648709564573,True,-1.5,0.6,False
RlBvcDY1dDY5,312,140,27.3,0.011,0.005,fpop65t69,FPop65t69,Pop,poppyramid_only,demographic,False,357,138,23.4,0.013,0.005,False,214644,2853,0.8,0.025,0,True,-45,196.5807722031837,False,-0.12605042016806722,0.517605647875193,False,-0.002,0.007071067811865475,False,-214332,2856.432915368397,True,-1.4000000000000001,0.5,False
