id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
Q3ZOSVUxOF8y,15090,898.470366790135,3.61950029021468,1,0,cvniu18_2,CvNIU18_2,CvNIU18_2,health_insurance_coverage,economic,True,,0,,0,0,False,1855028,1721,0.1,1,0,True,,,,,1,0,True,-1839938,1941.4144328298376,True,0,0
Q1dfQ3JwbGQ=,564,213.581366228424,23.0206909211692,0.0146023198011599,0.00550723165840968,cw_crpld,CW_Crpld,Wrkr16pl,commute_to_work,economic,False,486,171.195794340866,21.4136608429166,0.0163361344537815,0.00572111576413404,False,177245,3363,1.2,0.045,0.001,True,78,273.7243138634204,False,0.16049382716049382,0.600200610235127,False,-0.001733814652621601,0.007941080916727449,False,-176681,3369.775363432999,True,-3.03976801988401,0.5597285104351022,True
Q1dfRHJ2QWxu,2797,420.832508250016,9.14641519409129,0.0724161143330572,0.0106113160866119,cw_drvaln,CW_DrvAln,Wrkr16pl,commute_to_work,economic,True,2343,338.337109995342,8.77832073019268,0.0787563025210084,0.0109744654000375,True,883066,6519,0.4,0.223,0.002,True,454,539.9740734516797,False,0.19376867264191208,0.24895187529566962,False,-0.006340188187951207,0.015265612333169238,False,-880269,6532.569249537275,True,-15.05838856669428,1.07981493363441,True
Q1dfT3Ro,1417,330.04242151578,14.1590466401589,0.036687033968517,0.00845268167862949,cw_oth,CW_Oth,Wrkr16pl,commute_to_work,economic,True,984,219.952267549121,13.5883724731955,0.0330756302521008,0.00728643311704481,True,112933,2992,1.6,0.029,0.001,True,433,396.6194649787122,False,0.4400406504065041,0.46487916488232944,False,0.0036114037164161963,0.011159746194667959,False,-111516,3010.148169110617,True,0.7687033968516994,0.8511628960442217,False
Q1dfUGJUcm5z,21832,1173.23910606491,3.26683428932549,0.565244407622204,0.0234555136835532,cw_pbtrns,CW_PbTrns,Wrkr16pl,commute_to_work,economic,True,16906,1002.38864718232,3.60437005038883,0.568268907563025,0.0259221449505116,True,2223087,10073,0.3,0.562,0.002,True,4926,1543.1373885691419,True,0.29137584289601326,0.10333793802999919,False,-0.0030244999408209905,0.034958814639439444,False,-2201255,10141.09555225667,True,0.32444076222039087,2.354062705535584,False
Q1dfV2xrZA==,9855,874.479273625167,5.39419931638032,0.255152236951118,0.0208973220019196,cw_wlkd,CW_Wlkd,Wrkr16pl,commute_to_work,economic,True,7800,708.176531664245,5.51926219050928,0.26218487394958,0.0216337514536143,True,392607,5774,0.9,0.099,0.001,True,2055,1125.2679680858241,False,0.26346153846153847,0.1603998527710999,False,-0.007032636998462016,0.030078518394506596,False,-382752,5839.845032190495,True,15.6152236951118,2.0921234830953765,True
Q1dfV3JrZEht,2159,384.571189768552,10.8282481833606,0.0558978873239437,0.00977212970411683,cw_wrkdhm,CW_WrkdHm,Wrkr16pl,commute_to_work,economic,True,1231,243.782690115603,12.038681088872,0.0413781512605042,0.00804309390697907,True,164594,3729,1.4,0.042,0.001,True,928,455.3295509847782,False,0.7538586515028433,0.4671549281849028,False,0.014519736063439495,0.012656456002790287,False,-162435,3748.77793420736,True,1.3897887323943694,0.9823162370340952,False
RTEwdDEycHQ1,1052,161,9.30345441307338,0,0,e10t12pt5,E10t12pt5,MdEWrk,economic__special_variable,economic,True,1352,0,,0,0,False,169608,0,,0,0,False,-300,161,False,-0.22189349112426035,0.1190828402366864,False,0,0,-168556,161,True,0,0
RTEycHQ1dDE1,732,113,9.38429086318866,0,0,e12pt5t15,E12pt5t15,MdEWrk,economic__special_variable,economic,True,969,0,,0,0,False,144620,0,,0,0,False,-237,113,False,-0.24458204334365324,0.11661506707946334,False,0,0,-143888,113,True,0,0
RTE1dDE3cHQ1,1238,159,7.80747455205228,0,0,e15t17pt5,E15t17pt5,MdEWrk,economic__special_variable,economic,True,1195,0,,0,0,False,173274,0,,0,0,False,43,159,False,0.03598326359832636,0.1330543933054393,False,0,0,-172036,159,True,0,0
RTE3cHQ1dDIw,539,78,8.79710823262712,0,0,e17pt5t20,E17pt5t20,MdEWrk,economic__special_variable,economic,True,704,0,,0,0,False,126285,0,,0,0,False,-165,78,False,-0.234375,0.11079545454545456,False,0,0,-125746,78,True,0,0
RTIwdDIycHQ1,1082,143,8.03420436094365,0,0,e20t22pt5,E20t22pt5,MdEWrk,economic__special_variable,economic,True,1563,0,,0,0,False,196961,0,,0,0,False,-481,143,True,-0.3077415227127319,0.09149072296865003,True,0,0,-195879,143,True,0,0
RTIycHQ1dDI1,641,110,10.4320282233782,0,0,e22pt5t25,E22pt5t25,MdEWrk,economic__special_variable,economic,True,611,0,,0,0,False,107043,0,,0,0,False,30,110,False,0.049099836333878884,0.18003273322422256,False,0,0,-106402,110,True,0,0
RTdwdDV0MTA=,787,136,10.5050536259815,0,0,e7pt5t10,E7pt5t10,MdEWrk,economic__special_variable,economic,True,1073,0,,0,0,False,118902,0,,0,0,False,-286,136,False,-0.26654240447343897,0.12674743709226471,False,0,0,-118115,136,True,0,0
RWRIbHRoQ1NB,6786,654.421118241152,5.86242835232158,0.172993091493104,0.0156189577080955,edhlthcsa,EdHlthCSA,CvEm16pl3,industry,economic,True,,0,,0,0,False,1080586,7811,0.4,0.267,0.002,True,,,,,0.172993091493104,0.0156189577080955,True,-1073800,7838.366411440588,True,-9.400690850689603,1.5746486588673545,True
RW1ISW5z,35287,1297.61396416654,2.23544953813215,0.930049287050947,0.0114735340341818,emhins,EmHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3395066,12000,0.2,0.887,0.002,True,,,,,0.930049287050947,0.0114735340341818,True,-3359779,12069.954515241556,True,4.304928705094696,1.1646543832121532,True
RW1OSElucw==,2654,431.758034088539,9.88948342213368,0.0699507129490525,0.0111187221341456,emnhins,EmNHIns,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,430477,6778,1,0.113,0.002,True,,,,,0.0699507129490525,0.0111187221341456,True,-427823,6791.737553822291,True,-4.304928705094751,1.1297166985414497,True
