id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_significant,change_percent,change_percent_m,change_percent_significant,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QWJyb2Fk,895,237,16.1,0.079,0.02,abroad,Abroad,DfHs2,residence_1_year_ago,social,True,842,338,24.4,0.079,0.031,False,90888,3237,2.2,0.109,0.004,True,53,412.81109481214287,False,0.06294536817102138,0.5111690688624599,False,0,0.036891733491393436,-89993,3245.6644928273163,True,-3,2.039607805437114,False
QWZn,0,0,,0,0,afg,Afg,Pop_5,ancestry,social,False,164,260,96.4,0.002,0.003,False,4368,817,11.4,0.001,0,True,-164,260,False,-1,0,True,-0.002,0.003,False,-4368,817,True,-0.1,0,True
QWZnaGFu,0,0,,0,0,afghan,Afghan,Fb2,place_of_birth,social,False,66,104,95.8,0.002,0.003,False,3928,714,11,0.001,0,True,-66,104,False,-1,0,True,-0.002,0.003,False,-3928,714,True,-0.1,0,True
QWZy,1261,367,17.7,0.038,0.011,afr,Afr,Fb2,place_of_birth,social,True,1343,374,16.9,0.04,0.011,True,147127,5003,2.1,0.047,0.002,True,-82,523.9895037116679,False,-0.06105733432613552,0.3782147902772825,False,-0.0020000000000000018,0.015556349186104044,False,-145866,5016.442763552675,True,-0.9000000000000004,1.1180339887498947,False
QWZyaWNhbg==,1967,511,15.8,0.018,0.005,african,African,Pop_5,ancestry,social,True,8838,1222,8.4,0.088,0.012,True,107555,4544,2.6,0.013,0.001,True,-6871,1324.5395426335901,True,-0.777438334464811,0.06549769355318114,True,-0.06999999999999999,0.013000000000000001,True,-105588,4572.6422339824485,True,0.4999999999999998,0.5099019513592785,False
QWZyTkVD,34,36,65.2,0.001,0.001,afrnec,AfrNEC,Fb2,place_of_birth,social,False,54,47,52.7,0.002,0.001,False,12568,1359,6.6,0.004,0,True,-20,59.20304046246274,False,-0.37037037037037035,0.8629950590818662,False,-0.001,0.001414213562373095,False,-12534,1359.4767375722174,True,-0.30000000000000004,0.1,False
QWxi,0,0,,0,0,alb,Alb,Pop_5,ancestry,social,False,10,16,97.3,0,0,False,34768,2674,4.7,0.004,0,True,-10,16,False,-1,0,True,0,0,-34768,2674,True,-0.4,0,True
QWxiYW5pYQ==,0,0,,0,0,albania,Albania,Fb2,place_of_birth,social,False,0,0,,0,0,False,17563,1857,6.4,0.006,0.001,True,0,0,0,,,,-17563,1857,True,-0.6,0.1,True
QWxzYXRu,8,13,98.8,0,0,alsatn,Alsatn,Pop_5,ancestry,social,False,0,0,,0,0,False,214,81,23,0,0,False,8,13,False,0,,0,0,-206,82.03657720797473,False,0,0
QW1lcmNu,4627,660,8.7,0.042,0.006,amercn,Amercn,Pop_5,ancestry,social,True,2427,469,11.8,0.024,0.005,True,377184,8097,1.3,0.045,0.001,True,2200,809.6672155892197,False,0.9064688916357643,0.4579066684318264,False,0.018000000000000002,0.0078102496759066544,False,-372557,8123.854319225573,True,-0.2999999999999998,0.6082762530298219,False
QW1yaWNhcw==,26692,1373,3.1,0.812,0.021,amricas,Amricas,Fb2,place_of_birth,social,True,29027,1735,3.6,0.863,0.021,True,1600899,10488,0.4,0.512,0.003,True,-2335,2212.544688814217,False,-0.0804423467805836,0.07251467111312077,False,-0.050999999999999934,0.029698484809835,False,-1574207,10577.488974232023,True,30,2.1213203435596424,True
QXJhYg==,758,340,27.3,0.007,0.003,arab,Arab,Pop_5,ancestry,social,False,512,315,37.3,0.005,0.003,False,102479,4271,2.5,0.012,0.001,True,246,463.49217900629134,False,0.48046875,1.1272088918660559,False,0.002,0.004242640687119285,False,-101721,4284.511757481825,True,-0.4999999999999999,0.31622776601683794,False
QXJhYlN1Yg==,302,252,50.7,0.003,0.002,arabsub,ArabSub,Pop_5,ancestry,social,False,175,233,81,0.002,0.002,False,12835,1443,6.8,0.002,0,True,127,343.20984834354624,False,0.7257142857142858,2.711616834834665,False,0.001,0.00282842712474619,False,-12533,1464.8388989919677,True,0.09999999999999998,0.2,False
