id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m,percent_significant
QWdGRkhN,0,0,,0,0,agffhm,AgFFHM,CvEm16pl3,industry,economic,False,,0,,0,0,False,3870,470,7.4,0.001,0.001,True,,,,,0,0,-3870,470,True,-0.1,0.1,False
QWdISEluYw==,2604776700,162578434,3.8,0,0,aghhinc,AgHHInc,MnHHInc,economic__special_variable,economic,True,1545460500,84246346,,0,0,False,307989432000,2361252362,0.5,0,0,True,1059316200,183109786.78444272,True,0.6854372531682305,0.13967045566315126,True,0,0,-305384655300,2366842720.641249,True,0,0
QWdJUDE1cGw=,2750701300,167115141,3.7,0,0,agip15pl,AgIP15pl,PerCapInc,economic__special_variable,economic,True,1663700800,89673849,,0,0,False,318266008500,2111708243,0.4,0,0,True,1087000500,189654605.91803375,True,0.6533629724767819,0.13428157873072633,True,0,0,-315515307200,2118310452.67345,True,0,0
QWdUVG0=,1382910,67355,3,0,0,agttm,AgTTm,MnTrvTm,economic__special_variable,economic,True,1060280,61301,,0,0,False,156042185,593582,0.2,0,0,True,322630,91074.19297473901,True,0.3042875466857811,0.09859996887206535,True,0,0,-154659275,597391.2342418493,True,0,0
QXJ0RW5SQUZT,5128,601,7.1,0.131,0.015,artenrafs,ArtEnRAFS,CvEm16pl3,industry,economic,True,,0,,0,0,False,440995,5433,0.7,0.109,0.001,True,,,,,0.131,0.015,True,-435867,5466.1403201893745,True,2.200000000000001,1.5033296378372907,False
Q05JMTg2NF8y,57762,1838,1.9,,,cni1864_2,CNI1864_2,NA,health_insurance_coverage,economic,True,,0,,,,False,5369877,1931,0,,,True,,,,,,,-5312115,2665.896659662561,True,,
Q29uc3RjdG4=,1228,340,16.8,0.031,0.009,constctn,Constctn,CvEm16pl3,industry,economic,True,,0,,0,0,False,206067,3740,1.1,0.051,0.001,True,,,,,0.031,0.009,True,-204839,3755.4227458436685,True,-1.9999999999999996,0.9055385138137416,False
Q3ZFbTE2cGwx,39050,1498,2.3,0.562,0.015,cvem16pl1,CvEm16pl1,Pop16pl,employment_status,economic,True,31433,1374,2.7,0.511,0.016,True,4053141,9894,0.1,0.591,0.001,True,7617,2032.7026344254095,True,0.24232494512136926,0.07225070751967869,True,0.051000000000000045,0.021931712199461308,False,-4014091,10006.759715312444,True,-2.8999999999999915,1.5033296378372907,False
Q3ZFbTE2cGwy,39050,1498,2.3,1,0,cvem16pl2,CvEm16pl2,CvEm16pl2,occupation,economic,True,31433,1374,2.7,1,0,True,4053141,9894,0.1,1,0,True,7617,2032.7026344254095,True,0.24232494512136926,0.07225070751967869,True,0,0,-4014091,10006.759715312444,True,0,0
Q3ZFbTE2cGwz,39050,1498,2.3,1,0,cvem16pl3,CvEm16pl3,CvEm16pl3,industry,economic,True,,0,,0,0,False,4053141,9894,0.1,1,0,True,,,,,1,0,True,-4014091,10006.759715312444,True,0,0
Q3ZFbTE2cGw0,39050,1498,2.3,1,0,cvem16pl4,CvEm16pl4,CvEm16pl4,class_of_worker,economic,True,31433,1374,2.7,1,0,True,4053141,9894,0.1,1,0,True,7617,2032.7026344254095,True,0.24232494512136926,0.07225070751967869,True,0,0,-4014091,10006.759715312444,True,0,0
Q3ZMRjE=,44241,1619,2.2,0.637,0.015,cvlf1,CvLF1,Pop16pl,employment_status,economic,True,37027,1533,2.5,0.602,0.017,True,4354474,10392,0.1,0.635,0.002,True,7214,2229.6300141503298,True,0.19483079914656873,0.06602279571861759,False,0.03500000000000003,0.022671568097509268,False,-4310233,10517.358270972802,True,0.20000000000000284,1.5132745950421556,False
Q3ZMRjE4dDY0,42567,1577,2.3,,,cvlf18t64,CvLF18t64,NA,health_insurance_coverage,economic,True,,0,,,,False,4102491,9890,0.1,,,True,,,,,,,-4059924,10014.94028938765,True,,
Q3ZMRjI=,44241,1619,2.2,1,0,cvlf2,CvLF2,CvLF2,employment_status,economic,True,37027,1533,2.5,1,0,True,4354474,10392,0.1,1,0,True,7214,2229.6300141503298,True,0.19483079914656873,0.06602279571861759,False,0,0,-4310233,10517.358270972802,True,0,0
Q3ZMRkVt,37859,1487,2.4,1,0,cvlfem,CvLFEm,CvLFEm,health_insurance_coverage,economic,True,,0,,0,0,False,3825543,9546,0.2,1,0,True,,,,,1,0,True,-3787684,9661.122346808366,True,0,0
Q3ZMRlVFbTE=,5191,638,7.5,0.075,0.009,cvlfuem1,CvLFUEm1,Pop16pl,employment_status,economic,True,5594,663,7.2,0.091,0.01,True,301333,4545,0.9,0.044,0.001,True,-403,920.1157535875582,False,-0.07204147300679299,0.15844086556168538,False,-0.016,0.01345362404707371,False,-296142,4589.560872240393,True,3.1000000000000005,0.9055385138137416,True
Q3ZMRlVFbTI=,5191,638,7.5,0.117,0.014,cvlfuem2,CvLFUEm2,CvLF2,employment_status,economic,True,5594,663,7.2,0.151,0.017,True,301333,4545,0.9,0.069,0.001,True,-403,920.1157535875582,False,-0.07204147300679299,0.15844086556168538,False,-0.03399999999999999,0.022022715545545243,False,-296142,4589.560872240393,True,4.800000000000001,1.4035668847618201,True
