id,sum,m,cv,percent,percent_m,variable,variablename,base,category,profile,is_reliable,previous_sum,previous_m,previous_cv,previous_percent,previous_percent_m,previous_is_reliable,comparison_sum,comparison_m,comparison_cv,comparison_percent,comparison_percent_m,comparison_is_reliable,change_sum,change_m,change_percent,change_percent_m,change_percentage_point,change_percentage_point_m,difference_sum,difference_m,significant,difference_percent,difference_percent_m
QXZnSEhTT09j,3.1,0.23,4.6,,,avghhsooc,AvgHHSOOc,mean,housing_tenure,housing,True,3.1,0.24,4.7,,,True,2.85,0.01,0.2,,,True,0,0.33241540277189324,,,,,0.25,0.23021728866442678,False,,
QXZnSEhTUk9j,2.11,0.59,16.9,,,avghhsroc,AvgHHSROc,mean,housing_tenure,housing,True,2.7,0.84,19,,,True,2.51,0.01,0.2,,,True,-0.5900000000000003,1.026498904042279,False,,,,,-0.3999999999999999,0.5900847396772771,False,,
Qmx0MDB0MDk=,2190,332,9.2,0.252,0.038,blt00t09,Blt00t09,HU3,year_structure_built,housing,True,,0,,0,0,False,198788,2928,0.9,0.057,0.001,True,,,,,0.252,0.038,True,-196598,2946.762291057764,True,19.5,3.8013155617496426,True
Qmx0MTBMdHI=,181,100,33.5,0.021,0.011,blt10ltr,Blt10Ltr,HU3,year_structure_built,housing,False,,0,,0,0,False,76678,1919,1.5,0.022,0.001,True,,,,,0.021,0.011,False,-76497,1921.603757281922,True,-0.09999999999999964,1.104536101718726,False
Qmx0NDB0NDk=,117,69,36,0.013,0.008,blt40t49,Blt40t49,HU3,year_structure_built,housing,False,,0,,0,0,False,354913,3910,0.7,0.102,0.001,True,,,,,0.013,0.008,False,-354796,3910.608776137035,True,-8.899999999999999,0.806225774829855,True
Qmx0NTB0NTk=,311,111,21.7,0.036,0.013,blt50t59,Blt50t59,HU3,year_structure_built,housing,False,,0,,0,0,False,450809,4111,0.6,0.13,0.001,True,,,,,0.036,0.013,False,-450498,4112.498267476839,True,-9.4,1.3038404810405297,True
Qmx0NjB0Njk=,252,127,30.5,0.029,0.015,blt60t69,Blt60t69,HU3,year_structure_built,housing,False,,0,,0,0,False,440499,4325,0.6,0.127,0.001,True,,,,,0.029,0.015,False,-440247,4326.8642225057165,True,-9.799999999999999,1.5033296378372907,True
Qmx0NzB0Nzk=,234,125,32.4,0.027,0.014,blt70t79,Blt70t79,HU3,year_structure_built,housing,False,,0,,0,0,False,245191,3241,0.8,0.071,0.001,True,,,,,0.027,0.014,False,-244957,3243.4096256871408,True,-4.3999999999999995,1.4035668847618201,True
Qmx0ODB0ODk=,1320,266,12.3,0.152,0.03,blt80t89,Blt80t89,HU3,year_structure_built,housing,True,,0,,0,0,False,164132,2906,1.1,0.047,0.001,True,,,,,0.152,0.03,True,-162812,2918.1487282179432,True,10.5,3.0016662039607267,True
Qmx0OTB0OTk=,2566,339,8,0.295,0.039,blt90t99,Blt90t99,HU3,year_structure_built,housing,True,,0,,0,0,False,127962,2842,1.4,0.037,0.001,True,,,,,0.295,0.039,True,-125396,2862.1469214559897,True,25.8,3.9012818406262317,True
Qmx0QmYzOQ==,1526,256,10.2,0.175,0.029,bltbf39,BltBf39,HU3,year_structure_built,housing,True,,0,,0,0,False,1413382,6785,0.3,0.407,0.002,True,,,,,0.175,0.029,True,-1411856,6789.8277592292425,True,-23.199999999999996,2.906888370749727,True
QnRSVlZFdGM=,0,0,,0,0,btrvvetc,BtRVVEtc,HU2,units_in_structure,housing,False,0,0,,0,0,False,1902,346,11.1,0.001,0.001,True,0,0,0,,,,-1902,346,True,-0.1,0.1,False
